Page	Line	Element	AutomationIdOrName	LabelOrName	Event	Handler	HandlerSource	EffectClassHint
OnslaughtCareerEditor.WinUI/MainWindow.xaml	38	Button	ReviewSetupButton	Review Setup	Click	ReviewSetupButton_Click	OnslaughtCareerEditor.WinUI/MainWindow.xaml.cs:216	ui/state-only-or-selection
OnslaughtCareerEditor.WinUI/MainWindow.xaml	49	NavigationView	ShellNavigationView	Main navigation tabs	SelectionChanged	ShellNavigationView_SelectionChanged	OnslaughtCareerEditor.WinUI/MainWindow.xaml.cs:109	ui/state-only-or-selection
OnslaughtCareerEditor.WinUI/Pages/AssetLibraryPage.xaml	71	Button	AssetChangeCatalogButton	Change catalog	Click	ChangeCatalogButton_Click	OnslaughtCareerEditor.WinUI/Pages/AssetLibraryPage.xaml.cs:245	ui/state-only-or-selection
OnslaughtCareerEditor.WinUI/Pages/AssetLibraryPage.xaml	77	Expander	CatalogPathDetailsExpander	Path details				ui/state-only-or-selection
OnslaughtCareerEditor.WinUI/Pages/AssetLibraryPage.xaml	97	TextBox	AssetCatalogPathTextBox	Paste catalog.json path or browse to a generated export folder				ui/state-only-or-selection
OnslaughtCareerEditor.WinUI/Pages/AssetLibraryPage.xaml	101	Button	AssetBrowseCatalogButton	Browse generated export folder	Click	BrowseCatalogButton_Click	OnslaughtCareerEditor.WinUI/Pages/AssetLibraryPage.xaml.cs:91	read/load
OnslaughtCareerEditor.WinUI/Pages/AssetLibraryPage.xaml	106	Button	AssetLoadCatalogButton	Load catalog	Click	LoadCatalogButton_Click	OnslaughtCareerEditor.WinUI/Pages/AssetLibraryPage.xaml.cs:109	read/load
OnslaughtCareerEditor.WinUI/Pages/AssetLibraryPage.xaml	135	TextBox	AssetGoodieSaveStatePathTextBox	Choose a copied .bes save for Goodies state				ui/state-only-or-selection
OnslaughtCareerEditor.WinUI/Pages/AssetLibraryPage.xaml	139	Button	AssetBrowseGoodieSaveStateButton	Browse	Click	BrowseGoodieSaveStateButton_Click	OnslaughtCareerEditor.WinUI/Pages/AssetLibraryPage.xaml.cs:407	read/load
OnslaughtCareerEditor.WinUI/Pages/AssetLibraryPage.xaml	143	Button	AssetLoadGoodieSaveStateButton	Load state	Click	LoadGoodieSaveStateButton_Click	OnslaughtCareerEditor.WinUI/Pages/AssetLibraryPage.xaml.cs:425	read/load
