# bea.re.evidence-register.v2
# generatedAtUtc: 2026-08-22T18:21:42.030296+00:00
# generation: 32
# readySha256: 08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
# reducerId: 4c465010b3240d476eb15c89fcfa51cd155936316e897e6f6a7b450df5944db3
# lineageId: incident-20260806-recovery-v1
# authorityClass: FULL_CAMPAIGN_REPLAY_AUTHORITY
# Deterministic tracked projection of the externally pinned campaign authority.
# Regenerate or check with tools/re_evidence_register_export.py; never select
# campaign authority from this projection itself.
entryVa	name	grade	resolution	contractState	evidence	generation	readySha256
0x00401000	CGenericActiveReader__SetReader	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401040	CMonitor__AddDeletionEvent	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004010c0	FUN_004010c0	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004010e0	FUN_004010e0	OPAQUE	OPEN_JOIN	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004011b0	vector_constructor_iterator_nothrow	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004011e0	CActor__Init	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004013d0	CActor__dtor_base	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004013f0	SharedVFunc__ReturnColorFF000080_004013f0	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_DARK	BASELINE_STATIC;ANALYST_METADATA_ONLY;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401400	CThing__ForwardField28Slot18OrFallbackFloat_00401400	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_OPAQUE_PE	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401420	CThing__GetCueFactorFromRenderThing	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_OPAQUE_PE	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401440	CThing__GetRenderRadiusFromRenderThing	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_OPAQUE_PE	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401460	CThing__MakeVisible	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_DARK	BASELINE_STATIC;ANALYST_METADATA_ONLY;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401470	CThing__MakeInvisible	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_DARK	BASELINE_STATIC;ANALYST_METADATA_ONLY;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401480	SharedVFunc__ReturnTrue_00401480	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401490	CThing__Damage_NoOp	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_OPAQUE_PE	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004014a0	SharedVFunc__Return1_004014a0	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004014b0	CThing__GravityDefault	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004014c0	SharedVFunc__NoOpOneArg_004014c0	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004014d0	CComplexThing__ReturnField64Offset10OrMinusOne_004014d0	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_OPAQUE_PE	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004014e0	CComplexThing__IsObjectiveFlagSet	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_OPAQUE_PE	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004014f0	SharedVFunc__ReturnField68_004014f0	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401500	CComplexThing__ReturnField64Offset14OrZero_00401500	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_OPAQUE_PE	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401510	CComplexThing__ReturnField78_00401510	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401520	CComplexThing__NoOpFiveArgs_00401520	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_DARK	BASELINE_STATIC;ANALYST_METADATA_ONLY;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401530	CActor__VFunc_7_00401530	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_DARK	BASELINE_STATIC;ANALYST_METADATA_ONLY;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401540	CActor__VFunc_38_00401540	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401550	CActor__WriteVector1cMinus8cToOut_00401550	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401580	CActor__VFunc_64_00401580	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_DARK	BASELINE_STATIC;ANALYST_METADATA_ONLY;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004015c0	CActor__scalar_deleting_dtor	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_DARK	BASELINE_STATIC;ANALYST_METADATA_ONLY;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x004015e0	CActor__Move	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
0x00401900	CActor__ForwardArgToThingBridge_00401900	C1_CANDIDATE_PARTIAL	CANDIDATE_CONTRACT	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	32	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f
