groupId	relation	platform	scope	bytes	sha256	members	evidence	confidence	caveat
PC-RETAIL-ISO-OUTER	EXACT_BYTE_IDENTITY	PC	Outer ISO	692766720	1DC0D95C778105AE3CB1B0DB9AFA701FC3141ED4EE467CDD227811F6F4248C57	G:\BEA ROMS\Lore\01_PC_Game_ISOs\battle-engine-aquila-asus-v-299\Battle engine aquila ASUS V299.iso | G:\BEA ROMS\Lore\01_PC_Game_ISOs\battle-engine-aquila-bundle-version-v-299\Battle Engine Aquila (Bundle Version V299).iso | G:\BEA ROMS\Lore\01_PC_Game_ISOs\battle-engine-aquila-pc-v-1.00\Battle-Engine-Aquila-PC-V1.00.iso	Local SHA256 of all three files	EXACT	Three labels do not denote three builds
PC-RETAIL-PRISTINE-EXECUTABLE	EXACT_BYTE_IDENTITY	PC	Contained/local PE32	2506752	74154BFAE14DDC8ECB87A0766F5BC381C7B7F1AB334ED7A753040EDA1E1E7750	G:\BEA ROMS\Lore\01_PC_Game_ISOs\battle-engine-aquila-pc-v-1.00\Battle-Engine-Aquila-PC-V1.00.iso::EXE/BEA.exe | C:\Users\david\source\Onslaught-Career-Editor\local-lab\safe-copy-bea-pristine\BEA.exe.original.backup	Streamed ISO member SHA256 and local specimen SHA256	EXACT	None
PC-DEMO-VS-RETAIL-EXECUTABLE	DISTINCT_BY_SHA256	PC	PE32 pair	2506752 | 2510848	74154BFAE14DDC8ECB87A0766F5BC381C7B7F1AB334ED7A753040EDA1E1E7750 | D8637DD755B21C720C0CB8F71923F94D2A04A184D90F5343C2E868CE8606E5C2	G:\BEA ROMS\Lore\01_PC_Game_ISOs\battle-engine-aquila-pc-v-1.00\Battle-Engine-Aquila-PC-V1.00.iso::EXE/BEA.exe | G:\BEA ROMS\Manually Downloaded\battleengine - 2003 PC DEMO.zip::BattleEngine/EXE/BEA.exe	Distinct sizes and SHA256; PE header fields differ	EXACT	PE timestamps suggest later demo linkage but timestamps are not trusted chronology
PC-DEMO-VS-RETAIL-GIP	DISTINCT_BY_SHA256	PC	GIP pair	651614569 | 75388730	B0E6A2266A239C2CD9F0F45071C6E9B5DCEB548C989714AAD0712E4F353E617D | 90B16DC8DF5669BB1ED2DBD09B450C30864047C9A536ECC31BFC6AA55CB66975	G:\BEA ROMS\Lore\01_PC_Game_ISOs\battle-engine-aquila-pc-v-1.00\Battle-Engine-Aquila-PC-V1.00.iso::All.gip | G:\BEA ROMS\Manually Downloaded\battleengine - 2003 PC DEMO.zip::BattleEngine/All.gip	Distinct sizes and streamed SHA256	EXACT	No statement yet about internal format revision or asset overlap
PS2-EUROPE-ISO	INNER_OBJECT_EQUIVALENCE	PS2	Contained ISO	3615948800	060D883B3B029C2BE471D83F824B1FDF38520903F8ACE47783D13E9DD399DA52	G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\PS2\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) iso.zip::Battle Engine Aquila (Europe) (En,Fr,De,Es,It).iso | G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (Europe) (EnFrDeEsIt) - romsfun.com - PS2 - Redump.zip::Battle Engine Aquila (Europe) (En,Fr,De,Es,It).iso	Complete ZipArchive member-stream SHA256	EXACT	Outer ZIPs differ
PS2-USA-ISO	INNER_OBJECT_EQUIVALENCE	PS2	Contained ISO	3615948800	3E1FFFA905680ACBC57BBF9388AA77BFE60C653AFE6F48823247ADE88BB87CE6	G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\PS2\Battle Engine Aquila (USA) iso.zip::Battle Engine Aquila (USA).iso | G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - romsfun.com - PS2 - Redump.zip::Battle Engine Aquila (USA).iso	Complete ZipArchive member-stream SHA256	EXACT	Outer ZIPs differ
PS2-EUROPE-CHD	CONTAINER_OBJECT_EQUIVALENCE	PS2	CHD v5	1960131273	24229A9B2D3B14ABC420FB7E2574C27056CF07CAED0A4C842B9006D844278D1D	G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\PS2\Battle Engine Aquila (Europe) (EnFrDeEsIt) chd.zip::Battle Engine Aquila (Europe) (EnFrDeEsIt).chd | G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (Europe) (EnFrDeEsIt) - romsfun.com - PS2 - CHD.chd	Direct file and ZIP member SHA256	EXACT	The containing ZIP is not identical to the direct CHD
PS2-USA-CHD	CONTAINER_OBJECT_EQUIVALENCE	PS2	CHD v5	1958342251	0F4C38C867FFD2DA537F9A507D15B22B3221D639BFCB290E3F5F16A564FCD028	G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\PS2\Battle Engine Aquila (USA) chd.zip::Battle Engine Aquila (USA).chd | G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - romsfun.com - PS2 - CHD.chd	Direct file and ZIP member SHA256	EXACT	The containing ZIP is not identical to the direct CHD
PS2-EUROPE-VS-USA-ISO	DISTINCT_BY_SHA256	PS2	Regional ISO pair	3615948800	060D883B3B029C2BE471D83F824B1FDF38520903F8ACE47783D13E9DD399DA52 | 3E1FFFA905680ACBC57BBF9388AA77BFE60C653AFE6F48823247ADE88BB87CE6	PS2-EUROPE-ISO | PS2-USA-ISO	Complete member SHA256	EXACT	No filesystem-level delta yet
PS2-ISO-VS-CHD-NORMALIZATION	RELATED_NOT_PROVEN_EQUIVALENT	PS2	ISO versus raw-track CHD	3615948800 | 4322188800 logical	NOT_APPLICABLE	PS2-EUROPE-ISO | PS2-EUROPE-CHD | PS2-USA-ISO | PS2-USA-CHD	CHD headers show 2448-byte units and distinct raw SHA1 values	OPEN	Requires controlled CHD-to-raw/ISO conversion and track/subchannel accounting
PS2-SCED51486-FULL-DISC	EXACT_BYTE_IDENTITY	PS2	Full demo-disc ISO	3090382848	6B13E36F104916ACCBD4CAFB199335F382147B8C2366C9BA781EE17B6B3D4ADE	G:\BEA ROMS\Lore\08_Demo_Discs\playstation2welcomepackdemodisc_20210727\SCED_51486.iso | G:\BEA ROMS\Lore\08_Demo_Discs\sced-51486\SCED_51486 Demo Welcome Pack Bonus Demo 4\SCED_51486.ISO	Local SHA256 of both files	EXACT	Two archive locations do not denote two discs
