absolutePath	memberPath	bytes	sha256	platform	region	container	claim	confidence	evidence
C:\Users\david\source\Onslaught-Career-Editor\local-lab\safe-copy-bea-pristine\BEA.exe.original.backup		2506752	74154BFAE14DDC8ECB87A0766F5BC381C7B7F1AB334ED7A753040EDA1E1E7750	PC	Retail	PE32	Campaign pristine specimen; byte-equal to canonical retail ISO member	EXACT_SHA256	Locally hashed
G:\BEA ROMS\Lore\01_PC_Game_ISOs\battle-engine-aquila-asus-v-299\Battle engine aquila ASUS V299.iso		692766720	1DC0D95C778105AE3CB1B0DB9AFA701FC3141ED4EE467CDD227811F6F4248C57	PC	Retail OEM label	ISO9660	Outer ISO alias in exact three-copy group	EXACT_SHA256	Locally hashed; Archive.org identifier battle-engine-aquila-asus-v-299
G:\BEA ROMS\Lore\01_PC_Game_ISOs\battle-engine-aquila-bundle-version-v-299\Battle Engine Aquila (Bundle Version V299).iso		692766720	1DC0D95C778105AE3CB1B0DB9AFA701FC3141ED4EE467CDD227811F6F4248C57	PC	Retail OEM label	ISO9660	Outer ISO alias in exact three-copy group	EXACT_SHA256	Locally hashed; Archive.org identifier battle-engine-aquila-bundle-version-v-299
G:\BEA ROMS\Lore\01_PC_Game_ISOs\battle-engine-aquila-pc-v-1.00\Battle-Engine-Aquila-PC-V1.00.iso		692766720	1DC0D95C778105AE3CB1B0DB9AFA701FC3141ED4EE467CDD227811F6F4248C57	PC	Retail	ISO9660	Canonical retail PC disc	EXACT_SHA256	Locally hashed; CD001 at ISO9660 descriptor; Archive.org identifier battle-engine-aquila-pc-v-1.00
G:\BEA ROMS\Lore\01_PC_Game_ISOs\battle-engine-aquila-pc-v-1.00\Battle-Engine-Aquila-PC-V1.00.iso	EXE/BEA.exe	2506752	74154BFAE14DDC8ECB87A0766F5BC381C7B7F1AB334ED7A753040EDA1E1E7750	PC	Retail	ISO9660 member PE32	Canonical retail executable; exact campaign pristine specimen	EXACT_SHA256	tar stream hashed without persistent extraction
G:\BEA ROMS\Lore\01_PC_Game_ISOs\battle-engine-aquila-pc-v-1.00\Battle-Engine-Aquila-PC-V1.00.iso	All.gip	651614569	B0E6A2266A239C2CD9F0F45071C6E9B5DCEB548C989714AAD0712E4F353E617D	PC	Retail	ISO9660 member GIP	Canonical retail package	EXACT_SHA256	tar stream hashed without persistent extraction
G:\BEA ROMS\Manually Downloaded\battleengine - 2003 PC DEMO.zip		110691112	62E3F54A25AF8049491C96123409F7EE6CC02D9326F4252D84606FFC136ACD47	PC	Demo	ZIP	PC demo distribution archive	EXACT_SHA256	Locally hashed; PK ZIP signature
G:\BEA ROMS\Manually Downloaded\battleengine - 2003 PC DEMO.zip	BattleEngine/EXE/BEA.exe	2510848	D8637DD755B21C720C0CB8F71923F94D2A04A184D90F5343C2E868CE8606E5C2	PC	Demo	ZIP member PE32	Distinct demo executable	EXACT_SHA256	tar stream hashed without persistent extraction
G:\BEA ROMS\Manually Downloaded\battleengine - 2003 PC DEMO.zip	BattleEngine/All.gip	75388730	90B16DC8DF5669BB1ED2DBD09B450C30864047C9A536ECC31BFC6AA55CB66975	PC	Demo	ZIP member GIP	Distinct demo package	EXACT_SHA256	tar stream hashed without persistent extraction
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\PS2\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) iso.zip		1977945802	NOT_MEASURED	PS2	Europe	ZIP	Archive.org outer archive containing retail ISO	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 32e0dc044d743fc61ddd9724c1855af89a0f546d
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\PS2\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) iso.zip	Battle Engine Aquila (Europe) (En,Fr,De,Es,It).iso	3615948800	060D883B3B029C2BE471D83F824B1FDF38520903F8ACE47783D13E9DD399DA52	PS2	Europe	ZIP member ISO	Europe retail logical ISO anchor	EXACT_SHA256	ZipArchive member stream hashed without persistent extraction
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (Europe) (EnFrDeEsIt) - romsfun.com - PS2 - Redump.zip		1974606170	NOT_MEASURED	PS2	Europe	ZIP	Manually downloaded Redump-labelled outer archive	CLAIMED_PROVENANCE	Filename claim; PK ZIP signature; outer SHA256 not measured
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (Europe) (EnFrDeEsIt) - romsfun.com - PS2 - Redump.zip	Battle Engine Aquila (Europe) (En,Fr,De,Es,It).iso	3615948800	060D883B3B029C2BE471D83F824B1FDF38520903F8ACE47783D13E9DD399DA52	PS2	Europe	ZIP member ISO	Exact same Europe retail ISO as LivBs member	EXACT_SHA256	ZipArchive member stream hashed without persistent extraction
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\PS2\Battle Engine Aquila (USA) iso.zip		1977879314	NOT_MEASURED	PS2	USA	ZIP	Archive.org outer archive containing retail ISO	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 690dd3459a69bb2210ccb7aa89ad059e5f2f14d7
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\PS2\Battle Engine Aquila (USA) iso.zip	Battle Engine Aquila (USA).iso	3615948800	3E1FFFA905680ACBC57BBF9388AA77BFE60C653AFE6F48823247ADE88BB87CE6	PS2	USA	ZIP member ISO	USA retail logical ISO anchor	EXACT_SHA256	ZipArchive member stream hashed without persistent extraction
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - romsfun.com - PS2 - Redump.zip		1974622624	NOT_MEASURED	PS2	USA	ZIP	Manually downloaded Redump-labelled outer archive	CLAIMED_PROVENANCE	Filename claim; PK ZIP signature; outer SHA256 not measured
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - romsfun.com - PS2 - Redump.zip	Battle Engine Aquila (USA).iso	3615948800	3E1FFFA905680ACBC57BBF9388AA77BFE60C653AFE6F48823247ADE88BB87CE6	PS2	USA	ZIP member ISO	Exact same USA retail ISO as LivBs member	EXACT_SHA256	ZipArchive member stream hashed without persistent extraction
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\PS2\Battle Engine Aquila (Europe) (EnFrDeEsIt) chd.zip		1952536858	NOT_MEASURED	PS2	Europe	ZIP	Archive.org outer archive containing CHD v5	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 069ec37256b816cd8064403b10bf4783ecce34be
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\PS2\Battle Engine Aquila (Europe) (EnFrDeEsIt) chd.zip	Battle Engine Aquila (Europe) (EnFrDeEsIt).chd	1960131273	24229A9B2D3B14ABC420FB7E2574C27056CF07CAED0A4C842B9006D844278D1D	PS2	Europe	ZIP member CHD v5	Exact contained CHD object	EXACT_SHA256	ZipArchive member stream hashed without persistent extraction
