retail_va	demo_va	retail_current_name	semantic_label	source_anchor	body_bytes	instruction_count	raw_diff_bytes	normalized_diff_bytes	semantic_status	evidence_boundary
0x00514950	0x005149e0	PCPlatform__GetStorageDeviceCount	CPCMemoryCard::GetNumCards single-PC-device adapter	PCMemoryCard.h:17; MemoryCard.h:36; retail callers	15	4	0	0	STATIC_SEMANTIC_SOURCE_INTERFACE_DEMO_TWIN	Writes one rather than the retained stub's zero and returns MCE_SUCCESS; device discovery beyond this compatibility projection does not exist here
0x00514960	0x005149f0	PCPlatform__GetStorageDeviceInfo	CPCMemoryCard::GetCardInfo always-present compatibility adapter	PCMemoryCard.h:18-28; MemoryCard.h:37; retail callers	61	18	0	0	STATIC_SEMANTIC_SOURCE_INTERFACE_DEMO_TWIN	Ignores card, reports present/formatted true and free/total 0x7fffffff when requested, and returns MCE_SUCCESS; this is not a real free-space query
0x005149a0	0x00514a30	PCPlatform__GetStorageDeviceDisplayName	CPCMemoryCard localized card-name provider	PCMemoryCard.h:30-39; MemoryCard.h:38; retail callers	26	9	5	0	STATIC_SEMANTIC_SOURCE_INTERFACE_DEMO_TWIN	Copies localization ID 0x28 to the wide output and returns success; GetCardName versus folded GetCardOrPreviousCardName2 identity is not distinguishable from this body alone
0x005149c0	0x00514a50	EnumerateSaveFiles_1	CPCMemoryCard::GetNumSaves file enumerator	PCMemoryCard.h:55-58; MemoryCard.h:44; retail body	189	58	40	0	STATIC_SEMANTIC_SOURCE_INTERFACE_DEMO_TWIN	Counts visible ordinary savegames\\*.bes entries in Win32 enumeration order, skips attribute mask 0x16, and always returns MCE_SUCCESS
0x00514a80	0x00514b10	EnumerateSaveFiles_2	CPCMemoryCard::GetSaveName indexed file enumerator	PCMemoryCard.h:60-63; MemoryCard.h:45; retail body	349	112	55	0	STATIC_SEMANTIC_SOURCE_INTERFACE_DEMO_TWIN	Selects the zero-based visible ordinary entry, strips the final four .bes bytes, converts to wide text, and returns 0 on success or 1 on exhaustion/failure
0x00514be0	0x00514c70	EnumerateSaveFiles_Main	CPCMemoryCard::CreateSave create-or-overwrite transaction	PCMemoryCard.h:65-68; MemoryCard.h:47; retail body	721	239	80	0	STATIC_SEMANTIC_SOURCE_INTERFACE_DEMO_TWIN	Creates savegames, forms the name path, returns MCE_FILEEXISTS 6 if overwrite is denied and readable, otherwise creates/truncates with wb and enumerates the new case-insensitive index; 0 success or 1 generic failure
0x00514ec0	0x00514f50	PCPlatform__DeleteSaveFile	CPCMemoryCard::DeleteSave filename-backed deleter	PCMemoryCard.h:70-73; MemoryCard.h:48; retail body	178	71	6	0	STATIC_SEMANTIC_SOURCE_INTERFACE_DEMO_TWIN	Ignores card and slot, deletes savegames\\name.bes with DeleteFileA, and returns 0 on success or 1 on failure
0x00514f80	0x00515010	PCPlatform__WriteSaveFile	CPCMemoryCard::WriteSave exact-buffer writer	PCMemoryCard.h:75-77; MemoryCard.h:50; retail body and instructions	243	92	13	0	STATIC_SEMANTIC_SOURCE_INTERFACE_DEMO_TWIN	Ignores card and slot, opens savegames\\name.bes as wb and requires fwrite(data,size,1)==1; the released failure edge after open omits fclose
0x00515080	0x00515110	PCPlatform__ReadSaveFile	CPCMemoryCard::ReadSave exact-buffer reader	PCMemoryCard.h:79-82; MemoryCard.h:51; retail body and instructions	268	99	15	0	STATIC_SEMANTIC_SOURCE_INTERFACE_DEMO_TWIN	Ignores card and slot, opens rb, reads exactly size bytes, writes the observed count after a read, returns 0 only on a full read, and closes the same FILE twice on that success edge
0x00515190	0x00515220	PCPlatform__CopyStorageDeviceId	CPCMemoryCard::GetSaveSize identity projection	PCMemoryCard.h:84-87; MemoryCard.h:53; retail callers and body	15	5	0	0	STATIC_SEMANTIC_SOURCE_INTERFACE_DEMO_TWIN	Copies datasize to savesize and returns MCE_SUCCESS; the current CopyStorageDeviceId label is disproven by both call sites and the interface signature
0x005151a0	0x00515230	HYP__WordZeroRet8_005151a0	CPCMemoryCard::MakeHumanReadableSize empty formatter	PCMemoryCard.h:89-92; MemoryCard.h:54; pristine body	14	4	0	0	STATIC_SEMANTIC_SOURCE_INTERFACE_DEMO_TWIN	Writes a leading wide NUL to the output, ignores byte count, and returns MCE_SUCCESS; no human-readable capacity text is produced
