address	currentName	bodyBytes	bodySha256	disposition	stableObjectBasename	v24Objects	v25Objects	v26Objects	v27Objects	v28Objects	v29Objects	v30Objects	v31Objects
0x004d5e20	FUN_004d5e20	16	585eb39d0eb0963eb6c38bed4169fd672f7a11cb3c682b0f69e817c5bda8416b	VERSION_DEPENDENT_OBJECT_ALL_EIGHT	<NONE>	cstack.obj	cstack.obj	cstack.obj	createmesh.obj	createmesh.obj	cstack.obj	createmesh.obj	cstack.obj
0x005639d0	__allmul	52	3d0898d998acc8af3ea17032ff56fd1b963c685b072f669c52d4b8267f9d0a78	STABLE_SINGLE_OBJECT_ALL_EIGHT	llmul.obj	llmul.obj	llmul.obj	llmul.obj	llmul.obj	llmul.obj	llmul.obj	llmul.obj	llmul.obj
0x00574abb	CDXTexture__RepeatCallbackN	42	ec4c8de7b024e6618cc8f5bb0c170dc9419885b076ff5fb2e476319d763c9bca	STABLE_SINGLE_OBJECT_ALL_EIGHT	compressed.obj	compressed.obj	compressed.obj	compressed.obj	compressed.obj	compressed.obj	compressed.obj	compressed.obj	compressed.obj
0x00575a6b	CFastVB__ConvertFloat16BufferToFloat32_00575a6b	165	ee309443ace8606ed07f4ae880e6d749e2fd271696197ca557032710a42de6fc	STABLE_SINGLE_OBJECT_ALL_EIGHT	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj
0x00575cdd	Math__InterpolateVec2ByUV	67	43a58218e48820091d3faa3cc7e695d0839aec02ec379edb751ab4d40617a1ab	STABLE_SINGLE_OBJECT_ALL_EIGHT	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj
0x00575fa1	Math__InterpolateVec3ByUV	93	7b9a168a85d787c9a022251c921f28dff87511de99a81adcbfc10a77c3093b5a	STABLE_SINGLE_OBJECT_ALL_EIGHT	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj
0x00576621	Math__InterpolateVec4ByUV	119	9519c8b44d482d012022467a110682d5c3cc56ec106ac4dddb886e18870ed647	STABLE_SINGLE_OBJECT_ALL_EIGHT	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj
0x005772e5	Math__BuildRotationMatrixX	122	9808def0eb4f60435326f7c87e8b91f5f4c9ad93a4c53269f85d709e181fec07	STABLE_SINGLE_OBJECT_ALL_EIGHT	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj
0x0057737b	Math__BuildRotationMatrixY	123	9dc7353347bd5d82e8ca57d0fcf8e4f6e08e73f2b0a7c61ccf0f51d503416ab8	STABLE_SINGLE_OBJECT_ALL_EIGHT	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj
0x00577412	Math__BuildRotationMatrixZ	124	f8ecc9f5caf20f6894abdd4b398cb81be7503013b66365040ba808b61dfb5e52	STABLE_SINGLE_OBJECT_ALL_EIGHT	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj
0x00578555	Math__TransformVec2ByMatrix4x4	107	8d6209feb5521cbf9eb737365b8f502a8969b5812de3c6575eed372a3d9251b5	STABLE_SINGLE_OBJECT_ALL_EIGHT	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj
0x005785c0	Math__TransformVec2ArrayToVec4Array	131	4505269913ea72744e530aba701f6faabd3f33a922ee87e66705feb155d6c4ce	STABLE_SINGLE_OBJECT_ALL_EIGHT	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj
0x00578758	Math__TransformVec2ByMatrixLinear	60	8632c4a8f87161be6ec95adc763505b275379294b01a0c0dedcfb979fc8a31ea	STABLE_SINGLE_OBJECT_ALL_EIGHT	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj
0x00578794	Math__TransformVec2ArrayByMatrixLinear	84	d7713cfa577a45338dcea271cf85d6f12a114efef92fd4aa53b49c126582bd75	STABLE_SINGLE_OBJECT_ALL_EIGHT	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj	d3dxmath.obj
