gap_start	gap_end_exclusive	bytes	disposition	note	callable_starts
0x00417347	0x00417390	73	PRECEDING_FUNCTION_CONTINUATION	0x0064F918 lies in MissionScript string bytes	<NONE>
0x0042236F	0x00422440	209	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00422370
0x0044AE9F	0x0044AF70	209	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x0044AEA0
0x0045004B	0x00450090	69	PRECEDING_FUNCTION_CONTINUATION	all table-like refs lie in UTF-16 localization bytes	<NONE>
0x00457F7F	0x00458050	209	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00457F80
0x0046001D	0x00460050	51	PRECEDING_FUNCTION_CONTINUATION	all table-like refs lie in UTF-16 localization bytes	<NONE>
0x0046454F	0x00464620	209	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00464550
0x0047BB1F	0x0047BBF0	209	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x0047BB20
0x0048FFFF	0x004900D0	209	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00490000
0x004C4145	0x004C41E4	159	CURRENT_FUNCTION_MIDDLE_FRAGMENT	0x0064C1EC lies in ASCII debug-name bytes	<NONE>
0x005445CA	0x00544600	54	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x005445D0
0x0055083A	0x00550870	54	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00550840
0x00551D8F	0x00551E60	209	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00551D90
0x0055DFB8	0x0055DFE7	47	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x0055DFB8
0x0055E3F4	0x0055E412	30	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x0055E3F4
0x0055FD6A	0x0055FE26	188	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x0055FD6A
0x00561453	0x00561530	221	EXISTING___trandisp2_JUMP_TABLE_TAIL	targets require dispatcher FPU/frame state	<NONE>
0x00564BEB	0x00564C09	30	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00564BEB
0x0056BBDC	0x0056BCA7	203	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x0056BBDC
0x00575D33	0x00575D44	17	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00575D33
0x00575D57	0x00575D68	17	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00575D57
0x00575D7B	0x00575D8C	17	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00575D7B
0x00576011	0x0057609C	139	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00576011
0x005760AD	0x00576154	167	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x005760AD
0x00576191	0x005761F7	102	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00576191
0x00576208	0x00576286	126	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00576208
0x0057629D	0x005763DA	317	CALLABLE_ENTRY_COHORT	6 callable start(s)	0x0057629D;0x005762AE;0x005762BF;0x005762D0;0x005762DD;0x005763CD
0x005766AB	0x0057674A	159	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x005766AB
0x0057675B	0x005768F1	406	CALLABLE_ENTRY_COHORT	3 callable start(s)	0x0057675B;0x0057681A;0x00576827
0x00576904	0x00576B3A	566	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00576904
0x00576B4D	0x00576DFD	688	CALLABLE_ENTRY_COHORT	3 callable start(s)	0x00576B4D;0x00576BBA;0x00576BC7
0x005777F1	0x0057798E	413	CALLABLE_ENTRY_COHORT	6 callable start(s)	0x005777F1;0x005777FE;0x0057780B;0x00577818;0x0057784D;0x0057785A
0x00577B2A	0x00577C83	345	CALLABLE_ENTRY_COHORT	3 callable start(s)	0x00577B2A;0x00577BC0;0x00577BCD
0x00577C96	0x00577D47	177	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00577C96
0x00577D5A	0x00577DD5	123	CALLABLE_ENTRY_COHORT	1 callable start(s)	0x00577D5A
