# Ghidra function-name table -- address -> current saved symbol
# Purpose : the resolution authority for tools/re_function_doc_names_check.py.
#           It is a name index, not a database and not a disassembly.
# Derived : live maintainer Ghidra project (C:\Users\david\Ghidra\Projects), exported headless by
#           tools/ExportFullFunctionInventory.java on 2026-07-27 17:49 local, after
#           the 580-creation / AIF / DPI mutation waves, the 533-name vtable naming
#           wave, and both destructor demotions (0x0048c300, 0x005386d0).
# Specimen: BEA.exe MD5 3b456964020070efe696d2cc09464a55,
#           SHA-256 74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750
# Source  : local-lab/re-ledger/naming-wave-2026-07-27/inv-LIVE2-functions.tsv
#           sha256 2f9d352eaec3005d1827660f86403d25e45b67158eeba1b98363565a30811228
#           (gitignored; this file is the promoted 4-column projection of it)
# Reproduced: an independent export of the same database (inv-LIVE1-functions.tsv)
#           agrees with it on all 7555 names, 0 differences.
# DATED PROJECTION: reverse-engineering/ghidra/ was promoted from the 8,125-function
#           live project on 2026-08-09. This 7,555-row table remains the historical
#           2026-07-27 name index used by its owning documentation check; it is no
#           longer a current database projection.
# Columns : address, name, bodyMin, bodyMax (hex). 67 functions have
#           non-contiguous bodies, so bodyMin..bodyMax over-covers for those;
#           6 of the 7555 spans overlap their predecessor.
# text_range: 0x00401000-0x005d7fff
address	name	bodyMin	bodyMax
0x00401000	CGenericActiveReader__SetReader	0x00401000	0x00401033
0x00401040	CMonitor__AddDeletionEvent	0x00401040	0x004010bd
0x004010c0	FUN_004010c0	0x004010c0	0x004010de
0x004011b0	vector_constructor_iterator_nothrow	0x004011b0	0x004011d9
0x004011e0	CActor__Init	0x004011e0	0x004013c4
0x004013d0	CActor__dtor_base	0x004013d0	0x004013e1
0x004013f0	SharedVFunc__ReturnColorFF000080_004013f0	0x004013f0	0x004013f5
0x00401400	CThing__ForwardField28Slot18OrFallbackFloat_00401400	0x00401400	0x00401412
0x00401420	CThing__GetCueFactorFromRenderThing	0x00401420	0x00401431
0x00401440	CThing__GetRenderRadiusFromRenderThing	0x00401440	0x00401452
0x00401460	CThing__MakeVisible	0x00401460	0x00401464
0x00401470	CThing__MakeInvisible	0x00401470	0x00401474
0x00401480	SharedVFunc__ReturnTrue_00401480	0x00401480	0x00401482
0x00401490	CThing__Damage_NoOp	0x00401490	0x00401492
0x004014a0	SharedVFunc__Return1_004014a0	0x004014a0	0x004014a5
0x004014b0	CThing__GravityDefault	0x004014b0	0x004014b6
0x004014c0	SharedVFunc__NoOpOneArg_004014c0	0x004014c0	0x004014c2
0x004014d0	CComplexThing__ReturnField64Offset10OrMinusOne_004014d0	0x004014d0	0x004014de
0x004014e0	CComplexThing__IsObjectiveFlagSet	0x004014e0	0x004014ea
0x004014f0	SharedVFunc__ReturnField68_004014f0	0x004014f0	0x004014f3
0x00401500	CComplexThing__ReturnField64Offset14OrZero_00401500	0x00401500	0x0040150d
0x00401510	CComplexThing__ReturnField78_00401510	0x00401510	0x00401513
0x00401520	CComplexThing__NoOpFiveArgs_00401520	0x00401520	0x00401522
0x00401530	CActor__VFunc_7_00401530	0x00401530	0x00401535
0x00401540	CActor__VFunc_38_00401540	0x00401540	0x0040154e
0x00401550	CActor__WriteVector1cMinus8cToOut_00401550	0x00401550	0x00401579
0x00401580	CActor__VFunc_64_00401580	0x00401580	0x004015bc
0x004015c0	CActor__scalar_deleting_dtor	0x004015c0	0x004015df
0x004015e0	CActor__Move	0x004015e0	0x004018f9
0x00401900	CActor__ForwardArgToThingBridge_00401900	0x00401900	0x0040190c
0x00401910	CActor__CopyTransformAndNotify_00401910	0x00401910	0x004019a0
0x004019b0	CActor__TeleportOrientation	0x004019b0	0x004019d3
0x004019e0	CActor__HandleEvent	0x004019e0	0x00401b4e
