cohort	retail_va	demo_va	demo_delta	bracket_lower_retail	bracket_upper_retail	provider_identity	identity_grade	source_file	source_line	identity_basis	body_ranges	body_range_count	body_bytes	instruction_count	cfg_edge_count	cfg_sha256	body_sha256	normalized_sha256	demo_body_sha256	demo_normalized_sha256	raw_equal	normalized_equal	terminal_kinds	external_transfers	peer_entry_transfers	inbound_reference_rows	current_8280_body_overlap_bytes	pairwise_overlap_bytes
REQUESTED_23	0x005ABB00	0x005AC1C0	0x6C0	0x005ABAE0	0x005AC180	LIBJPEG6B__decompress_onepass	EXACT_IJG_V6B_SOURCE_ALGORITHM	jdcoefct.c	147	exact controller callback assignments and one-pass/consume/decompress control algorithms	0x005ABB00-0x005ABB9D;0x005ABBA0-0x005ABC3D;0x005ABC40-0x005ABD95	3	655	209	223	cd7303eea609cab14c211255649bb9d8c9e44a1f31a6280d1c5033c60cae37f3	8cf9d3dee122abb564a055296c7288aa361b50f9233168768ff7c2d5c16b7ff4	a3b6d50c18c7d3dc9664fbf9df543a9b05604dcd27e83a58276b1429f67c8191	dd9da9fb948d2787288f098a3a6b71b97c8d60e91fa660ca242c43287e416761	a3b6d50c18c7d3dc9664fbf9df543a9b05604dcd27e83a58276b1429f67c8191	false	true	ret			1	0	0
REQUESTED_23	0x005ABDA0	0x005AC460	0x6C0	0x005ABAE0	0x005AC180	LIBJPEG6B__dummy_consume_data	EXACT_IJG_V6B_SOURCE_ALGORITHM	jdcoefct.c	228	exact controller callback assignments and one-pass/consume/decompress control algorithms	0x005ABDA0-0x005ABDA5	1	5	2	1	6740b01516a7d9bea8a3ccc6afe6b3f2f9c4baafe7ef6a315916b45d2c769f7e	5fed5afb29946811bf02359627a94bc01d08d31b779528feaadde3866af9c855	8fe3c0ea73931b9ac9d2af3acc08c01e8e2b01b11475cf4fdee12055be5e0de4	5fed5afb29946811bf02359627a94bc01d08d31b779528feaadde3866af9c855	8fe3c0ea73931b9ac9d2af3acc08c01e8e2b01b11475cf4fdee12055be5e0de4	true	true	ret			1	0	0
REQUESTED_23	0x005ABDB0	0x005AC470	0x6C0	0x005ABAE0	0x005AC180	LIBJPEG6B__consume_data	EXACT_IJG_V6B_SOURCE_ALGORITHM	jdcoefct.c	244	exact controller callback assignments and one-pass/consume/decompress control algorithms	0x005ABDB0-0x005ABDD9;0x005ABDE0-0x005ABE2D;0x005ABE30-0x005ABE6D;0x005ABE70-0x005ABFE2	4	549	181	193	885e055968f7a100263e7e845e9785051b7680591b9992549c1c0e7a80960171	ac28462b5ee5a547034af7ffed2a51b7032353022e3b8db9083011358b8fd30e	95c14370d9af0317f93186b56a465c9cfdc65289638b9839374b6d5fbb9efe65	ac28462b5ee5a547034af7ffed2a51b7032353022e3b8db9083011358b8fd30e	95c14370d9af0317f93186b56a465c9cfdc65289638b9839374b6d5fbb9efe65	true	true	ret			1	0	0
REQUESTED_23	0x005ABFF0	0x005AC6B0	0x6C0	0x005ABAE0	0x005AC180	LIBJPEG6B__decompress_data	EXACT_IJG_V6B_SOURCE_ALGORITHM	jdcoefct.c	315	exact controller callback assignments and one-pass/consume/decompress control algorithms	0x005ABFF0-0x005AC180	1	400	132	143	c5dbbf47bd8037ae3354e195be940eb8a193e3e61b39d0938540da9b47479333	e3448552c4bffe1e8296580b5ca9963c9be975685638433d340f26ec6bf2208e	da6c5f6a767761514e2e8d84329c75b28cb8fe37da4ce32c2d620a9789cf16b7	e3448552c4bffe1e8296580b5ca9963c9be975685638433d340f26ec6bf2208e	da6c5f6a767761514e2e8d84329c75b28cb8fe37da4ce32c2d620a9789cf16b7	true	true	ret			2	0	0
REQUESTED_23	0x005AD820	0x005ADEE0	0x6C0	0x005AD590	0x005AE190	LIBJPEG6B__decode_mcu_AC_first	EXACT_IJG_V6B_SOURCE_ALGORITHM	jdphuff.c	357	exact progressive-Huffman start-pass dispatch and AC-first/DC-refine/AC-refine algorithms	0x005AD820-0x005ADA57	1	567	196	213	b721663025576767022b78e5ba5bd2d531e12003f45e1f851fccfef3aca299e8	fca873d1b2cd895067572925bccfab766de64803599bea5bd93b00a4c1293466	edf9da5b39391856648d6dd507edae8e9097ecbbc0c3401aa8c46b99e8c94ca9	1af0bd727f0a4d2c1db2beb0f31f7cd625738b96b3ba45b7f60a916de10f52eb	edf9da5b39391856648d6dd507edae8e9097ecbbc0c3401aa8c46b99e8c94ca9	false	true	ret			1	0	0
REQUESTED_23	0x005ADA60	0x005AE120	0x6C0	0x005AD590	0x005AE190	LIBJPEG6B__decode_mcu_DC_refine	EXACT_IJG_V6B_SOURCE_ALGORITHM	jdphuff.c	442	exact progressive-Huffman start-pass dispatch and AC-first/DC-refine/AC-refine algorithms	0x005ADA60-0x005ADB53	1	243	88	93	1894c66ae4d29694818c50445b433a279447d648b15dd1c9fa7b83808d7b03bc	46bc91c30447852013a1ed73f34fef190f688cd6910fb3763666c539903030a6	1235bab187f8de2d3ffbde18a25d569303a00d0f04c6f06d176cee597248831f	46bc91c30447852013a1ed73f34fef190f688cd6910fb3763666c539903030a6	1235bab187f8de2d3ffbde18a25d569303a00d0f04c6f06d176cee597248831f	true	true	ret			1	0	0
REQUESTED_23	0x005ADB60	0x005AE220	0x6C0	0x005AD590	0x005AE190	LIBJPEG6B__decode_mcu_AC_refine	EXACT_IJG_V6B_SOURCE_ALGORITHM	jdphuff.c	491	exact progressive-Huffman start-pass dispatch and AC-first/DC-refine/AC-refine algorithms	0x005ADB60-0x005ADC2D;0x005ADC30-0x005ADE4A;0x005ADE50-0x005ADF46	3	989	316	354	72893db5fbb664e222ee9e230e9b86d7929e71272eafbd3a8098008c18be211f	f79fbda8e66399729bbebc92813fd43ab34d43d68f9367077c606617e06af00b	ed1129d505de6fedac1130f270c9d9470c90c5dad4045b467c31bba7dd94b8a1	d2eb8f698494146271efba2b08170cf551c932e9af372b2a9b9191f8cf0a2eae	ed1129d505de6fedac1130f270c9d9470c90c5dad4045b467c31bba7dd94b8a1	false	true	ret			1	0	0
REQUESTED_23	0x005ADF50	0x005AE610	0x6C0	0x005AD590	0x005AE190	LIBJPEG6B__start_pass_phuff_decoder	EXACT_IJG_V6B_SOURCE_ALGORITHM	jdphuff.c	92	exact progressive-Huffman start-pass dispatch and AC-first/DC-refine/AC-refine algorithms	0x005ADF50-0x005AE18A	1	570	179	200	5b07c6e45ed97159da248e7202ff610b575fa0f9739abc193e294b45f7b1f738	d6026c1bab80114ab77a05b87cd1e987a2823fc801dc9413846327665c1bfdca	e4b1484c14347ecb6f577f48ae9d82890de9551e13a02e6eb365cda993100355	d5898d9e65054383e1e2d207052496891c722a38e64e7303a84c116a288b25e3	e4b1484c14347ecb6f577f48ae9d82890de9551e13a02e6eb365cda993100355	false	true	ret			1	0	0
REQUESTED_23	0x005B2B90	0x005B3260	0x6D0	0x005B28E0	0x005B3080	LIBJPEG6B__process_data_simple_main	EXACT_IJG_V6B_SOURCE_ALGORITHM	jcmainct.c	113	exact main-controller start-pass dispatch and simple/buffered row-flow algorithms	0x005B2B90-0x005B2BFD;0x005B2C00-0x005B2D9E	2	523	175	186	1ad23e3645a1e10af091d650f6e581f0124f1c0f00df8601dcebc1e734895d77	77f93c7b2ece9f9b6dfc2f48576ac6064f2503ef39ab98152895fc4543758357	63e3e02b50499f80f5fd88ddd4aa9a52330f9f8114270d0294fc6bbb8fa57a77	77f93c7b2ece9f9b6dfc2f48576ac6064f2503ef39ab98152895fc4543758357	63e3e02b50499f80f5fd88ddd4aa9a52330f9f8114270d0294fc6bbb8fa57a77	true	true	ret			2	0	0
REQUESTED_23	0x005B2DA0	0x005B3470	0x6D0	0x005B28E0	0x005B3080	LIBJPEG6B__process_data_buffer_main	EXACT_IJG_V6B_SOURCE_ALGORITHM	jcmainct.c	169	exact main-controller start-pass dispatch and simple/buffered row-flow algorithms	0x005B2DA0-0x005B2F08;0x005B2F10-0x005B2FB4	2	524	182	199	0be6eb4f506270ad73ed061b2fb07f7a836ee6edfe81abf2b7d96044096fb186	7eddf4aa1fb15a9b80702efc984d167ccd7b97dfe696183e3aa6537c00b4bca5	a152d1929b8359b71d088fa23c627fd64f8244bf2c34d4ff578b8a4e732de273	21310c588c3aa134bf0bad75ec1ca19253ead500734729dc63208bc38a960ead	a152d1929b8359b71d088fa23c627fd64f8244bf2c34d4ff578b8a4e732de273	false	true	tail-to-peer-entry	0x005B2FAF->0x005B2B90:tail-to-peer-entry	0x005B2FAF->0x005B2B90:tail-to-peer-entry	1	0	0
