index	command	handlerVa	currentGhidraName	authoredCallSites	levelsCovering	disposition
0	FollowWaypoint	0x00537D70	FUN_00537d70	20	6	OBSERVED
1	FollowWaypointWait	0x00537E40	FUN_00537e40	180	39	OBSERVED
2	SetSpeed	0x00453AC0	SharedVFunc__NoOp_Ret0C	0	43	OBSERVED_UNAUTHORED
3	SpawnThing	0x00536CD0	IScript__SpawnThing	69	1	OBSERVED
4	Pause	0x00537C70	FUN_00537c70	744	46	OBSERVED
5	PostEvent	0x005383C0	IScript__ScheduleEvent	1018	34	OBSERVED
6	Rand	0x00538230	FUN_00538230	152	1	OBSERVED
7	IsFriendly	0x00537FD0	IScript__IsFriendly	0	0	DORMANT_CANDIDATE
8	LevelLost	0x005381A0	IScript__LevelLost	12	0	AUTHORED_UNOBSERVED
9	LevelWon	0x005381E0	IScript__LevelWon	77	0	AUTHORED_UNOBSERVED
10	PlaySample	0x005381F0	FUN_005381f0	0	0	DORMANT_CANDIDATE
11	Print	0x00537AD0	FUN_00537ad0	726	22	OBSERVED
12	Exists	0x00536920	FUN_00536920	155	14	OBSERVED
13	Die	0x00535CD0	IScript__Die	51	0	AUTHORED_UNOBSERVED
14	GetThingRef	0x005367C0	FUN_005367c0	563	34	OBSERVED
15	Activate	0x00535D50	FUN_00535d50	295	6	OBSERVED
16	PrintText	0x00537C40	IScript__PrintText	0	0	DORMANT_CANDIDATE
17	AddMessage	0x00537410	IScript__PlaySound	0	0	DORMANT_CANDIDATE
18	GetHealth	0x00535920	FUN_00535920	165	25	OBSERVED
19	SetTimer	0x005358E0	IScript__SetTimer	0	0	DORMANT_CANDIDATE
20	GetDistToObj	0x00536070	FUN_00536070	26	2	OBSERVED
21	GetPlayer	0x005363E0	IScript__GetPlayerBattleEngine	50	11	OBSERVED
22	SetVisible	0x00535EA0		62	0	AUTHORED_UNOBSERVED
23	SetObjective	0x00535ED0	FUN_00535ed0	298	44	OBSERVED
24	SetAIState	0x005361A0	FUN_005361a0	306	44	OBSERVED
25	IsA	0x00536350	FUN_00536350	127	2	OBSERVED
26	Teleport	0x005369B0	FUN_005369b0	8	3	OBSERVED
27	PlayCutscene	0x00535890	FUN_00535890	0	0	DORMANT_CANDIDATE
28	PlayCharMessage	0x00537500	IScript__PlaySoundWithCallback	458	13	OBSERVED
29	Deactivate	0x00535D60	FUN_00535d60	127	17	OBSERVED
30	UnsetObjective	0x00535EE0	IScript__UnsetObjective	250	0	AUTHORED_UNOBSERVED
31	IsObjective	0x00535EF0	FUN_00535ef0	9	1	OBSERVED
32	SetVulnerable	0x00535F70	FUN_00535f70	104	12	OBSERVED
33	NumContained	0x00535D70	FUN_00535d70	37	6	OBSERVED
34	HighlightHudPart	0x00535E60		13	0	AUTHORED_UNOBSERVED
35	UnHighlightHudPart	0x00535E80		13	0	AUTHORED_UNOBSERVED
36	PlayCharMessageWait	0x005375F0	IScript__PlaySoundWithFade	850	16	OBSERVED
37	GetWeaponAmmo	0x00535610		0	0	DORMANT_CANDIDATE
38	GetWeaponName	0x00535670	IScript__GetThingName	0	0	DORMANT_CANDIDATE
39	GetWeaponCharge	0x00535750		0	0	DORMANT_CANDIDATE
40	GetNumUnits	0x00535590	FUN_00535590	142	15	OBSERVED
41	SetAllegiance	0x00535560	IScript__SetFactionForHierarchy_FromArg	43	5	OBSERVED
42	SetWindVector	0x00538300		0	0	DORMANT_CANDIDATE
43	SetRainDensity	0x00538360		0	0	DORMANT_CANDIDATE
44	SetSnowDensity	0x00538380	FUN_00538380	10	2	OBSERVED
45	SetLightningDensity	0x005383A0	IScript__SetLightningDensity	0	0	DORMANT_CANDIDATE
46	SetHealth	0x00535C10		3	0	AUTHORED_UNOBSERVED
47	GetRatioBattleLineNodes	0x005353A0	FUN_005353a0	31	3	OBSERVED
48	SetScript	0x00535C50	FUN_00535c50	264	27	OBSERVED
49	GetPos	0x00536C00	FUN_00536c00	50	2	OBSERVED
50	SpawnParticle	0x00536B70		6	0	AUTHORED_UNOBSERVED
51	SetSegmentHealth	0x00535480		27	0	AUTHORED_UNOBSERVED
52	SetAllSegmentsHealth	0x00535500		3	0	AUTHORED_UNOBSERVED
53	PlayAnimation	0x00535160	FUN_00535160	32	2	OBSERVED
54	PlayAnimationWait	0x005351D0		24	0	AUTHORED_UNOBSERVED
55	GetMapHeight	0x00534AC0	ScriptCommand__SampleStaticShadowHeight_00534ac0	18	0	AUTHORED_UNOBSERVED
56	GetWaterHeight	0x00534B30	FUN_00534b30	0	0	DORMANT_CANDIDATE
57	GetX	0x00534B80	IScript__GetVectorX	3	0	AUTHORED_UNOBSERVED
58	GetY	0x00534C10	IScript__GetVectorY	3	0	AUTHORED_UNOBSERVED
