index	command	handlerVa	registryRecordVa	cohort	expectedPreName	proposedName	expectedNameSource
22	SetVisible	0x00535ea0	0x0064d3a0	NEW34_STATIC_C1	FUN_00535ea0	IScript__SetVisible	DEFAULT
34	HighlightHudPart	0x00535e60	0x0064d6a0	NEW34_STATIC_C1	FUN_00535e60	IScript__HighlightHudPart	DEFAULT
35	UnHighlightHudPart	0x00535e80	0x0064d6e0	NEW34_STATIC_C1	FUN_00535e80	IScript__UnHighlightHudPart	DEFAULT
37	GetWeaponAmmo	0x00535610	0x0064d760	NEW34_STATIC_C1	FUN_00535610	IScript__GetWeaponAmmo	DEFAULT
39	GetWeaponCharge	0x00535750	0x0064d7e0	NEW34_STATIC_C1	FUN_00535750	IScript__GetWeaponCharge	DEFAULT
42	SetWindVector	0x00538300	0x0064d8a0	NEW34_STATIC_C1	FUN_00538300	IScript__SetWindVector	DEFAULT
43	SetRainDensity	0x00538360	0x0064d8e0	NEW34_STATIC_C1	FUN_00538360	IScript__SetRainDensity	DEFAULT
46	SetHealth	0x00535c10	0x0064d9a0	NEW34_STATIC_C1	FUN_00535c10	IScript__SetHealth	DEFAULT
50	SpawnParticle	0x00536b70	0x0064daa0	NEW34_STATIC_C1	FUN_00536b70	IScript__SpawnParticle	DEFAULT
51	SetSegmentHealth	0x00535480	0x0064dae0	NEW34_STATIC_C1	FUN_00535480	IScript__SetSegmentHealth	DEFAULT
52	SetAllSegmentsHealth	0x00535500	0x0064db20	NEW34_STATIC_C1	FUN_00535500	IScript__SetAllSegmentsHealth	DEFAULT
54	PlayAnimationWait	0x005351d0	0x0064dba0	NEW34_STATIC_C1	FUN_005351d0	IScript__PlayAnimationWait	DEFAULT
61	SetY	0x00534dc0	0x0064dd60	NEW34_STATIC_C1	FUN_00534dc0	IScript__SetY	DEFAULT
64	GetSafePos	0x005350b0	0x0064de20	NEW34_STATIC_C1	FUN_005350b0	IScript__GetSafePos	DEFAULT
67	GetFloatRand	0x00538290	0x0064dee0	NEW34_STATIC_C1	FUN_00538290	IScript__GetFloatRand	DEFAULT
71	IsEnemy	0x00538060	0x0064dfe0	NEW34_STATIC_C1	FUN_00538060	IScript__IsEnemy	DEFAULT
89	GetAngle	0x00534680	0x0064e460	NEW34_STATIC_C1	FUN_00534680	IScript__GetAngle	DEFAULT
93	SpawnersInUse	0x00535af0	0x0064e560	NEW34_STATIC_C1	FUN_00535af0	IScript__SpawnersInUse	DEFAULT
95	Stop	0x00534f30	0x0064e5e0	NEW34_STATIC_C1	FUN_00534f30	IScript__Stop	DEFAULT
96	Deploy	0x00534f70	0x0064e620	NEW34_STATIC_C1	FUN_00534f70	IScript__Deploy	DEFAULT
97	Undeploy	0x00534f90	0x0064e660	NEW34_STATIC_C1	FUN_00534f90	IScript__Undeploy	DEFAULT
103	GetTarget	0x005366c0	0x0064e7e0	NEW34_STATIC_C1	FUN_005366c0	IScript__GetTarget	DEFAULT
104	Normalise	0x00534500	0x0064e820	NEW34_STATIC_C1	FUN_00534500	IScript__Normalise	DEFAULT
107	IsFiring	0x00535b50	0x0064e8e0	NEW34_STATIC_C1	FUN_00535b50	IScript__IsFiring	DEFAULT
109	SetSegmentVulnerable	0x00534300	0x0064e960	NEW34_STATIC_C1	FUN_00534300	IScript__SetSegmentVulnerable	DEFAULT
112	SwitchMessagesOn	0x005342c0	0x0064ea20	NEW34_STATIC_C1	FUN_005342c0	IScript__SwitchMessagesOn	DEFAULT
113	SwitchMessagesOff	0x005342e0	0x0064ea60	NEW34_STATIC_C1	FUN_005342e0	IScript__SwitchMessagesOff	DEFAULT
116	GotoPlayerCamera	0x005342b0	0x0064eb20	NEW34_STATIC_C1	FUN_005342b0	IScript__GotoPlayerCamera	DEFAULT
125	InJetMode	0x005380f0	0x0064ed60	NEW34_STATIC_C1	FUN_005380f0	IScript__InJetMode	DEFAULT
129	SetVelocity	0x00534340	0x0064ee60	NEW34_STATIC_C1	FUN_00534340	IScript__SetVelocity	DEFAULT
131	GetNumber	0x00535980	0x0064eee0	NEW34_STATIC_C1	FUN_00535980	IScript__GetNumber	DEFAULT
132	SpawnEscapePod	0x005371e0	0x0064ef20	NEW34_STATIC_C1	FUN_005371e0	IScript__SpawnEscapePod	DEFAULT
134	ResetSegmentHealth	0x005354c0	0x0064efa0	NEW34_STATIC_C1	FUN_005354c0	IScript__ResetSegmentHealth	DEFAULT
143	IsOverWater	0x00538150	0x0064f1e0	NEW34_STATIC_C1	FUN_00538150	IScript__IsOverWater	DEFAULT
