handlerVa	preCommentPresent	preCommentLen	preCommentSha256	preRepeatableCommentPresent	preRepeatableCommentLen	preRepeatableCommentSha256	preTagCount	preTagsSha256	preTags
0x00537D70	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x00537E40	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x00537C70	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x005383C0	true	803	eb04bf224e0ad1ff82cc57bb261095e743b7c12cc2f847f20106817329095802	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	13	9ed6fad3df7275aba26662c5b46c520c8c4e5a6255576e892a1c305031c985f5	ceventfunctionparam,command-handler,event-manager,fixed-script-abi,iscript,iscript-level-event-wave585,mission-script,post-event,retail-binary-evidence,scheduled-event,script-command-registry,signature-corrected,static-reaudit
0x00538230	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x005381F0	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x00537AD0	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x00536920	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x005367C0	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x00535D50	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x00537410	true	782	75a28a5d442545be2c40c21642e7d58fceca63999e6411340c1fac159beca8ae	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	13	03676b90a313be70e4774d97db628f60e3931c050629b8313ca220b83d03e4d2	argument-getter-30,argument-getter-34,command-handler,default-text,iscript,iscript-object-audio-wave584,message-box,mission-script,retail-binary-evidence,script-command-registry,script-context-abi,signature-corrected,static-reaudit
0x00535920	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x00536070	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x00535ED0	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x005361A0	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x00536350	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x005369B0	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x00535890	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	<EMPTY>
0x00537500	true	886	044d1d7353dbc052041c71c558d11abd6ee4e73fabdfe3a794a3ab746be98cc8	false	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	13	d6643d3041f37e23141088fbfc0d873c288b0b7e38b6e334adff91b2d05d3657	argument-getter-30,argument-getter-34,callback-message,command-handler,iscript,iscript-object-audio-wave584,message-box,mission-script,retail-binary-evidence,script-command-registry,script-context-abi,signature-corrected,static-reaudit
