retail_va	current_name	body_bytes	ghidra_instruction_rows	proposal_status	cheapest_next_instrument
0x004655d0	con_fmv_play	110	41	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x0046ca70	CGame__ShutdownRestartLoop	696	182	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x0046dc30	CGame__RestartLoopRunLevel	1531	408	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x004ac4a0	CMeshCollisionVolume__TestSweptSphereAgainstMeshPart	574	173	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x004efb00	JmpThunk_004530a0_004efb00	10	2	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x00528b20	CTweakInt_SetNumViewpoints__ctor	45	11	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005410e0	JmpThunk_004530a0_005410e0	10	2	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x00541110	JmpThunk_00466290	10	2	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x00550830	JmpThunk_004530a0_00550830	10	2	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x0055d896	CRT__SehFilterCppException	114	45	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x00561360	__trandisp1	103	29	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x00563a4e	__cintrindisp1	61	16	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x00563a8b	__ctrandisp2	72	20	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x00563c0b	__ctrandisp1	51	15	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x00564fd6	FirstCall_CRT__FlushAllFileStreamsByMode_00564fd6	9	4	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x00564fdf	CRT__FlushAllFileStreamsByMode	164	66	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005771dd	Math__BuildScaleMatrix4x4	90	34	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x0057726d	Math__BuildTranslationMatrix4x4	90	34	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005775c3	Math__BuildQuaternionRotationMatrix	224	87	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x00577a3e	Math__BuildQuaternionFromEulerAngles	215	79	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x00577eaa	Math__InterpolateVec4ByRatio	225	89	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005913b0	CFastVB__JpegParser_ResetFrameState	162	41	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005919e0	CDXTexture__DecodeJpegSegment_HuffmanTables	709	234	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x0059c4d0	CallbackInstallTarget_0059c58d	53	21	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005a1889	CFastVB__DispatchOp_NormalizeVec3_005a1889	240	64	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005a1979	CFastVB__DispatchOp_NormalizeVec4_005a1979	277	74	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005a2ee9	CFastVB__DispatchOp_Determinant4x4_005a2ee9	267	81	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
