retail_va	demo_va	current_name	mapping_basis	exact_candidate_count	unclaimed_candidate_count	body_bytes	instructions	raw_diff_bytes	normalized_sha256	changed_operand_pairs	direct_transfer_pairs	boundary_evidence	selection_evidence	comparison_result	operand_audit_status
0x00528b20	0x00529230	CTweakInt_SetNumViewpoints__ctor	UNIQUE_UNCLAIMED_EXACT_SHAPE_AND_STATIC_INIT_CALL	2	1	45	11	6	5036faa3bd31f834545cc14c4cbeedd1285d21b2445470047d03a636285048f6	4	0	preceding terminal/padding; terminal ret; padding follows	two global exact candidates; the other is the already mapped CVar__Init body, while a normalized-identical 32-byte static initializer calls this entry	NORMALIZED_IDENTICAL_COMPLETE_BODY	ALL_CHANGED_OPERANDS_CLASSIFIED
0x00541110	0x00541720	JmpThunk_00466290	MAPPED_CALLER_CODE_POINTER_AND_MAPPED_JUMP_TARGET	96	26	10	2	6	ca34c0ed9d479badab9000276bbae84bbbea38ee18333947c45c888d68010f22	2	1	preceding terminal/padding; terminal jmp; padding follows	mapped initializer 0x005410f0->0x00541700 carries the thunk pointer and the selected exact thunk uniquely jumps to mapped target 0x00541730	NORMALIZED_IDENTICAL_COMPLETE_BODY	ALL_CHANGED_OPERANDS_CLASSIFIED
0x00550830	0x00550ec0	JmpThunk_004530a0_00550830	MAPPED_CALLER_CODE_POINTER	96	26	10	2	6	ca34c0ed9d479badab9000276bbae84bbbea38ee18333947c45c888d68010f22	2	1	preceding terminal/padding; terminal jmp; padding follows	mapped initializer 0x00550810->0x00550ea0 carries the corresponding thunk pointer and static-object address	NORMALIZED_IDENTICAL_COMPLETE_BODY	ALL_CHANGED_OPERANDS_CLASSIFIED
0x00564fd6	0x00564107	FirstCall_CRT__FlushAllFileStreamsByMode_00564fd6	UNIQUE_EXACT_WRAPPER_TO_UNIQUE_EXACT_BODY	17	4	9	4	0	27ce34536a1f7f86d0dd12a4026045b7ea27c702badeed7b1096e4c6742f2570	0	1	preceding terminal/padding; terminal ret; next-body follows	the selected wrapper is the sole exact wrapper candidate that calls the unique flush-body candidate and ends exactly where that body starts	NORMALIZED_IDENTICAL_COMPLETE_BODY	ALL_CHANGED_OPERANDS_CLASSIFIED
0x00564fdf	0x00564110	CRT__FlushAllFileStreamsByMode	UNIQUE_GLOBAL_EXACT_BODY	1	1	164	66	18	147374dedef672e904918756707fd269babc59fe5403da12af1c1a1b5f0d4ebc	9	18	preceding terminal/padding; terminal ret; next-body follows	one exact normalized body occurrence in the complete demo text	NORMALIZED_IDENTICAL_COMPLETE_BODY	ALL_CHANGED_OPERANDS_CLASSIFIED
0x005a1889	0x005a39a3	CFastVB__DispatchOp_NormalizeVec3_005a1889	UNIQUE_GLOBAL_RAW_BODY	1	1	240	64	0	e1cf6d66a5c4b6eaccd98c89cfe7c0cbb52c89594c3a6566709cf340601c5167	0	2	preceding terminal/padding; terminal ret; next-body follows	one exact occurrence in the complete demo text; all 240 body bytes are equal	NORMALIZED_IDENTICAL_COMPLETE_BODY	ALL_CHANGED_OPERANDS_CLASSIFIED
0x005a1979	0x005a3a93	CFastVB__DispatchOp_NormalizeVec4_005a1979	UNIQUE_GLOBAL_RAW_BODY	1	1	277	74	0	3bbc654566b0c0c5867efd705370a751d3949e8220fa956dd998089b891792a9	0	2	preceding terminal/padding; terminal ret; next-body follows	one exact occurrence in the complete demo text; all 277 body bytes are equal	NORMALIZED_IDENTICAL_COMPLETE_BODY	ALL_CHANGED_OPERANDS_CLASSIFIED
0x005a2ee9	0x005a1a11	CFastVB__DispatchOp_Determinant4x4_005a2ee9	UNIQUE_GLOBAL_RAW_BODY	1	1	267	81	0	1df21e9eb949ba38a8ecd34acc3d9662fec4df489899f39db4d53c8d11d9776a	0	2	preceding terminal/padding; terminal ret; next-body follows	one exact occurrence in the complete demo text; all 267 body bytes are equal	NORMALIZED_IDENTICAL_COMPLETE_BODY	ALL_CHANGED_OPERANDS_CLASSIFIED
0x005a32d4	0x005a1dfc	CFastVB__DispatchOp_MultiplyMatrix4x4_005a32d4	UNIQUE_GLOBAL_RAW_BODY	1	1	564	157	0	da3cd171824fc22c8e58a032cbe18e78a0bd2401d9badd63d712d984412ac293	0	0	preceding terminal/padding; terminal ret; next-body follows	one exact occurrence in the complete demo text; all 564 body bytes are equal	NORMALIZED_IDENTICAL_COMPLETE_BODY	ALL_CHANGED_OPERANDS_CLASSIFIED
0x005a38c0	0x005a3f80	CFastVB__DispatchOp_TransformVec4ArrayByMatrix4	ORDERED_RAW_BLOCK_TO_MAPPED_UPPER_ANCHOR	2	2	149	42	0	ae2cb677135a3396363173b4e54c15dc4a70e27790021e36b52e2cd1121c510e	0	2	preceding terminal/padding; terminal ret; padding follows	the two duplicate 149-byte bodies retain their retail order and 0xc0 spacing inside a raw-identical 0x180-byte block ending at mapped anchor 0x005a4100	NORMALIZED_IDENTICAL_COMPLETE_BODY	ALL_CHANGED_OPERANDS_CLASSIFIED
0x005a3980	0x005a4040	CFastVB__DispatchOp_TransformVec4ArrayByMatrix4_Alt_005a3980	ORDERED_RAW_BLOCK_TO_MAPPED_UPPER_ANCHOR	2	2	149	42	0	ae2cb677135a3396363173b4e54c15dc4a70e27790021e36b52e2cd1121c510e	0	2	preceding terminal/padding; terminal ret; padding follows	the two duplicate 149-byte bodies retain their retail order and 0xc0 spacing inside a raw-identical 0x180-byte block ending at mapped anchor 0x005a4100	NORMALIZED_IDENTICAL_COMPLETE_BODY	ALL_CHANGED_OPERANDS_CLASSIFIED
