retail_va	demo_va	current_name	mapping_basis	body_normalized_equal	body_bytes	instruction_count	raw_equal	raw_diff_bytes	retail_normalized_sha256
0x00401000	0x00401000	CGenericActiveReader__SetReader	UNIQUE_MASKED_WINDOW_MATCH	true	52	24	false	2	4e4b52014d5236fb2624fb4990d5540952fa42fe24d41148fa88d57af3429d6c
0x00401040	0x00401040	CMonitor__AddDeletionEvent	UNIQUE_MASKED_WINDOW_MATCH	true	126	39	false	10	91f94af69d45d4348ac2dc457fb6670bf1e795adff9a795f8b8672ff302582e4
0x004010c0	0x004010d0	HYP__ZeroDwords3_00660060	UNIQUE_ORDER_CONSTRAINED_MATCH	true	31	4	false	6	6dc5fd2d5ba0f07e273628e3c451d85565835b00d485a1e481735614b96ab582
0x004011b0	0x004011c0	vector_constructor_iterator_nothrow	UNIQUE_MASKED_WINDOW_MATCH	true	42	21	true	0	a6b4b7ede766f3c011d67d9ec941bae535ca0b88d6e1c8a715d5690001719af9
0x004011e0	0x004011f0	HYP__CActor__Init	RTTI_VTABLE_ANCHOR	true	485	148	false	11	f6e0af867bdaa1ae3035b583812f0aa4de0e8de735df453229cd7dbccfa0321d
0x004013d0	0x004013e0	HYP__CActor__dtor_base	BRACKETED_CONSTANT_DELTA	true	18	3	false	3	aa739a366a748112b27e86676e4f60a5c8c71dee99d8fb4e0e072fac2fedffd9
0x004013f0	0x00401400	SharedVFunc__ReturnColorFF000080_004013f0	RTTI_VTABLE_ANCHOR	true	6	2	true	0	fc9727eae305b45d1df8a58191610014e9104fa57b472dca0dbbded60cb84d82
0x00401400	0x00401410	CThing__ForwardField28Slot18OrFallbackFloat_00401400	RTTI_VTABLE_ANCHOR	true	19	7	false	1	d5bc2bca29322836b94b69b56a51eee450827803d3291a4e69acf2b76324686b
0x00401420	0x00401470	CThing__GetCueFactorFromRenderThing	RTTI_VTABLE_ANCHOR	true	18	7	false	1	aa05f673ebfe9f602ad01039d16ba4bec487d712e139be007a783908a7158e12
0x00401440	0x00401490	CThing__GetRenderRadiusFromRenderThing	RTTI_VTABLE_ANCHOR	true	19	7	false	1	d5bc2bca29322836b94b69b56a51eee450827803d3291a4e69acf2b76324686b
0x00401460	0x004014b0	CThing__MakeVisible	RTTI_VTABLE_ANCHOR	true	5	2	true	0	09e902376d47351773b9d81db54416a5e05438132ae867664a2835ba984f2260
0x00401470	0x004014c0	CThing__MakeInvisible	RTTI_VTABLE_ANCHOR	true	5	2	true	0	25ded32f38735e4d7f74401b4a4f4c7f81c8de1ea15711050ea67e01e5e4a2e6
0x00401480	0x004014d0	SharedVFunc__ReturnTrue_00401480	RTTI_VTABLE_ANCHOR	true	3	2	true	0	2be0801e0a27d7de42f85c1f98c2092dc59e1dce0e7f367e558f7c6089ea3c73
0x00401490	0x004014e0	CThing__Damage_NoOp	RTTI_VTABLE_ANCHOR	true	3	1	true	0	b6cbececf1b07e74f37d57710c68c31f0b92cb08d51093252b321b07542e177b
0x004014a0	0x00405f40	SharedVFunc__Return1_004014a0	RTTI_VTABLE_ANCHOR	true	6	2	true	0	fc9727eae305b45d1df8a58191610014e9104fa57b472dca0dbbded60cb84d82
0x004014b0	0x00405fa0	CThing__GravityDefault	RTTI_VTABLE_ANCHOR	true	7	2	false	1	ee43de7e2764d551eda94e7adc8b24c27ea34c74f7bd1334213299e3490ded98
0x004014c0	0x00405930	SharedVFunc__NoOpOneArg_004014c0	RTTI_VTABLE_ANCHOR	true	3	1	true	0	b6cbececf1b07e74f37d57710c68c31f0b92cb08d51093252b321b07542e177b
0x004014d0	0x004014f0	CComplexThing__ReturnField64Offset10OrMinusOne_004014d0	RTTI_VTABLE_ANCHOR	true	15	7	true	0	de8cf7e8cfb92540f758c82a0a16c073f03b6bdab7b188929d6378155606cdf4
0x004014e0	0x00401500	CComplexThing__IsObjectiveFlagSet	RTTI_VTABLE_ANCHOR	true	11	4	true	0	1b75125f827abcc16420cea510c1374b128d21deb82e56c4d071bd3a4ad0123f
0x004014f0	0x00401510	SharedVFunc__ReturnField68_004014f0	RTTI_VTABLE_ANCHOR	true	4	2	true	0	79e62eeb1eb32686799a36992be3328791e2402aed417b8f37d87e577ff834e6
0x00401500	0x00401520	CComplexThing__ReturnField64Offset14OrZero_00401500	RTTI_VTABLE_ANCHOR	true	14	7	true	0	6f07a712d41b3c56f01fd5f097b5b2fc38ee01b1f75b1ca3a89a6f6ded149107
0x00401510	0x00401530	CComplexThing__ReturnField78_00401510	RTTI_VTABLE_ANCHOR	true	4	2	true	0	79e62eeb1eb32686799a36992be3328791e2402aed417b8f37d87e577ff834e6
0x00401520	0x00401540	CComplexThing__NoOpFiveArgs_00401520	RTTI_VTABLE_ANCHOR	true	3	1	true	0	b6cbececf1b07e74f37d57710c68c31f0b92cb08d51093252b321b07542e177b
0x00401530	0x00401550	CActor__VFunc_7_00401530	RTTI_VTABLE_ANCHOR	true	6	2	false	1	fc9727eae305b45d1df8a58191610014e9104fa57b472dca0dbbded60cb84d82
0x00401540	0x00401560	CActor__VFunc_38_00401540	RTTI_VTABLE_ANCHOR	true	15	4	true	0	8e0f895375b6bf52900dfa41e128c41bd8bbc0f7be86f74e793686eac73b54c1
0x00401550	0x00401570	HYP__CActor__GetLocalLastFrameMovement	RTTI_VTABLE_ANCHOR	true	42	11	true	0	1606a86fca8a1517f58e8d871cac5f2738beb34c3bf2e941ad89d982a7e493dd
0x00401580	0x004015a0	CActor__VFunc_64_00401580	RTTI_VTABLE_ANCHOR	true	61	15	true	0	0959c419cf1547c5bab943ccb08391816cebdb6ea0620d3ec75d6bbb4adcb0ff
0x004015c0	0x004015e0	HYP__CActor__scalar_deleting_dtor	RTTI_VTABLE_ANCHOR	true	32	11	false	6	a4284d7048388722363491cd93758810e80dc90a4580bc1797fd018f371e738e
0x004015e0	0x00401600	HYP__CActor__Move	RTTI_VTABLE_ANCHOR	true	794	242	false	30	93b164ebb169a98f8c2712dfaf7990441edfb2f717a13c56337262d12cc54fc7
0x00401900	0x00401920	HYP__CActor__MoveTo	RTTI_VTABLE_ANCHOR	true	13	4	false	2	6e7f7c8aa921cdfb0e13d9443267c1ba4b9c5d86f9cca00b1afefe69385f65c4
0x00401910	0x00401930	HYP__CActor__Teleport	RTTI_VTABLE_ANCHOR	true	145	55	false	3	a7d347266c2807d210d4ec384df976e06ac2ad9cbd72714fab96cb79fa859afd
0x004019b0	0x004019d0	HYP__CActor__TeleportOrientation	RTTI_VTABLE_ANCHOR	true	36	14	false	1	c7cf422257e8044940cc0839a2ffd7ecccea1c940d6fe0f1a82a7d00549d8f52
0x004019e0	0x00401a00	HYP__CActor__HandleEvent	RTTI_VTABLE_ANCHOR	true	367	117	false	11	ba5eaa123fb68909f9687bb50e423cf05368261b26a18d6de9b6e8d3f2f37b54
0x00401b50	0x00401b70	HYP__CActor__GetFractionTime	BRACKETED_CONSTANT_DELTA	true	130	44	false	13	0adaf7589db253ebd89d44a40753d795c10e0b423453bd96cefb5249a83656fe
0x00401be0	0x00401c00	HYP__CActor__GetRenderPos	RTTI_VTABLE_ANCHOR	true	108	27	false	2	399f872cb35e80edc8654385a595e3f46fc649c18ea195d00bdbd73c7e93d821
0x00401c50	0x00401c70	HYP__CActor__GetRenderOrientation	RTTI_VTABLE_ANCHOR	true	618	183	false	13	3fcc2eb711502b931d3ef98ccc0678e2251650659c7fc41179d4d7b3f8cca89f
0x00401ec0	0x00401ee0	Vec3__SetXYZ	BRACKETED_CONSTANT_DELTA	true	25	8	true	0	f429027c659b8277fcd25e71e926bd6835d8278417e503f15e7ac1bfb8ea24e7
0x00401ee0	0x00401f00	Vec3__Add	BRACKETED_CONSTANT_DELTA	true	35	12	true	0	85ade4fe695527476ea29c644db89791c81837a7769fe97ea57aabb5eac28e76
0x00401f10	0x00401f30	Mat34__SetRows	BRACKETED_CONSTANT_DELTA	true	93	34	true	0	2b0de0c81602b87a779a6bcbf09ce12f0610e08c7912d1e089ab7654a54343df
0x00401f70	0x00401f90	HYP__CActor__IsOnGround	RTTI_VTABLE_ANCHOR	true	34	10	false	3	62fe97c0e1062d4bbc15cad1752cd31cfd0d6d6eb706c1b2343a3122606c4dea
0x00401fa0	0x00401fc0	ElapsedTime__BelowThreshold_D0	BRACKETED_CONSTANT_DELTA	true	34	10	false	3	62fe97c0e1062d4bbc15cad1752cd31cfd0d6d6eb706c1b2343a3122606c4dea
0x00401fd0	0x00401ff0	ElapsedTime__BelowThreshold_D4	BRACKETED_CONSTANT_DELTA	true	34	10	false	3	62fe97c0e1062d4bbc15cad1752cd31cfd0d6d6eb706c1b2343a3122606c4dea
0x00402000	0x00402020	HYP__CActor__DeclareOnGround	RTTI_VTABLE_ANCHOR	true	12	3	false	2	31d76914953924a7557d3b187bd2a38cc84bb7c59aa3289813c2020c28dfc06a
0x00402010	0x00402030	HYP__CActor__DeclareInWater	RTTI_VTABLE_ANCHOR	true	12	3	false	2	31d76914953924a7557d3b187bd2a38cc84bb7c59aa3289813c2020c28dfc06a
