retail_va	demo_va	retail_current_name	semantic_label	source_anchor	body_bytes	instruction_count	raw_diff_bytes	normalized_diff_bytes	semantic_status	evidence_boundary
0x0048ddd0	0x0048dbf0	CDXMemBuffer__OpenReadMode11	CDXMemBuffer read-mode-0x11 wrapper	retail wrapper	19	7	2	0	RETAIL_WRAPPER_DEMO_TWIN	Calls InitFromFile(filename, 0x11, true, 0); observed particle-set loader boundary
0x0048ddf0	0x0048dc10	CDXMemBuffer__Close_Thunk	CDXMemBuffer::Close direct-transfer thunk	compiler-generated	5	1	2	0	DIRECT_TRANSFER_DEMO_TWIN	Single unconditional transfer to CDXMemBuffer::Close
0x004cdb90	0x004cdab0	CDXMemBuffer__dtor_base_Thunk	CDXMemBuffer destructor direct-transfer thunk	compiler-generated	5	1	2	0	DIRECT_TRANSFER_DEMO_TWIN	Single unconditional transfer to the base destructor, used by particle-loader unwind cleanup
0x00547d40	0x005483d0	CDXMemBuffer__SetBufferSize	CDXMemBuffer::SetNextReadBufferSize	DXMemBuffer.cpp:32	35	9	4	0	RELEASE_ALGORITHM_DIVERGENCE_DEMO_TWIN	Zero selects 1 MiB; otherwise rounds requested bytes upward to a 1 MiB boundary; retained source selects 64 KiB for zero and stores nonzero size unchanged
0x00547d70	0x00548400	CDXMemBuffer__ctor	CDXMemBuffer::CDXMemBuffer	DXMemBuffer.cpp:49	17	7	0	0	SOURCE_BODY_DEMO_TWIN	Clears data, CRC data, and buffered-reader pointer/state fields
0x00547d90	0x00548420	CDXMemBuffer__dtor_base	CDXMemBuffer::~CDXMemBuffer	DXMemBuffer.cpp:57	33	12	4	0	SOURCE_BODY_DEMO_TWIN	Frees owned data and CRC-side buffers through the global memory manager
0x00547dc0	0x00548450	CDXMemBuffer__OpenWrite	CDXMemBuffer::InitFromMem	DXMemBuffer.cpp:65	252	79	20	0	SOURCE_SHAPE_RETAIL_COMPRESSION_DEMO_TWIN	Allocates a 1 MiB write buffer, stores type/name, creates/truncates the output file, builds the .crc sidecar, initializes write state, and frees on open failure
0x00547ec0	0x00548550	CDXMemBuffer__InitFromFile	CDXMemBuffer::InitFromFile	DXMemBuffer.cpp:119	1009	334	60	0	SOURCE_BODY_RETAIL_COMPRESSION_DEMO_TWIN	Allocates the configured read buffer, resolves optional munged path, opens data and CRC sidecar, initializes cursor/EOF/read state, seeks by start skip, and supports released compressed-block reads
0x005482c0	0x00548950	CDXMemBuffer__GetFileSize	CDXMemBuffer::GetFileSize	DXMemBuffer.cpp:330	12	5	1	0	SOURCE_BODY_DEMO_TWIN	Returns Win32 GetFileSize for the owned handle
0x005482d0	0x00548960	CDXMemBuffer__Skip	CDXMemBuffer::Skip	DXMemBuffer.cpp:352	665	227	27	0	SOURCE_BODY_RETAIL_COMPRESSION_DEMO_TWIN	Advances across current/refilled blocks, maintains position and EOF state, and returns actual skipped bytes across raw or compressed input
0x00548570	0x00548c00	CDXMemBuffer__Read	CDXMemBuffer::Read	DXMemBuffer.cpp:394	686	238	25	0	SOURCE_BODY_RETAIL_COMPRESSION_DEMO_TWIN	Copies requested bytes across block refills, updates cursor/position/EOF, supports short reads, decompresses released compressed blocks, and validates CRC side data
0x00548820	0x00548eb0	CDXMemBuffer__ReadLine	CDXMemBuffer::ReadString	DXMemBuffer.cpp:467	580	196	26	0	RELEASE_LINE_SEMANTICS_DEMO_TWIN	Reads until newline, EOF, or max-1, normalizes CRLF to newline plus NUL, updates position/EOF, and refills/decompresses as needed; retained source names the related helper ReadString
0x00548a70	0x00549100	CDXMemBuffer__WriteBytes	CDXMemBuffer::Write	DXMemBuffer.cpp:533	391	137	15	0	SOURCE_BODY_RETAIL_COMPRESSION_DEMO_TWIN	Buffers bytes, flushes full blocks, emits CRC data, writes raw blocks or zlib-compressed blocks with a four-byte compressed-length prefix, and updates pointer/count/position state
0x00548c00	0x00549290	CDXMemBuffer__Close	CDXMemBuffer::Close	DXMemBuffer.cpp:574	303	112	22	0	SOURCE_BODY_RETAIL_COMPRESSION_DEMO_TWIN	Read mode closes and frees data/CRC buffers; write mode flushes the final raw or compressed block, emits CRC, closes handles, and frees the write buffer
0x00548d30	0x005493c0	CDXMemBuffer__IsEOF	CDXMemBuffer::EndOfFile	DXMemBuffer.cpp:628	4	2	0	0	SOURCE_BODY_DEMO_TWIN	Returns the stored EOF flag
0x00548d70	0x00549400	CDXMemoryManager__ctor	CDXMemoryManager::CDXMemoryManager	DXMemoryManager.cpp:27	333	102	26	0	SOURCE_BODY_DEMO_TWIN	Clears base state, constructs four embedded heaps, points all 129 memory-type slots at default, and copies type names/limits from the retained table
0x00548f90	0x00549620	CDXMemoryManager__Init	CDXMemoryManager::Init	DXMemoryManager.cpp:63	303	80	28	0	SOURCE_PC_BODY_DEMO_TWIN	Marks initialized, configures default/dump/thing/sound heaps, includes a 0x4b000 tiny arena, and remaps sound/sample and thing-family types to specialized heaps
0x005490c0	0x00549750	CDXMemoryManager__Shutdown	CDXMemoryManager::Shutdown	DXMemoryManager.cpp:151	21	3	4	0	SOURCE_PC_BODY_DEMO_TWIN	Clears global initialized state and shuts down the default heap; Xbox-only texture/VB shutdown paths are absent
0x005490e0	0x00549770	CDXMemoryManager__Alloc	CDXMemoryManager::Alloc	DXMemoryManager.cpp:163	195	70	18	0	SOURCE_BODY_DEMO_TWIN	Dispatches size/type/source-file/line to the type-selected heap and maps default/dump/thing/sound allocation failure to distinct localized fatal errors
0x005491b0	0x00549840	CDXMemoryManager__ReAlloc	CDXMemoryManager::ReAlloc	DXMemoryManager.cpp:199	100	42	6	0	SOURCE_BODY_DEMO_TWIN	Tries tiny realloc in default then thing heaps; otherwise reads the memory type from the 16-byte allocation header and dispatches to that type's heap
0x00549220	0x005498b0	CDXMemoryManager__Free	CDXMemoryManager::Free	DXMemoryManager.cpp:247	65	24	6	0	SOURCE_BODY_DEMO_TWIN	Ignores null, tries default/thing tiny frees, then derives the 16-byte block header and frees through its recorded type heap
0x00549290	0x00549920	CDXMemoryManager__PrintStats	CDXMemoryManager::PrintStats	DXMemoryManager.cpp:330	32	7	6	0	SOURCE_PC_BODY_DEMO_TWIN	Selects default or thing heap from the retail debug heap selector and forwards PrintStats
0x005492b0	0x00549940	CDXMemoryManager__OutputStats	CDXMemoryManager::OutputStats	DXMemoryManager.cpp:356	19	5	2	0	SOURCE_BODY_DEMO_TWIN	Forwards the requested filename to default-heap statistics output
0x005492d0	0x00549960	CDXMemoryManager__CalcAndShowDeltas	CDXMemoryManager::CalcAndShowDeltas	DXMemoryManager.cpp:368	64	16	14	0	SOURCE_PC_BODY_DEMO_TWIN	Prints delimiters and calculates deltas for default, dump, and thing heaps; Xbox-only texture/VB heaps are absent
