sourcePath	sourceLine	functionVa	functionName	pushLineAt	pushPathAt	pairingMode	interveningInstructions	consumerAt	consumerVa	consumerName
C:\dev\ONSLAUGHT2\AirUnit.cpp	42	0x00402AD0	CAirUnit__Init	0x00402BD5	0x00402BD7	ADJACENT	0	0x00402BE5	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\AirUnit.cpp	42	0x005D0F70	Unwind@005d0f70	0x005D0F70	0x005D0F72	ADJACENT	0	0x005D0F7D	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\AirUnit.cpp	54	0x00402AD0	CAirUnit__Init	0x00402C9D	0x00402C9F	ADJACENT	0	0x00402CAD	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\AirUnit.cpp	54	0x005D0F86	Unwind@005d0f86	0x005D0F86	0x005D0F88	ADJACENT	0	0x005D0F93	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Array.h	18	0x0047D590	CGroundVehicleGuide__Constructor	0x0047D5B9	0x0047D5BE	STACK_STABLE_GAP	1	0x0047D5DF	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Array.h	18	0x0047D590	CGroundVehicleGuide__Constructor	0x0047D5E7	0x0047D5E9	ADJACENT	0	0x0047D603	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\array.h	18	0x0048A3C0	CInfantryGuide__ctor	0x0048A3EA	0x0048A3F4	STACK_STABLE_GAP	2	0x0048A410	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\array.h	18	0x0048A3C0	CInfantryGuide__ctor	0x0048A418	0x0048A41A	ADJACENT	0	0x0048A42E	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Array.h	18	0x004A0A20	CMechGuide__ctor	0x004A0A4A	0x004A0A54	STACK_STABLE_GAP	2	0x004A0A70	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Array.h	18	0x004A0A20	CMechGuide__ctor	0x004A0A78	0x004A0A7A	ADJACENT	0	0x004A0A8E	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\array.h	18	0x004D40D0	CPolyBucket__Build	0x004D4136	0x004D4138	ADJACENT	0	0x004D414D	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\array.h	18	0x004D59F0	CPolyBucket__Load	0x004D5D1C	0x004D5D28	STACK_STABLE_GAP	3	0x004D5D37	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\array.h	18	0x004E6870	CNormalSquad__Constructor	0x004E68B3	0x004E68BB	STACK_STABLE_GAP	1	0x004E68D9	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\array.h	18	0x004E6870	CNormalSquad__Constructor	0x004E68E1	0x004E68E3	ADJACENT	0	0x004E68FD	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\array.h	18	0x005D481C	Unwind@005d481c	0x005D481C	0x005D481E	ADJACENT	0	0x005D482C	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Atmospherics.cpp	112	0x00404A00	Atmospherics__Init	0x00404A73	0x00404A75	ADJACENT	0	0x00404A81	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Atmospherics.cpp	112	0x005D0FF0	Unwind@005d0ff0	0x005D0FF0	0x005D0FF2	ADJACENT	0	0x005D0FFD	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Atmospherics.cpp	115	0x00404A00	Atmospherics__Init	0x00404A9D	0x00404A9F	ADJACENT	0	0x00404AB8	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Atmospherics.cpp	115	0x005D1006	Unwind@005d1006	0x005D1006	0x005D1008	ADJACENT	0	0x005D1013	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\BattleEngine.cpp	99	0x00404DD0	CBattleEngine__Init	0x00404F83	0x00404F85	ADJACENT	0	0x00404F93	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngine.cpp	99	0x005D1030	Unwind@005d1030	0x005D1030	0x005D1032	ADJACENT	0	0x005D1040	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\BattleEngine.cpp	100	0x00404DD0	CBattleEngine__Init	0x00404FB4	0x00404FB6	ADJACENT	0	0x00404FD5	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngine.cpp	100	0x005D1049	Unwind@005d1049	0x005D1049	0x005D104B	ADJACENT	0	0x005D1059	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\BattleEngine.cpp	177	0x00404DD0	CBattleEngine__Init	0x0040529D	0x004052A2	ADJACENT	0	0x004052B0	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngine.cpp	177	0x005D106D	Unwind@005d106d	0x005D106D	0x005D1072	ADJACENT	0	0x005D1080	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\BattleEngine.cpp	189	0x00404DD0	CBattleEngine__Init	0x00405353	0x00405358	ADJACENT	0	0x00405366	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngine.cpp	189	0x005D1089	Unwind@005d1089	0x005D1089	0x005D108E	ADJACENT	0	0x005D109C	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\BattleEngine.cpp	200	0x00404DD0	CBattleEngine__Init	0x004053C7	0x004053CC	ADJACENT	0	0x004053DD	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngine.cpp	200	0x005D10A5	Unwind@005d10a5	0x005D10A5	0x005D10AA	ADJACENT	0	0x005D10B8	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\BattleEngine.cpp	264	0x00404DD0	CBattleEngine__Init	0x0040558F	0x0040559A	STACK_STABLE_GAP	1	0x004055C2	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngine.cpp	264	0x005D10DD	Unwind@005d10dd	0x005D10DD	0x005D10E2	ADJACENT	0	0x005D10F0	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\BattleEngine.cpp	292	0x00404DD0	CBattleEngine__Init	0x0040565B	0x00405666	STACK_STABLE_GAP	2	0x004056CB	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngine.cpp	292	0x005D10F9	Unwind@005d10f9	0x005D10F9	0x005D10FE	ADJACENT	0	0x005D110C	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\BattleEngine.cpp	501	0x00404DD0	CBattleEngine__Init	0x004054D7	0x004054DC	ADJACENT	0	0x004054EA	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngine.cpp	501	0x004063B0	CBattleEngine__UpdateWeaponEffect	0x004063D6	0x004063DB	ADJACENT	0	0x004063E9	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngine.cpp	501	0x005D10C1	Unwind@005d10c1	0x005D10C1	0x005D10C6	ADJACENT	0	0x005D10D4	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\BattleEngine.cpp	501	0x005D11F0	Unwind@005d11f0	0x005D11F0	0x005D11F5	ADJACENT	0	0x005D1200	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\BattleEngine.cpp	818	0x00406FC0	CBattleEngine__StartLock	0x0040700B	0x00407010	ADJACENT	0	0x0040701E	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngine.cpp	3595	0x0040A890	CBattleEngine__Damage	0x0040AA3E	0x0040AA43	ADJACENT	0	0x0040AA60	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineConfigurations.cpp	44	0x0040F180	BattleEngineConfigurations__Load	0x0040F1F0	0x0040F1F3	STACK_STABLE_GAP	1	0x0040F200	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineConfigurations.cpp	68	0x0040F260	BattleEngineConfigurations__Skip	0x0040F294	0x0040F297	STACK_STABLE_GAP	1	0x0040F2A4	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	32	0x0040F590	CBattleEngineData__Initialise	0x0040F594	0x0040F598	STACK_STABLE_GAP	1	0x0040F5A6	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	35	0x0040F590	CBattleEngineData__Initialise	0x0040F5BD	0x0040F5C5	STACK_STABLE_GAP	3	0x0040F5E5	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	36	0x0040F590	CBattleEngineData__Initialise	0x0040F5EA	0x0040F5EC	ADJACENT	0	0x0040F5FC	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	40	0x0040F590	CBattleEngineData__Initialise	0x0040F630	0x0040F632	ADJACENT	0	0x0040F640	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	41	0x0040F590	CBattleEngineData__Initialise	0x0040F645	0x0040F647	ADJACENT	0	0x0040F657	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	45	0x0040F590	CBattleEngineData__Initialise	0x0040F68B	0x0040F68D	ADJACENT	0	0x0040F69B	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	46	0x0040F590	CBattleEngineData__Initialise	0x0040F6A0	0x0040F6A2	ADJACENT	0	0x0040F6B2	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	50	0x0040F590	CBattleEngineData__Initialise	0x0040F6E6	0x0040F6E8	ADJACENT	0	0x0040F6F6	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	51	0x0040F590	CBattleEngineData__Initialise	0x0040F6FB	0x0040F6FD	ADJACENT	0	0x0040F70D	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	61	0x0040F590	CBattleEngineData__Initialise	0x0040F75D	0x0040F75F	ADJACENT	0	0x0040F76D	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	64	0x0040F590	CBattleEngineData__Initialise	0x0040F781	0x0040F789	STACK_STABLE_GAP	3	0x0040F7A9	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	67	0x0040F590	CBattleEngineData__Initialise	0x0040F7AE	0x0040F7B0	ADJACENT	0	0x0040F7C3	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	70	0x0040F590	CBattleEngineData__Initialise	0x0040F7C8	0x0040F7CA	ADJACENT	0	0x0040F7DD	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	192	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FA73	0x0040FA78	ADJACENT	0	0x0040FA86	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	193	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FA8B	0x0040FA90	ADJACENT	0	0x0040FAA2	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	207	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FADE	0x0040FAE3	ADJACENT	0	0x0040FAF1	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	208	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FAF8	0x0040FAFD	ADJACENT	0	0x0040FB0D	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	222	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FB49	0x0040FB4E	ADJACENT	0	0x0040FB5C	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	223	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FB63	0x0040FB68	ADJACENT	0	0x0040FB78	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	237	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FBB4	0x0040FBB9	ADJACENT	0	0x0040FBC7	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	238	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FBCE	0x0040FBD3	ADJACENT	0	0x0040FBE3	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	252	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FC1F	0x0040FC24	ADJACENT	0	0x0040FC32	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	253	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FC39	0x0040FC3E	ADJACENT	0	0x0040FC4E	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	268	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FC8F	0x0040FC94	ADJACENT	0	0x0040FCA4	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	298	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FD50	0x0040FD55	ADJACENT	0	0x0040FD65	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	304	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FD84	0x0040FD89	ADJACENT	0	0x0040FD97	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	324	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FDFE	0x0040FE03	ADJACENT	0	0x0040FE11	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	325	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FE16	0x0040FE1B	ADJACENT	0	0x0040FE2D	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	347	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FE8A	0x0040FE8F	ADJACENT	0	0x0040FE9D	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	348	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FEA2	0x0040FEA7	ADJACENT	0	0x0040FEB9	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	402	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x0040FFB8	0x0040FFBD	ADJACENT	0	0x0040FFCB	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	417	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x00410017	0x0041001C	ADJACENT	0	0x0041002A	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	432	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x00410076	0x0041007B	ADJACENT	0	0x00410089	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.cpp	438	0x0040F980	CBattleEngineData__LoadFromMemBuffer	0x00410099	0x0041009E	ADJACENT	0	0x004100AC	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.h	263	0x00510800	CWorldPhysicsManager__ReloadDefaultPhysicsAndBattleEngineData	0x005108E6	0x005108EB	ADJACENT	0	0x005108FC	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.h	263	0x005D65D9	Unwind@005d65d9	0x005D65D9	0x005D65DE	ADJACENT	0	0x005D65EC	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\BattleEngineDataManager.h	310	0x00510800	CWorldPhysicsManager__ReloadDefaultPhysicsAndBattleEngineData	0x005109D4	0x005109D9	ADJACENT	0	0x005109EA	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\BattleEngineDataManager.h	310	0x005D6603	Unwind@005d6603	0x005D6603	0x005D6608	ADJACENT	0	0x005D6616	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Boat.cpp	30	0x00414E50	CBoat__Init	0x00414EB0	0x00414EBC	STACK_STABLE_GAP	2	0x00414F0C	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Boat.cpp	30	0x005D1360	Unwind@005d1360	0x005D1360	0x005D1362	ADJACENT	0	0x005D136D	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Boat.cpp	31	0x00414E50	CBoat__Init	0x00414F2B	0x00414F2D	ADJACENT	0	0x00414F49	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Boat.cpp	31	0x005D1376	Unwind@005d1376	0x005D1376	0x005D1378	ADJACENT	0	0x005D1383	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Bomber.cpp	17	0x005D1400	Unwind@005d1400	0x005D1400	0x005D1402	ADJACENT	0	0x005D140D	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Bomber.cpp	18	0x005D1416	Unwind@005d1416	0x005D1416	0x005D1418	ADJACENT	0	0x005D1423	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\BSpline.cpp	19	0x00416D10	CBSpline__ctor	0x00416D1C	0x00416D2E	STACK_STABLE_GAP	5	0x00416D47	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Building.cpp	50	0x00417190	CBuilding__VFunc_9_00417190	0x004171DE	0x004171E0	ADJACENT	0	0x00417207	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Building.cpp	50	0x005D1490	Unwind@005d1490	0x005D1490	0x005D1492	ADJACENT	0	0x005D14A0	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Building.cpp	51	0x00417190	CBuilding__VFunc_9_00417190	0x0041722C	0x0041722E	ADJACENT	0	0x0041724C	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Building.cpp	51	0x005D14A9	Unwind@005d14a9	0x005D14A9	0x005D14AB	ADJACENT	0	0x005D14B9	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Building.cpp	100	0x00417390	CBuilding__CreateRepairPadAI	0x004173C8	0x004173CA	ADJACENT	0	0x004173D8	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Building.cpp	100	0x005D14D0	Unwind@005d14d0	0x005D14D0	0x005D14D2	ADJACENT	0	0x005D14DD	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\Building.cpp	104	0x00417390	CBuilding__CreateRepairPadAI	0x00417429	0x0041742B	ADJACENT	0	0x00417439	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\Building.cpp	104	0x005D14E6	Unwind@005d14e6	0x005D14E6	0x005D14E8	ADJACENT	0	0x005D14F3	0x00449D40	OID__FreeObject_Callback
C:\dev\ONSLAUGHT2\bytesprite.cpp	29	0x004184C0	CByteSprite__Load	0x00418528	0x0041852A	ADJACENT	0	0x00418538	0x005490E0	CDXMemoryManager__Alloc
C:\dev\ONSLAUGHT2\bytesprite.cpp	29	0x005D158B	Unwind@005d158b	0x005D158B	0x005D158D	ADJACENT	0	0x005D159B	0x00449D40	OID__FreeObject_Callback
