target_addr	target_name	from_addr	from_function	ref_type
0042a4f0	CConsole__Unk_0042a4f0	00512ebb	<no_function>	UNCONDITIONAL_CALL
0042a4f0	CConsole__Unk_0042a4f0	00512f13	<no_function>	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	0046e317	CGame__RunLevel	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	004b7e05	CUnitAI__Unk_004b7d90	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	004f22e3	CText__Init	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	004f28af	CTexture__FindTexture	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	00510a51	CWorldPhysicsManager__Unk_00510800	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	005480d0	DXMemBuffer__OpenRead	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	0054822e	DXMemBuffer__OpenRead	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	00548276	DXMemBuffer__OpenRead	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	0054849b	DXMemBuffer__Skip	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	005484e5	DXMemBuffer__Skip	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	00548738	DXMemBuffer__ReadBytes	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	00548780	DXMemBuffer__ReadBytes	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	00548990	DXMemBuffer__ReadLine	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	005489d8	DXMemBuffer__ReadLine	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	0054148f	CDXFrontEndVideo__InitVideo	UNCONDITIONAL_CALL
0042c750	CConsole__Unk_0042c750	0044fc1c	<no_function>	UNCONDITIONAL_CALL
0042d0b0	CConsole__Unk_0042d0b0	004aad6c	CMesh__Deserialize	UNCONDITIONAL_CALL
0042d0b0	CConsole__Unk_0042d0b0	0054d2cb	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	0045363f	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	00453653	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	00453667	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	0045367b	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	0045368f	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	004536a3	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	004536b7	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	004536cb	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	004536df	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	004536f3	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	00453707	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	0045371b	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	0045372f	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	00453743	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	00453757	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	0045376b	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	0051421f	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	00514233	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	00514247	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	0051425b	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	0051426f	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	00514283	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	00514297	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	005142ab	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	005142bf	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	005142d3	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	005142e7	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	005142fb	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	0051430f	<no_function>	UNCONDITIONAL_CALL
0042d260	CConsole__Unk_0042d260	00514323	<no_function>	UNCONDITIONAL_CALL
