path_old	path_new	sha256	category	reason
reverse-engineering/binary-analysis/scratch/cconsole-unk-caller-decompile-2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/cconsole-unk-caller-decompile-2026-02-25	32c39c5ff2854e73dcc78a1b1084f29b84b7ad34b72af72d01815244437f94ff	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/cconsole-unk-decompile-2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/cconsole-unk-decompile-2026-02-25	05f6eeeca601e94327f0f712370a072803f4b00828f1d373b8f340fd9d68f974	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/cconsole_trio_deeppass_2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/cconsole_trio_deeppass_2026-02-25	d78bbb919988c4d0c7ea0bdfedaffa95fdf0f4ee0d488371a528f650714cadf9	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/cconsole_unk_deeppass_2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/cconsole_unk_deeppass_2026-02-25	0cc5985df1f22928e97399bdcf6356757bced11241b7e990b582ca64fc1c7f89	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/cegine-unk-decompile-2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/cegine-unk-decompile-2026-02-25	17e5fd0c969dfbe7f191d03c2c1a36be5d40b330b7459d392e7f5e52d4978fd0	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/cexplosion_owner_correction_2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/cexplosion_owner_correction_2026-02-25	e25a80a3c02d0477cdda344a175d82c8efe44dad418101de91bc1b534ec6a5b4	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/cfrontend-unk-decompile-2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/cfrontend-unk-decompile-2026-02-25	35226e5731fc37e5b1a04c803ffd91a7b34e414689d09f57b81b9fff094c0dbb	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/cgame-unk-decompile-2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/cgame-unk-decompile-2026-02-25	453df80a7dca7484eb0ca3ea9161ecc7882e5bd6e4cf22320e30d329ca206174	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/cmonitor-unk-decompile-2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/cmonitor-unk-decompile-2026-02-25	8e447164cafeed8fa4b7b378af78f7ee1008e8de2ab0c2469d23ba91933a01dd	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/coverage_refresh_2026-02-25_controllerdef_menuitem	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/coverage_refresh_2026-02-25_controllerdef_menuitem	aaeb612c3414d43baacd5d581709a0cdeb2436e9216e6e0fc384b750a7eed32b	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/coverage_refresh_2026-02-25_menuitem_vfunc_semantic	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/coverage_refresh_2026-02-25_menuitem_vfunc_semantic	1f75bdda4c394c2915b083feb98ad5a1d3bbff19a0331b41e7ce85b7beb2ff27	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/coverage_refresh_2026-02-25_menuitem_wave2	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/coverage_refresh_2026-02-25_menuitem_wave2	a79b24b288f18e31dba554a6cb3062383fbec19add182b98013276ff34485696	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/fepmp_create_recovery_2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/fepmp_create_recovery_2026-02-25	29cf9d0d1730d44767f7e011d9047cb3fe4413d7c8f5e912e1ba9d4c41e2079d	archive_now	No external refs detected; safe to archive.
