address	name	signature	status
0x0042a4f0	CConsole__Unk_0042a4f0	void __thiscall CConsole__Unk_0042a4f0(void * this, void * param_1, int param_2, int param_3)	OK
0x0042c750	CConsole__Unk_0042c750	void __stdcall CConsole__Unk_0042c750(void * param_1)	OK
0x0042d0b0	CConsole__Unk_0042d0b0	void __stdcall CConsole__Unk_0042d0b0(void * param_1)	OK
0x0042d260	CConsole__Unk_0042d260	int CConsole__Unk_0042d260(void)	OK
0x0042d2b0	CConsole__Unk_0042d2b0	int CConsole__Unk_0042d2b0(void)	OK
0x0042d300	CConsole__Unk_0042d300	void __fastcall CConsole__Unk_0042d300(void * param_1)	OK
0x0042d310	CConsole__Unk_0042d310	int CConsole__Unk_0042d310(void)	OK
0x0042d3b0	CConsole__Unk_0042d3b0	int CConsole__Unk_0042d3b0(void)	OK
0x0042d420	CConsole__Unk_0042d420	int CConsole__Unk_0042d420(void)	OK
0x0042d4d0	CConsole__Unk_0042d4d0	int CConsole__Unk_0042d4d0(void)	OK
