address	name	xref_count	owners	top_counts	unambiguous_non_cexplosion
0x00414cb0	CExplosionInitThing__Unk_00414cb0	1	CExplosionInitThing	CExplosionInitThing:1	false
0x00444620	CExplosionInitThing__Unk_00444620	0			false
0x00447d50	CExplosionInitThing__Unk_00447d50	3	CUnitAI	CUnitAI:3	true
0x0044a6e0	CExplosionInitThing__Unk_0044a6e0	1	CResourceAccumulator	CResourceAccumulator:1	true
0x0044adb0	CExplosionInitThing__Unk_0044adb0	7	CActor,CMonitor,CUnit,FrontendUpdate_CheatChecks,OID_Unk_005078f0	CActor:2;CUnit:2;FrontendUpdate_CheatChecks:1	false
0x0044d560	CExplosionInitThing__Unk_0044d560	1	CFrontEnd	CFrontEnd:1	true
0x0046baf0	CExplosionInitThing__Unk_0046baf0	5	CFEPMultiplayerStart,CFEPWingmen	CFEPWingmen:3;CFEPMultiplayerStart:2	false
0x00477ba0	CExplosionInitThing__Unk_00477ba0	6	CUnitAI	CUnitAI:6	true
0x00479770	CExplosionInitThing__Unk_00479770	1	CMeshCollisionVolume	CMeshCollisionVolume:1	true
0x00479db0	CExplosionInitThing__Unk_00479db0	0			false
0x0047a160	CExplosionInitThing__Unk_0047a160	0			false
0x004804c0	CExplosionInitThing__Unk_004804c0	0			false
0x00480ed0	CExplosionInitThing__Unk_00480ed0	6	CUnitAI	CUnitAI:6	true
0x00482210	CExplosionInitThing__Unk_00482210	3	CUnitAI	CUnitAI:3	true
0x004879e0	CExplosionInitThing__Unk_004879e0	1	CExplosionInitThing	CExplosionInitThing:1	false
0x00487bc0	CExplosionInitThing__Unk_00487bc0	1	CDXEngine	CDXEngine:1	true
0x00487d10	CExplosionInitThing__Unk_00487d10	1	CDXEngine	CDXEngine:1	true
0x00488ea0	CExplosionInitThing__Unk_00488ea0	1	CCollisionSeekingInfantryBloke	CCollisionSeekingInfantryBloke:1	true
0x0048ddd0	CExplosionInitThing__Unk_0048ddd0	1	CParticleSet	CParticleSet:1	true
0x0048ff90	CExplosionInitThing__Unk_0048ff90	2	CPauseMenu,CUnitAI	CUnitAI:1;CPauseMenu:1	false
0x004968f0	CExplosionInitThing__Unk_004968f0	1	CMeshPart	CMeshPart:1	true
0x0049c250	CExplosionInitThing__Unk_0049c250	6	CMeshPart	CMeshPart:6	true
0x004adf90	CExplosionInitThing__Unk_004adf90	6	CMesh	CMesh:6	true
0x004b6260	CExplosionInitThing__Unk_004b6260	1	CSphere	CSphere:1	true
0x004b82a0	CExplosionInitThing__Unk_004b82a0	1	CMessageLog	CMessageLog:1	true
0x004bc2e0	CExplosionInitThing__Unk_004bc2e0	2	CMechGuide,CSquadNormal	CMechGuide:1;CSquadNormal:1	false
0x004bc510	CExplosionInitThing__Unk_004bc510	3	CExplosionInitThing	CExplosionInitThing:3	false
0x004bcbf0	CExplosionInitThing__Unk_004bcbf0	1	CWorld	CWorld:1	true
0x004bd5c0	CExplosionInitThing__Unk_004bd5c0	2	CEngine	CEngine:2	true
0x004bdff0	CExplosionInitThing__Unk_004bdff0	3	CWorld	CWorld:3	true
0x004be1d0	CExplosionInitThing__Unk_004be1d0	1	CExplosionInitThing	CExplosionInitThing:1	false
0x004bed30	CExplosionInitThing__Unk_004bed30	1	CExplosionInitThing	CExplosionInitThing:1	false
0x004beea0	CExplosionInitThing__Unk_004beea0	1	CExplosionInitThing	CExplosionInitThing:1	false
0x004bff40	CExplosionInitThing__Unk_004bff40	1	CSphereTrigger	CSphereTrigger:1	true
0x004c7950	CExplosionInitThing__Unk_004c7950	1	CEngine	CEngine:1	true
0x004c7db0	CExplosionInitThing__Unk_004c7db0	2	CEngine,CPDSimpleSprite	CPDSimpleSprite:1;CEngine:1	false
0x004d1f90	CExplosionInitThing__Unk_004d1f90	0			false
