address	name	signature	status
0x00459810	CFEPMultiplayerStart__SubObj39B8__QueuePageId	void __thiscall CFEPMultiplayerStart__SubObj39B8__QueuePageId(void * this, int page_id)	OK
0x00459920	CFEPMultiplayerStart__SubObj8848__ctor	void * __fastcall CFEPMultiplayerStart__SubObj8848__ctor(void * this)	OK
0x004599a0	CFEPMultiplayerStart__SubObj8848__Init	undefined CFEPMultiplayerStart__SubObj8848__Init(void)	OK
0x00459a60	CFEPMultiplayerStart__SubObj8848__ActiveNotification	undefined CFEPMultiplayerStart__SubObj8848__ActiveNotification(void)	OK
0x00459aa0	CFEPMultiplayerStart__SubObj8848__TransitionNotification	void __thiscall CFEPMultiplayerStart__SubObj8848__TransitionNotification(void * this, int mode)	OK
0x00459b00	CFEPMultiplayerStart__SubObj8848__Process	undefined CFEPMultiplayerStart__SubObj8848__Process(void)	OK
0x00459c10	CFEPMultiplayerStart__SubObj8848__ButtonPressed	undefined CFEPMultiplayerStart__SubObj8848__ButtonPressed(void)	OK
0x00459e50	CFEPMultiplayerStart__SubObj8848__RenderPreCommon	undefined CFEPMultiplayerStart__SubObj8848__RenderPreCommon(void)	OK
0x00459ee0	CFEPMultiplayerStart__SubObj8848__Render	undefined CFEPMultiplayerStart__SubObj8848__Render(void)	OK
0x00465f10	CFEPMultiplayerStart__ctor	void * __fastcall CFEPMultiplayerStart__ctor(void * this)	OK
0x0051b600	CFEPMultiplayerStart__SubObj4034__ctor	void __fastcall CFEPMultiplayerStart__SubObj4034__ctor(void * this)	OK
0x0051b610	CFEPMultiplayerStart__SubObj4034__ResetFlags	void __fastcall CFEPMultiplayerStart__SubObj4034__ResetFlags(void * this)	OK
0x0051be70	CFEPMultiplayerStart__SubObj4034__InitRuntimeState	void __fastcall CFEPMultiplayerStart__SubObj4034__InitRuntimeState(void * this)	OK
