address	name	signature	status
0x00459810	CFEPMultiplayerStart__SubObj39B8__QueuePageId	void __thiscall CFEPMultiplayerStart__SubObj39B8__QueuePageId(void * this, int page_id)	OK
0x00459920	CFEPMultiplayerStart__SubObj8848__ctor	void * __fastcall CFEPMultiplayerStart__SubObj8848__ctor(void * this)	OK
0x004599a0	CFEPMultiplayerStart__SubObj8848__Init	int CFEPMultiplayerStart__SubObj8848__Init(void * this)	OK
0x00459a60	CFEPMultiplayerStart__SubObj8848__ActiveNotification	void CFEPMultiplayerStart__SubObj8848__ActiveNotification(void * this, int from_page)	OK
0x00459aa0	CFEPMultiplayerStart__SubObj8848__TransitionNotification	void __thiscall CFEPMultiplayerStart__SubObj8848__TransitionNotification(void * this, int from_page)	OK
0x00459b00	CFEPMultiplayerStart__SubObj8848__Process	void CFEPMultiplayerStart__SubObj8848__Process(void * this, int menu_state)	OK
0x00459c10	CFEPMultiplayerStart__SubObj8848__ButtonPressed	void CFEPMultiplayerStart__SubObj8848__ButtonPressed(void * this, int button)	OK
0x00459e50	CFEPMultiplayerStart__SubObj8848__RenderPreCommon	void CFEPMultiplayerStart__SubObj8848__RenderPreCommon(void * this, float transition)	OK
0x00459ee0	CFEPMultiplayerStart__SubObj8848__Render	void CFEPMultiplayerStart__SubObj8848__Render(void * this, float transition, int dest)	OK
0x00465f10	CFEPMultiplayerStart__ctor	void * __fastcall CFEPMultiplayerStart__ctor(void * this)	OK
0x0051b600	CFEPMultiplayerStart__SubObj4034__ctor	void __fastcall CFEPMultiplayerStart__SubObj4034__ctor(void * this)	OK
0x0051b610	CFEPMultiplayerStart__SubObj4034__ResetFlags	void __fastcall CFEPMultiplayerStart__SubObj4034__ResetFlags(void * this)	OK
0x0051be70	CFEPMultiplayerStart__SubObj4034__InitRuntimeState	void __fastcall CFEPMultiplayerStart__SubObj4034__InitRuntimeState(void * this)	OK
