slot	entry_addr	ptr	ptr_name	ptr_signature
0	005db4fc	004599a0	FUN_004599a0	undefined FUN_004599a0(void)
1	005db500	00460490	CFEPLevelSelect__SyncSelectionFromCurrentWorld	void __fastcall CFEPLevelSelect__SyncSelectionFromCurrentWorld(void * this)
2	005db504	00459b00	FUN_00459b00	undefined FUN_00459b00(void)
3	005db508	00459c10	FUN_00459c10	undefined FUN_00459c10(void)
4	005db50c	00459e50	FUN_00459e50	undefined FUN_00459e50(void)
5	005db510	00459ee0	FUN_00459ee0	undefined FUN_00459ee0(void)
6	005db514	00459aa0	CFEPMultiplayerStart__SubObj8848__ResetSelectionGrid	void __thiscall CFEPMultiplayerStart__SubObj8848__ResetSelectionGrid(void * this, int mode)
7	005db518	00459a60	FUN_00459a60	undefined FUN_00459a60(void)
8	005db51c	00459990	CFrontEndPage__DeActiveNotification	void __cdecl CFrontEndPage__DeActiveNotification(void * this)
9	005db520	43960000	<none>	<none>
10	005db524	42fa0000	<none>	<none>
11	005db528	3fe00000	<none>	<none>
