address	name	signature	status
0x004a3100	CMenuItem__IsMouseInBounds	undefined CMenuItem__IsMouseInBounds(void)	OK
0x004a3120	CMenuItem__IsMouseClicked	undefined CMenuItem__IsMouseClicked(void)	OK
0x004a3140	CMenuItem__Clone	void * __thiscall CMenuItem__Clone(void * this)	OK
0x004a3190	CMenuItem__GetText	short * __thiscall CMenuItem__GetText(void * this)	OK
0x004a3260	CMenuItem__RenderCentered	undefined CMenuItem__RenderCentered(void)	OK
0x004a3290	CMenuItem__RenderWithColor	undefined CMenuItem__RenderWithColor(void)	OK
0x004a32c0	CMenuItem__Render	undefined CMenuItem__Render(void)	OK
0x004a3420	CMenuItem__GetTextWidth	int __thiscall CMenuItem__GetTextWidth(void * this)	OK
0x004a3450	CMenuItem__Clone	undefined CMenuItem__Clone(void)	OK
0x00453a50	CMenuItem__VFunc_01_00453a50	undefined CMenuItem__VFunc_01_00453a50(void)	OK
0x00453a60	CMenuItem__VFunc_03_00453a60	int __thiscall CMenuItem__VFunc_03_00453a60(void * this)	OK
0x00453a70	CMenuItem__VFunc_06_00453a70	int __thiscall CMenuItem__VFunc_06_00453a70(void * this)	OK
0x00453a80	CMenuItem__VFunc_09_00453a80	byte __thiscall CMenuItem__VFunc_09_00453a80(void * this)	OK
0x00453a90	CMenuItem__scalar_deleting_dtor	void * __thiscall CMenuItem__scalar_deleting_dtor(void * this, byte flags)	OK
0x00405930	CControllerDefinition__VFunc_03_00405930	int __thiscall CControllerDefinition__VFunc_03_00405930(void * this)	OK
