slot	entry_addr	ptr	ptr_name	ptr_signature
0	005db440	00453a90	CMenuItem__scalar_deleting_dtor	void * __thiscall CMenuItem__scalar_deleting_dtor(void * this, byte flags)
1	005db444	00453a50	CMenuItem__VFunc_01_00453a50	undefined CMenuItem__VFunc_01_00453a50(void)
2	005db448	004a3190	CMenuItem__GetText	short * __thiscall CMenuItem__GetText(void * this)
3	005db44c	00453a60	CMenuItem__VFunc_03_00453a60	int __thiscall CMenuItem__VFunc_03_00453a60(void * this)
4	005db450	004a3260	CMenuItem__RenderCentered	undefined CMenuItem__RenderCentered(void)
5	005db454	004a3420	CMenuItem__GetTextWidth	int __thiscall CMenuItem__GetTextWidth(void * this)
6	005db458	00453a70	CMenuItem__VFunc_06_00453a70	int __thiscall CMenuItem__VFunc_06_00453a70(void * this)
7	005db45c	004a3140	CMenuItem__Clone	void * __thiscall CMenuItem__Clone(void * this)
8	005db460	00453a80	CMenuItem__VFunc_09_00453a80	byte __thiscall CMenuItem__VFunc_09_00453a80(void * this)
9	005db464	00453a80	CMenuItem__VFunc_09_00453a80	byte __thiscall CMenuItem__VFunc_09_00453a80(void * this)
10	005db468	00453a80	CMenuItem__VFunc_09_00453a80	byte __thiscall CMenuItem__VFunc_09_00453a80(void * this)
11	005db46c	00459990	CFrontEndPage__DeActiveNotification	void __cdecl CFrontEndPage__DeActiveNotification(void * this)
12	005db470	00459990	CFrontEndPage__DeActiveNotification	void __cdecl CFrontEndPage__DeActiveNotification(void * this)
13	005db474	00459990	CFrontEndPage__DeActiveNotification	void __cdecl CFrontEndPage__DeActiveNotification(void * this)
14	005db478	41d00000	<none>	<none>
15	005db47c	436c0000	<none>	<none>
