target_addr	target_name	from_addr	from_function	ref_type
00453ac0	CControllerDefinition__VFunc_01_00453ac0	0052ff3e	CEngine__Unk_0052ff30	DATA
00453ac0	CControllerDefinition__VFunc_01_00453ac0	005db408	<no_function>	DATA
00453ac0	CControllerDefinition__VFunc_01_00453ac0	005e4d40	<no_function>	DATA
00453ac0	CControllerDefinition__VFunc_01_00453ac0	005e4c70	<no_function>	DATA
00453ad0	CControllerDefinition__VFunc_04_00453ad0	005db414	<no_function>	DATA
00456610	CControllerDefinition__VFunc_05_00456610	005db418	<no_function>	DATA
00456620	CControllerDefinition__VFunc_06_00456620	005db41c	<no_function>	DATA
00456630	CControllerDefinition__VFunc_08_00456630	005db424	<no_function>	DATA
00456640	CControllerDefinition__VFunc_12_00456640	005db434	<no_function>	DATA
00453970	CControllerDefinition__InitDefaults	004ce3d8	PauseMenu__Init	UNCONDITIONAL_CALL
004539d0	CControllerDefinition__dtor	004539b3	CControllerDefinition__scalar_deleting_dtor	UNCONDITIONAL_CALL
005019c0	VFuncSlot_09_005019c0	00458d32	CFEPDevelopment__ResolveActiveStorageDevice	UNCONDITIONAL_CALL
005019c0	VFuncSlot_09_005019c0	00458d4f	CFEPDevelopment__ResolveActiveStorageDevice	UNCONDITIONAL_CALL
005019c0	VFuncSlot_09_005019c0	005d8910	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005db03c	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005db07c	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005db124	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005db0f0	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005db420	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dbc98	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dc274	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dc2d0	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dc2fc	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dc328	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dc354	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dc380	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dc3d8	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dc418	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dc444	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dc474	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dc4a8	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dc798	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dc79c	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005df8b4	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dfbc8	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005dfbd4	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005e500c	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005e508c	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	005e59dc	<no_function>	DATA
005019c0	VFuncSlot_09_005019c0	00458662	<no_function>	UNCONDITIONAL_CALL
005019c0	VFuncSlot_09_005019c0	00458a46	<no_function>	UNCONDITIONAL_CALL
