address	name	signature	status
0x00453a50	CMenuItem__VFunc_01_00453a50	undefined CMenuItem__VFunc_01_00453a50(void)	OK
0x00453a60	CMenuItem__VFunc_03_00453a60	int __thiscall CMenuItem__VFunc_03_00453a60(void * this)	OK
0x00453a70	CMenuItem__VFunc_06_00453a70	int __thiscall CMenuItem__VFunc_06_00453a70(void * this)	OK
0x00453a80	CMenuItem__VFunc_09_00453a80	byte __thiscall CMenuItem__VFunc_09_00453a80(void * this)	OK
0x00453a90	CMenuItem__scalar_deleting_dtor	void * __thiscall CMenuItem__scalar_deleting_dtor(void * this, byte flags)	OK
0x004a3100	CMenuItem__IsMouseInBounds	undefined CMenuItem__IsMouseInBounds(void)	OK
0x004a3120	CMenuItem__IsMouseClicked	undefined CMenuItem__IsMouseClicked(void)	OK
0x004a3140	CMenuItem__Clone	void * __thiscall CMenuItem__Clone(void * this)	OK
0x004a3190	CMenuItem__GetText	short * __thiscall CMenuItem__GetText(void * this)	OK
0x004a3260	CMenuItem__RenderCentered	undefined CMenuItem__RenderCentered(void)	OK
0x004a3290	CMenuItem__RenderWithColor	undefined CMenuItem__RenderWithColor(void)	OK
0x004a32c0	CMenuItem__Render	undefined CMenuItem__Render(void)	OK
0x004a3420	CMenuItem__GetTextWidth	int __thiscall CMenuItem__GetTextWidth(void * this)	OK
0x004a3450	CMenuItem__Clone	undefined CMenuItem__Clone(void)	OK
0x004a3510	CMenuItem__Init	undefined CMenuItem__Init(void)	OK
0x004a3610	CMenuItem__ScalarDestructor	undefined CMenuItem__ScalarDestructor(void)	OK
0x004a3630	CMenuItem__InitWithIcon	undefined CMenuItem__InitWithIcon(void)	OK
0x004a3730	CMenuItem__Destructor	undefined CMenuItem__Destructor(void)	OK
0x004a37c0	CMenuItem__RenderValueBar	void __thiscall CMenuItem__RenderValueBar(void * this, float x, float y, int interactive)	OK
0x004a3b10	CMenuItemDropdown__Init	undefined CMenuItemDropdown__Init(void)	OK
0x004a3b50	CMenuItemDropdown__UpdateSelection	undefined CMenuItemDropdown__UpdateSelection(void)	OK
0x004a3b60	CMenuItemDropdown__InitVariant	undefined CMenuItemDropdown__InitVariant(void)	OK
0x004a3ba0	CMenuItemDropdown__ClearPending	undefined CMenuItemDropdown__ClearPending(void)	OK
0x004a3bb0	CMenuItemDropdown__ProcessPending	undefined CMenuItemDropdown__ProcessPending(void)	OK
