class	weak_count	strict_candidate_count
CDXTexture	247	0
CTexture	165	0
CFastVB	149	1
CUnitAI	110	0
CUnit	59	0
CGeneralVolume	49	0
CEngine	42	0
CDXEngine	35	0
CVBufTexture	30	0
CWorldPhysicsManager	26	0
CMonitor	25	0
CMeshCollisionVolume	18	0
IScript	18	0
CDestroyableSegment	16	0
CMeshPart	16	0
CMesh	15	0
CExplosionInitThing	14	0
CThing	13	0
CSquadNormal	12	0
CWorld	12	0
CSoundManager	11	0
CBattleEngine	8	0
CD3DApplication	8	0
CPauseMenu	7	0
CVertexShader	7	0
CAirUnit	7	0
CCockpit	6	0
OID	6	0
CMessageLog	6	0
CParticleManager	6	0
CPlayer	6	0
_	6	0
CFrontEnd	5	0
CInfluenceMap	5	0
CAtmospheric	4	0
CGame	4	0
CDamage	4	0
CIBuffer	4	0
CMCBuggy	4	0
CPDSimpleSprite	4	0
CWaypoint	4	0
CFrontEndPage	3	0
CDestructableSegment	3	0
CFEPBEConfig	3	0
CGillMHead	3	0
CHud	3	0
CMemoryManager	3	0
CStaticShadows	3	0
CWaypointManager	3	0
CFEPVirtualKeyboard	3	0
VFuncSlot_00_004026e0	2	0
CCylinder	2	0
CCareer	2	0
CController	2	0
CFEPMultiplayerStart	2	0
CRocket	2	0
CMCMine	1	0
CAirGuide	1	0
CSpawnerStatement	1	0
CComponentStatement	1	0
CPhysicsScriptStatements	1	0
CFlexArray	1	0
CCutscene	1	0
CFEPDebriefing	1	0
CFEPSaveGame	1	0
CGameInterface	1	0
CHeightField	1	0
CSphere	1	0
CMapWho	1	0
CComponent	1	0
CMechGuide	1	0
CMessage	1	0
CDropship	1	0
CPDSelector	1	0
CRound	1	0
CSPtrSet	1	0
CTokenArchive	1	0
CTree	1	0
CUMTexture	1	0
CResourceAccumulator	1	0
CDXFrontEnd	1	0
CDXLandscape	1	0
