target_addr	target_name	from_addr	from_function	ref_type
00406040	CBattleEngine__Unk_00406040	00427697	CDXCompass__Render	UNCONDITIONAL_CALL
00406040	CBattleEngine__Unk_00406040	0053c585	CVBufTexture__Unk_0053c510	UNCONDITIONAL_CALL
00406040	CBattleEngine__Unk_00406040	00427758	CDXCompass__Render	UNCONDITIONAL_CALL
00406040	CBattleEngine__Unk_00406040	005d8afc	<no_function>	DATA
004062d0	CBattleEngine__Unk_004062d0	004076e2	CGame__Unk_00407540	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0040d9c2	CExplosionInitThing__Helper_0040d7c0	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0040dbd0	CExplosionInitThing__Helper_0040da30	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00424646	CCockpit__ctor_like_004244b0	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0049a0af	CMCMech__UpdateBone	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0049b58e	CMCMech__UpdateBone	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0040804b	CMonitor__Unk_00407a50	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0040ad35	CBattleEngine__Helper_0040acc0	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00507a36	CMonitor__Unk_005078f0	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00428557	CUnitAI__Unk_00428500	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00507ea6	OID__Unk_00507ab0	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0050831e	OID__Unk_00507ab0	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00508332	OID__Unk_00507ab0	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004704e7	CGame__ToggleFreeCameraOn	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	005093b0	OID__Unk_00509140	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00509434	OID__Unk_00509140	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00508eb2	OID__Unk_005088b0	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00506ccc	CEngine__Unk_005069f0	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00506d6f	CEngine__Unk_005069f0	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00506e7e	CEngine__Unk_005069f0	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00493fc9	CMCBuggy__UpdateWheel	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004d383b	CUnit__Unk_004d3730	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004da153	CExplosionInitThing__ctor_like_004d9f30	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004da353	CExplosionInitThing__ctor_like_004d9f30	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004df6ac	CShell__VFunc_09_004df550	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004f6d88	CTree__UpdateFallingTree	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004ff0e3	CWarspite__Update	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004061c1	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0040cabc	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0040cee6	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0041539d	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0041925a	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00419405	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0041959e	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00419755	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00419f3c	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0041a061	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0041a159	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004222bf	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004250b8	CUnitAI__Unk_00424ca0	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0044ccb9	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0047ad12	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0048a1f3	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00495325	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0049533f	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00495526	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0049555f	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00495a2b	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00495a60	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004965b9	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004965d6	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00496b58	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00496b8d	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00497765	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00497790	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00497aa4	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00497acf	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00497cc2	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	00497ced	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0049c6a7	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0049c6c9	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0049c89e	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0049c8cf	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004f0d46	CMCTentacle__Helper_004f0c50	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0049f07f	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0049f0b4	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	0049f3c3	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004a05a3	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004a065c	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004a084a	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004c4825	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004d908d	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004d90d1	<no_function>	UNCONDITIONAL_CALL
004062d0	CBattleEngine__Unk_004062d0	004d967a	<no_function>	UNCONDITIONAL_CALL
