address	name	signature
0x004433f0	CDestroyableSegment__Unk_004433f0	int __fastcall CDestroyableSegment__Unk_004433f0(int param_1)
0x00443fc0	CDestroyableSegment__Unk_00443fc0	int CDestroyableSegment__Unk_00443fc0(void)
0x00444000	CDestroyableSegment__Unk_00444000	void __fastcall CDestroyableSegment__Unk_00444000(int param_1)
0x00444030	CDestroyableSegment__Unk_00444030	void __thiscall CDestroyableSegment__Unk_00444030(void * this, int param_1, int param_2, int param_3, int param_4)
0x00444160	CDestroyableSegment__Unk_00444160	void __fastcall CDestroyableSegment__Unk_00444160(int param_1)
0x004442d0	CDestroyableSegment__Unk_004442d0	double __thiscall CDestroyableSegment__Unk_004442d0(void * this, int param_1, int param_2)
0x00444300	CDestroyableSegment__Unk_00444300	double __thiscall CDestroyableSegment__Unk_00444300(void * this, int param_1, int param_2)
0x00444330	CDestroyableSegment__Unk_00444330	double __fastcall CDestroyableSegment__Unk_00444330(int param_1)
0x00444370	CDestroyableSegment__Unk_00444370	double __fastcall CDestroyableSegment__Unk_00444370(int param_1)
0x004443b0	CDestroyableSegment__Unk_004443b0	double __fastcall CDestroyableSegment__Unk_004443b0(int param_1)
0x004443f0	CDestroyableSegment__Unk_004443f0	void __fastcall CDestroyableSegment__Unk_004443f0(int param_1)
0x00444450	CDestroyableSegment__Unk_00444450	void __thiscall CDestroyableSegment__Unk_00444450(void * this, int param_1, int param_2, int param_3)
0x004444b0	CDestroyableSegment__Unk_004444b0	void __thiscall CDestroyableSegment__Unk_004444b0(void * this, int param_1, int param_2, int param_3)
0x00444520	CDestroyableSegment__Unk_00444520	int __thiscall CDestroyableSegment__Unk_00444520(void * this, int param_1, int param_2)
0x00444580	CDestroyableSegment__Unk_00444580	void __thiscall CDestroyableSegment__Unk_00444580(void * this, int param_1, int param_2)
0x004445b0	CDestroyableSegment__Unk_004445b0	void __thiscall CDestroyableSegment__Unk_004445b0(void * this, int param_1, int param_2, int param_3)
