target_addr	target_name	from_addr	from_function	ref_type
004433f0	CDestroyableSegment__Unk_004433f0	004443f9	CDestroyableSegment__Unk_004443f0	UNCONDITIONAL_CALL
004433f0	CDestroyableSegment__Unk_004433f0	00444066	CDestroyableSegment__Unk_00444030	UNCONDITIONAL_CALL
004433f0	CDestroyableSegment__Unk_004433f0	00444fc5	CUnitAI__Unk_00444f20	UNCONDITIONAL_CALL
00443fc0	CDestroyableSegment__Unk_00443fc0	0047fe99	CHiveBoss__Init	UNCONDITIONAL_CALL
00444000	CDestroyableSegment__Unk_00444000	004f977f	VFuncSlot_02_004f95d0	UNCONDITIONAL_CALL
00444030	CDestroyableSegment__Unk_00444030	004f9ddc	CUnit__ApplyDamage	UNCONDITIONAL_CALL
00444160	CDestroyableSegment__Unk_00444160	004f943e	CUnit__Unk_004f9430	UNCONDITIONAL_CALL
004442d0	CDestroyableSegment__Unk_004442d0	004fd5fa	VFuncSlot_26_004fd5e0	UNCONDITIONAL_CALL
004442d0	CDestroyableSegment__Unk_004442d0	004fd644	VFuncSlot_26_004fd5e0	UNCONDITIONAL_CALL
00444300	CDestroyableSegment__Unk_00444300	004fd619	VFuncSlot_26_004fd5e0	UNCONDITIONAL_CALL
00444330	CDestroyableSegment__Unk_00444330	004f99fc	CDXCompass__Helper_004f99f0	UNCONDITIONAL_CALL
00444370	CDestroyableSegment__Unk_00444370	004f9a53	CSphere__Helper_004f9a40	UNCONDITIONAL_CALL
004443b0	CDestroyableSegment__Unk_004443b0	004f9a1c	<no_function>	UNCONDITIONAL_CALL
004443f0	CDestroyableSegment__Unk_004443f0	004fd1dc	CUnit__Unk_004fd140	UNCONDITIONAL_CALL
00444450	CDestroyableSegment__Unk_00444450	005354b1	<no_function>	UNCONDITIONAL_CALL
004444b0	CDestroyableSegment__Unk_004444b0	005354f1	<no_function>	UNCONDITIONAL_CALL
00444520	CDestroyableSegment__Unk_00444520	0047feff	CHiveBoss__Init	UNCONDITIONAL_CALL
00444580	CDestroyableSegment__Unk_00444580	00535525	<no_function>	UNCONDITIONAL_CALL
004445b0	CDestroyableSegment__Unk_004445b0	00534333	<no_function>	UNCONDITIONAL_CALL
