target_addr	target_name	from_addr	from_function	ref_type
0053d4c0	CDXEngine__Unk_0053d4c0	0053d4b9	<no_function>	UNCONDITIONAL_CALL
0053df40	CDXEngine__Unk_0053df40	004e9fc9	<no_function>	UNCONDITIONAL_CALL
0053df40	CDXEngine__Unk_0053df40	004ea110	<no_function>	UNCONDITIONAL_CALL
0053df40	CDXEngine__Unk_0053df40	004ea2f0	<no_function>	UNCONDITIONAL_CALL
00540970	CDXEngine__Unk_00540970	0042cd3e	CConsole__RenderLoadingScreen	UNCONDITIONAL_CALL
00541f50	CDXEngine__Unk_00541f50	00547975	CDXEngine__Unk_00547860	UNCONDITIONAL_CALL
00542740	CDXEngine__Unk_00542740	005426f5	<no_function>	UNCONDITIONAL_CALL
005428d0	CDXEngine__Unk_005428d0	0046c3aa	CGame__Init	UNCONDITIONAL_CALL
00542990	CDXEngine__Unk_00542990	0046c9fa	<no_function>	UNCONDITIONAL_CALL
00542a30	CDXEngine__Unk_00542a30	0048899f	CImposter__FindOrCreate	UNCONDITIONAL_CALL
00542a50	CDXEngine__Unk_00542a50	0053e5ae	CDXEngine__Render	UNCONDITIONAL_CALL
00542ee0	CDXEngine__Unk_00542ee0	00542e47	CDXEngine__Unk_00542a50	UNCONDITIONAL_CALL
00542f90	CDXEngine__Unk_00542f90	0054386e	CDXEngine__Unk_00543300	UNCONDITIONAL_CALL
00543300	CDXEngine__Unk_00543300	004dd0ad	<no_function>	UNCONDITIONAL_CALL
00543300	CDXEngine__Unk_00543300	004dd949	<no_function>	UNCONDITIONAL_CALL
005438c0	CDXEngine__Unk_005438c0	0053e7b7	CDXEngine__Render	UNCONDITIONAL_CALL
00544040	CDXEngine__Unk_00544040	00449c53	CEngine__Init	UNCONDITIONAL_CALL
00544060	CDXEngine__Unk_00544060	00449975	VFuncSlot_00_00449890	UNCONDITIONAL_CALL
005440a0	CDXEngine__Unk_005440a0	005441a5	CDXEngine__Unk_005441a0	UNCONDITIONAL_CALL
005441a0	CDXEngine__Unk_005441a0	0044a2ab	CResourceAccumulator__Helper_0044a2a0	UNCONDITIONAL_CALL
005441b0	CDXEngine__Unk_005441b0	0053e629	CDXEngine__Render	UNCONDITIONAL_CALL
005447d0	CDXEngine__Unk_005447d0	004d3ad5	CInfluenceMap__Unk_004d3a00	UNCONDITIONAL_CALL
005447d0	CDXEngine__Unk_005447d0	005d2c4e	Unwind@005d2c48	UNCONDITIONAL_CALL
005447d0	CDXEngine__Unk_005447d0	005d2c76	Unwind@005d2c70	UNCONDITIONAL_CALL
005447d0	CDXEngine__Unk_005447d0	005d2c9e	Unwind@005d2c98	UNCONDITIONAL_CALL
005447d0	CDXEngine__Unk_005447d0	005d2ece	Unwind@005d2ec8	UNCONDITIONAL_CALL
005447d0	CDXEngine__Unk_005447d0	005d2f19	Unwind@005d2f13	UNCONDITIONAL_CALL
005447d0	CDXEngine__Unk_005447d0	005d34be	Unwind@005d34b8	UNCONDITIONAL_CALL
005447d0	CDXEngine__Unk_005447d0	005d3509	Unwind@005d3503	UNCONDITIONAL_CALL
005447d0	CDXEngine__Unk_005447d0	005d4d68	Unwind@005d4d62	UNCONDITIONAL_CALL
005447d0	CDXEngine__Unk_005447d0	005d4db8	Unwind@005d4db2	UNCONDITIONAL_CALL
005447d0	CDXEngine__Unk_005447d0	00544793	CDXLandscape__Helper_00544770	DATA
005447d0	CDXEngine__Unk_005447d0	005448c1	CDXLandscape__CreateMipLevels	DATA
005473b0	CDXEngine__Unk_005473b0	004ec218	CStaticShadows__UpdateVisibility	UNCONDITIONAL_CALL
005473b0	CDXEngine__Unk_005473b0	0044a6cc	CUnitAI__Unk_0044a6b0	UNCONDITIONAL_CALL
005475d0	CDXEngine__Unk_005475d0	0044a186	CGame__Helper_0044a130	UNCONDITIONAL_CALL
005475d0	CDXEngine__Unk_005475d0	0050d11e	CWorld__LoadWorld	UNCONDITIONAL_CALL
005475d0	CDXEngine__Unk_005475d0	004431c4	VFuncSlot_10_00442f60	UNCONDITIONAL_CALL
005475d0	CDXEngine__Unk_005475d0	004da4fd	<no_function>	UNCONDITIONAL_CALL
00547860	CDXEngine__Unk_00547860	00544706	<no_function>	UNCONDITIONAL_CALL
00547a60	CDXEngine__Unk_00547a60	005452fc	CDXLandscape__Reset	UNCONDITIONAL_CALL
00548d70	CDXEngine__Unk_00548d70	00548d45	<no_function>	UNCONDITIONAL_CALL
00548ec0	CDXEngine__Unk_00548ec0	00548d65	<no_function>	UNCONDITIONAL_CALL
00548f90	CDXEngine__Unk_00548f90	005122c6	CLTShell__WinMain	UNCONDITIONAL_CALL
005490c0	CDXEngine__Unk_005490c0	00512119	<no_function>	UNCONDITIONAL_CALL
00549290	CDXEngine__Unk_00549290	00468447	CFrontEnd__Render	UNCONDITIONAL_CALL
00549290	CDXEngine__Unk_00549290	0053ef87	CDXEngine__PostRender	UNCONDITIONAL_CALL
005492b0	CDXEngine__Unk_005492b0	00429b7b	<no_function>	UNCONDITIONAL_CALL
00549400	CDXEngine__Unk_00549400	005d7a83	Unwind@005d7a80	UNCONDITIONAL_CALL
00549400	CDXEngine__Unk_00549400	005d7ac3	Unwind@005d7ac0	UNCONDITIONAL_CALL
00549570	CDXEngine__Unk_00549570	004b6a82	CMeshRenderer__RenderMesh	UNCONDITIONAL_CALL
0054b800	CDXEngine__Unk_0054b800	004de88c	CHudComponent__RenderPass	UNCONDITIONAL_CALL
0054f6e0	CDXEngine__Unk_0054f6e0	0054f6d5	<no_function>	UNCONDITIONAL_CALL
0054f740	CDXEngine__Unk_0054f740	0054f6b5	<no_function>	UNCONDITIONAL_CALL
0054f760	CDXEngine__Unk_0054f760	004c8fba	<no_function>	UNCONDITIONAL_CALL
0054f7e0	CDXEngine__Unk_0054f7e0	0053ebe3	CDXEngine__Render	UNCONDITIONAL_CALL
0054f7e0	CDXEngine__Unk_0054f7e0	00540f55	CDXFrontEnd__Unk_00540c30	UNCONDITIONAL_CALL
