address	old_name	inferred_owner	xref_count	top_counts
0x0056374b	CDXTexture__Unk_0056374b	CFastVB	18	CFastVB:18
0x005657f0	CDXTexture__Unk_005657f0	ControlsUI	3	ControlsUI:3
0x0056c336	CDXTexture__Unk_0056c336	CTexture	1	CTexture:1
0x0056c590	CDXTexture__Unk_0056c590	CTexture	1	CTexture:1
0x0059aec0	CDXTexture__Unk_0059aec0	CTexture	2	CTexture:2
0x005ac930	CDXTexture__Unk_005ac930	CTexture	1	CTexture:1
0x005ae810	CDXTexture__Unk_005ae810	CTexture	1	CTexture:1
0x005af570	CDXTexture__Unk_005af570	CTexture	1	CTexture:1
0x005af860	CDXTexture__Unk_005af860	CTexture	4	CTexture:4
0x005afbd0	CDXTexture__Unk_005afbd0	CTexture	3	CTexture:3
