address	name	signature
0x0055d6a0	CDXTexture__Unk_0055d6a0	void __stdcall CDXTexture__Unk_0055d6a0(void * param_1)
0x0055d6db	CDXTexture__Unk_0055d6db	void __stdcall CDXTexture__Unk_0055d6db(int param_1, void * param_2)
0x0055d6e2	CDXTexture__Unk_0055d6e2	void __stdcall CDXTexture__Unk_0055d6e2(int param_1, int param_2)
0x0055d767	CDXTexture__Unk_0055d767	int CDXTexture__Unk_0055d767(void)
0x0055d7bb	CDXTexture__Unk_0055d7bb	void __cdecl CDXTexture__Unk_0055d7bb(int param_1, int param_2, int param_3)
0x0055da5e	CDXTexture__Unk_0055da5e	void CDXTexture__Unk_0055da5e(void)
0x0055da76	CDXTexture__Unk_0055da76	void CDXTexture__Unk_0055da76(void)
0x0055da8d	CDXTexture__Unk_0055da8d	void CDXTexture__Unk_0055da8d(void)
0x0055dc8a	CDXTexture__Unk_0055dc8a	void CDXTexture__Unk_0055dc8a(void)
0x0055dcb0	CDXTexture__Unk_0055dcb0	void CDXTexture__Unk_0055dcb0(void)
0x0055dccd	CDXTexture__Unk_0055dccd	double __cdecl CDXTexture__Unk_0055dccd(int param_1, uint param_2)
0x0055dd7b	CDXTexture__Unk_0055dd7b	void CDXTexture__Unk_0055dd7b(void)
0x0055dda8	CDXTexture__Unk_0055dda8	void __cdecl CDXTexture__Unk_0055dda8(int param_1)
0x0055ddca	CDXTexture__Unk_0055ddca	void __cdecl CDXTexture__Unk_0055ddca(uint param_1, int param_2, int param_3)
0x0055de81	CDXTexture__Unk_0055de81	void __cdecl CDXTexture__Unk_0055de81(void * param_1, void * param_2)
0x0055df28	CDXTexture__Unk_0055df28	int __cdecl CDXTexture__Unk_0055df28(int param_1)
0x0055dfa6	CDXTexture__Unk_0055dfa6	int __cdecl CDXTexture__Unk_0055dfa6(int param_1)
0x0055e3ea	CDXTexture__Unk_0055e3ea	void CDXTexture__Unk_0055e3ea(void)
0x0055e412	CDXTexture__Unk_0055e412	void __cdecl CDXTexture__Unk_0055e412(int param_1, int param_2)
0x0055e42a	CDXTexture__Unk_0055e42a	void CDXTexture__Unk_0055e42a(void)
0x0055e624	CDXTexture__Unk_0055e624	void __cdecl CDXTexture__Unk_0055e624(void * param_1, void * param_2)
0x0055e7ae	CDXTexture__Unk_0055e7ae	void __cdecl CDXTexture__Unk_0055e7ae(void * param_1, void * param_2, uint param_3, void * param_4)
0x0055e902	CDXTexture__Unk_0055e902	void __cdecl CDXTexture__Unk_0055e902(uint param_1, uint param_2, int param_3, void * param_4)
0x0055e950	CDXTexture__Unk_0055e950	void __cdecl CDXTexture__Unk_0055e950(void * param_1, void * param_2, int param_3)
0x0055eb00	CDXTexture__Unk_0055eb00	short * __cdecl CDXTexture__Unk_0055eb00(void * param_1, void * param_2, int param_3)
0x0055f19d	CDXTexture__Unk_0055f19d	uint __cdecl CDXTexture__Unk_0055f19d(void * param_1, uint param_2, uint param_3, void * param_4)
0x0055f347	CDXTexture__Unk_0055f347	int __cdecl CDXTexture__Unk_0055f347(int param_1)
0x0055fa40	CDXTexture__Unk_0055fa40	void CDXTexture__Unk_0055fa40(void)
