address	expected_name	actual_name	status
0x0055dda8	CFastVB__Helper_0055dda8	CFastVB__Helper_0055dda8	OK
0x0055f347	Platform__Helper_0055f347	Platform__Helper_0055f347	OK
0x0056381b	CFastVB__Helper_0056381b	CFastVB__Helper_0056381b	OK
0x005638a8	CFastVB__Helper_005638a8	CFastVB__Helper_005638a8	OK
0x00569124	CTexture__Helper_00569124	CTexture__Helper_00569124	OK
0x0056fec0	CFastVB__Helper_0056fec0	CFastVB__Helper_0056fec0	OK
0x00571080	CFastVB__Helper_00571080	CFastVB__Helper_00571080	OK
0x00580ef4	CFastVB__Helper_00580ef4	CFastVB__Helper_00580ef4	OK
0x00581a4f	CFastVB__Helper_00581a4f	CFastVB__Helper_00581a4f	OK
0x0058cabd	CTexture__Helper_0058cabd	CTexture__Helper_0058cabd	OK
0x005a16b1	CFastVB__Helper_005a16b1	CFastVB__Helper_005a16b1	OK
0x005ac180	CTexture__Helper_005ac180	CTexture__Helper_005ac180	OK
