address	old_name	inferred_owner	new_name	xref_count	top_counts
0x0055dcb0	CDXTexture__Unk_0055dcb0	OID	OID__Helper_0055dcb0	41	OID:9;CExplosionInitThing:4;CEngine:4;CBattleEngine:3;CMonitor:3
0x0055e3ea	CDXTexture__Unk_0055e3ea	CPDSimpleSprite	CPDSimpleSprite__Helper_0055e3ea	44	CPDSimpleSprite:11;CEngine:5;CVBufTexture:2;CControllerDefinition:2;CFEPMain:2
0x0055e624	CDXTexture__Unk_0055e624	ControlsUI	ControlsUI__Helper_0055e624	44	ControlsUI:22;CFEPSaveGame:4;CMenuItem:3;CFEPOptions:2;CFEPVirtualKeyboard:2
0x0055e7ae	CDXTexture__Unk_0055e7ae	CDXEngine	CDXEngine__Helper_0055e7ae	5	CDXEngine:2;CD3DApplication:1;CTexture:1;CFEPDevelopment:1
0x0055eb00	CDXTexture__Unk_0055eb00	CUnitAI	CUnitAI__Helper_0055eb00	6	CUnitAI:2;CFEPDirectory:1;CFEPVirtualKeyboard:1
0x0055fa40	CDXTexture__Unk_0055fa40	CMeshCollisionVolume	CMeshCollisionVolume__Helper_0055fa40	5	CMeshCollisionVolume:3;CEngine:1
0x005611da	CDXTexture__Unk_005611da	CTexture	CTexture__Helper_005611da	49	CTexture:15;CEngine:4;CMeshCollisionVolume:2;CFastVB:2;CFEPSaveGame:1
0x00567700	CDXTexture__Unk_00567700	CTexture	CTexture__Helper_00567700	12	CTexture:6;CFastVB:1
0x00567a35	CDXTexture__Unk_00567a35	CTexture	CTexture__Helper_00567a35	8	CTexture:2;Platform:1
0x00567aa8	CDXTexture__Unk_00567aa8	CTexture	CTexture__Helper_00567aa8	43	CTexture:8;CFastVB:6
0x00567aba	CDXTexture__Unk_00567aba	CFastVB	CFastVB__Helper_00567aba	3	CFastVB:2;CD3DApplication:1
0x00569cb8	CDXTexture__Unk_00569cb8	ControlsUI	ControlsUI__Helper_00569cb8	13	ControlsUI:3;CFastVB:1
0x0056ddc2	CDXTexture__Unk_0056ddc2	CTexture	CTexture__Helper_0056ddc2	62	CTexture:44;CFastVB:15
0x0056e170	CDXTexture__Unk_0056e170	CMCBuggy	CMCBuggy__Helper_0056e170	53	CMCBuggy:10;CMeshPart:9;CConsole:5;CMesh:4;CD3DApplication:4
0x00572f50	CDXTexture__Unk_00572f50	CFastVB	CFastVB__Helper_00572f50	19	CFastVB:15;CTexture:4
0x00575d99	CDXTexture__Unk_00575d8c	CTexture	CTexture__Helper_00575d99	4	CTexture:2;CFastVB:1
0x0057cc5d	CDXTexture__Unk_0057cc5d	CMeshCollisionVolume	CMeshCollisionVolume__Helper_0057cc5d	5	CMeshCollisionVolume:3;CFastVB:1
0x0057d0ee	CDXTexture__Unk_0057d0ee	CWaypointManager	CWaypointManager__Helper_0057d0ee	4	CWaypointManager:3
0x00581e1c	CDXTexture__Unk_00581e1c	CFastVB	CFastVB__Helper_00581e1c	40	CFastVB:17;CTexture:10;CMeshCollisionVolume:1
0x00589094	CDXTexture__Unk_00589094	CFastVB	CFastVB__Helper_00589094	3	CFastVB:2;CTexture:1
0x0058c0e4	CDXTexture__Unk_0058c0e4	CFastVB	CFastVB__Helper_0058c0e4	3	CFastVB:2;CTexture:1
0x0058c107	CDXTexture__Unk_0058c107	CTexture	CTexture__Helper_0058c107	7	CTexture:4;CMeshCollisionVolume:3
0x0058c95c	CDXTexture__Unk_0058c95c	CTexture	CTexture__Helper_0058c95c	5	CTexture:4;CFastVB:1
0x00598702	CDXTexture__Unk_00598702	CTexture	CTexture__Helper_00598702	5	CTexture:2;CFastVB:1
0x0059871c	CDXTexture__Unk_0059871c	CFastVB	CFastVB__Helper_0059871c	9	CFastVB:4;CTexture:3
0x00599cd2	CDXTexture__Unk_00599cd2	CFastVB	CFastVB__Helper_00599cd2	5	CFastVB:3;CMeshCollisionVolume:1
0x0059cc7c	CDXTexture__Unk_0059cc7c	CMeshCollisionVolume	CMeshCollisionVolume__Helper_0059cc7c	9	CMeshCollisionVolume:6;CTexture:1
0x0059cd4b	CDXTexture__Unk_0059cd4b	CTexture	CTexture__Helper_0059cd4b	14	CTexture:4;CMeshCollisionVolume:2
0x005a1786	CDXTexture__Unk_005a1786	CFastVB	CFastVB__Helper_005a1786	4	CFastVB:3;CTexture:1
0x005b8da0	CDXTexture__Unk_005b8da0	CFastVB	CFastVB__Helper_005b8da0	7	CFastVB:5;CMeshCollisionVolume:2
0x005d070f	CDXTexture__Unk_005d070f	CFastVB	CFastVB__Helper_005d070f	7	CFastVB:4;CTexture:2
0x005d075f	CDXTexture__Unk_005d075f	CTexture	CTexture__Helper_005d075f	10	CTexture:4;CFastVB:3
