address	old_name	expected_new_name	actual_name	status
0x0055dcb0	CDXTexture__Unk_0055dcb0	OID__Helper_0055dcb0	OID__Helper_0055dcb0	OK
0x0055e3ea	CDXTexture__Unk_0055e3ea	CPDSimpleSprite__Helper_0055e3ea	CPDSimpleSprite__Helper_0055e3ea	OK
0x0055e624	CDXTexture__Unk_0055e624	ControlsUI__Helper_0055e624	ControlsUI__Helper_0055e624	OK
0x0055e7ae	CDXTexture__Unk_0055e7ae	CDXEngine__Helper_0055e7ae	CDXEngine__Helper_0055e7ae	OK
0x0055eb00	CDXTexture__Unk_0055eb00	CUnitAI__Helper_0055eb00	CUnitAI__Helper_0055eb00	OK
0x0055fa40	CDXTexture__Unk_0055fa40	CMeshCollisionVolume__Helper_0055fa40	CMeshCollisionVolume__Helper_0055fa40	OK
0x005611da	CDXTexture__Unk_005611da	CTexture__Helper_005611da	CTexture__Helper_005611da	OK
0x00567700	CDXTexture__Unk_00567700	CTexture__Helper_00567700	CTexture__Helper_00567700	OK
0x00567a35	CDXTexture__Unk_00567a35	CTexture__Helper_00567a35	CTexture__Helper_00567a35	OK
0x00567aa8	CDXTexture__Unk_00567aa8	CTexture__Helper_00567aa8	CTexture__Helper_00567aa8	OK
0x00567aba	CDXTexture__Unk_00567aba	CFastVB__Helper_00567aba	CFastVB__Helper_00567aba	OK
0x00569cb8	CDXTexture__Unk_00569cb8	ControlsUI__Helper_00569cb8	ControlsUI__Helper_00569cb8	OK
0x0056ddc2	CDXTexture__Unk_0056ddc2	CTexture__Helper_0056ddc2	CTexture__Helper_0056ddc2	OK
0x0056e170	CDXTexture__Unk_0056e170	CMCBuggy__Helper_0056e170	CMCBuggy__Helper_0056e170	OK
0x00572f50	CDXTexture__Unk_00572f50	CFastVB__Helper_00572f50	CFastVB__Helper_00572f50	OK
0x00575d99	CDXTexture__Unk_00575d8c	CTexture__Helper_00575d99	CTexture__Helper_00575d99	OK
0x0057cc5d	CDXTexture__Unk_0057cc5d	CMeshCollisionVolume__Helper_0057cc5d	CMeshCollisionVolume__Helper_0057cc5d	OK
0x0057d0ee	CDXTexture__Unk_0057d0ee	CWaypointManager__Helper_0057d0ee	CWaypointManager__Helper_0057d0ee	OK
0x00581e1c	CDXTexture__Unk_00581e1c	CFastVB__Helper_00581e1c	CFastVB__Helper_00581e1c	OK
0x00589094	CDXTexture__Unk_00589094	CFastVB__Helper_00589094	CFastVB__Helper_00589094	OK
0x0058c0e4	CDXTexture__Unk_0058c0e4	CFastVB__Helper_0058c0e4	CFastVB__Helper_0058c0e4	OK
0x0058c107	CDXTexture__Unk_0058c107	CTexture__Helper_0058c107	CTexture__Helper_0058c107	OK
0x0058c95c	CDXTexture__Unk_0058c95c	CTexture__Helper_0058c95c	CTexture__Helper_0058c95c	OK
0x00598702	CDXTexture__Unk_00598702	CTexture__Helper_00598702	CTexture__Helper_00598702	OK
0x0059871c	CDXTexture__Unk_0059871c	CFastVB__Helper_0059871c	CFastVB__Helper_0059871c	OK
0x00599cd2	CDXTexture__Unk_00599cd2	CFastVB__Helper_00599cd2	CFastVB__Helper_00599cd2	OK
0x0059cc7c	CDXTexture__Unk_0059cc7c	CMeshCollisionVolume__Helper_0059cc7c	CMeshCollisionVolume__Helper_0059cc7c	OK
0x0059cd4b	CDXTexture__Unk_0059cd4b	CTexture__Helper_0059cd4b	CTexture__Helper_0059cd4b	OK
0x005a1786	CDXTexture__Unk_005a1786	CFastVB__Helper_005a1786	CFastVB__Helper_005a1786	OK
0x005b8da0	CDXTexture__Unk_005b8da0	CFastVB__Helper_005b8da0	CFastVB__Helper_005b8da0	OK
0x005d070f	CDXTexture__Unk_005d070f	CFastVB__Helper_005d070f	CFastVB__Helper_005d070f	OK
0x005d075f	CDXTexture__Unk_005d075f	CTexture__Helper_005d075f	CTexture__Helper_005d075f	OK
