address	old_name	inferred_owner	xref_count	top_counts
0x00449dc0	CEngine__Unk_00449dc0	CWorld	1	CWorld:1
0x0044a110	CEngine__Unk_0044a110	CCutscene	1	CCutscene:1
0x0044a130	CEngine__Unk_0044a130	CGame	1	CGame:1
0x004bc2d0	CEngine__Unk_004bc2d0	CWorld	1	CWorld:1
0x004bc3e0	CEngine__Unk_004bc3e0	CWorld	1	CWorld:1
0x004bc480	CEngine__Unk_004bc480	CWorld	1	CWorld:1
0x004bc6d0	CEngine__Unk_004bc6d0	CExplosionInitThing	2	CExplosionInitThing:2
0x004bc8d0	CEngine__Unk_004bc8d0	CWorld	1	CWorld:1
0x004bcd60	CEngine__Unk_004bcd60	CWorld	1	CWorld:1
0x004be050	CEngine__Unk_004be050	CWorld	3	CWorld:3
0x004be170	CEngine__Unk_004be170	CWorld	1	CWorld:1
0x004be420	CEngine__Unk_004be420	CExplosionInitThing	1	CExplosionInitThing:1
0x004beb30	CEngine__Unk_004beb30	CExplosionInitThing	1	CExplosionInitThing:1
0x004bfe10	CEngine__Unk_004bfe10	CRocket	1	CRocket:1
0x004bfe70	CEngine__Unk_004bfe70	CWaypoint	1	CWaypoint:1
0x004bfed0	CEngine__Unk_004bfed0	CSpawnerThing	1	CSpawnerThing:1
0x004c5d50	CEngine__Unk_004c5d50	CPDSimpleSprite	1	CPDSimpleSprite:1
0x004cdba0	CEngine__Unk_004cdba0	CParticleManager	1	CParticleManager:1
0x004fe500	CEngine__Unk_004fe500	CSquadNormal	2	CSquadNormal:1
0x004fe540	CEngine__Unk_004fe540	CUnitAI	31	CUnitAI:1
0x00501320	CEngine__Unk_00501320	CScreenFx	2	CScreenFx:2
0x00501450	CEngine__Unk_00501450	CLTShell	1	CLTShell:1
0x00501540	CEngine__Unk_00501540	CDXEngine	1	CDXEngine:1
0x00501730	CEngine__Unk_00501730	CLTShell	1	CLTShell:1
0x00505f90	CEngine__Unk_00505f90	CWeapon	1	CWeapon:1
0x005061f0	CEngine__Unk_005061f0	CBattleEngine	3	CBattleEngine:3
0x00506350	CEngine__Unk_00506350	CBattleEngine	2	CBattleEngine:2
0x00506440	CEngine__Unk_00506440	CBattleEngine	4	CBattleEngine:4
0x00506530	CEngine__Unk_00506530	CBattleEngine	1	CBattleEngine:1
0x00506620	CEngine__Unk_00506620	CBattleEngine	4	CBattleEngine:4
0x00506710	CEngine__Unk_00506710	CBattleEngine	4	CBattleEngine:4
0x00506800	CEngine__Unk_00506800	CBattleEngine	1	CBattleEngine:1
0x00509c80	CEngine__Unk_00509c80	CBattleEngine	1	CBattleEngine:1
0x0050a0d0	CEngine__Unk_0050a0d0	CUnit	1	CUnit:1
0x0050efa0	CEngine__Unk_0050efa0	CBomber	1	CBomber:1
0x00521260	CEngine__Unk_00521260	CFEPVirtualKeyboard	1	CFEPVirtualKeyboard:1
0x005214d0	CEngine__Unk_005214d0	CFEPVirtualKeyboard	3	CFEPVirtualKeyboard:3
0x00527de0	CEngine__Unk_00527de0	CWaterRenderSystem	3	CWaterRenderSystem:3
0x00527e00	CEngine__Unk_00527e00	CWaterRenderSystem	3	CWaterRenderSystem:3
0x005286e0	CEngine__Unk_005286e0	CD3DApplication	1	CD3DApplication:1
0x0053b470	CEngine__Unk_0053b470	CDXBattleLine	1	CDXBattleLine:1
0x0053b5f0	CEngine__Unk_0053b5f0	CExplosionInitThing	2	CExplosionInitThing:2
0x0053bb50	CEngine__Unk_0053bb50	CDXEngine	1	CDXEngine:1
0x0053bd60	CEngine__Unk_0053bd60	CHud	1	CHud:1
0x0053bda0	CEngine__Unk_0053bda0	CHud	1	CHud:1
0x0053cd30	CEngine__Unk_0053cd30	CExplosionInitThing	1	CExplosionInitThing:1
0x0053d3a0	CEngine__Unk_0053d3a0	CLTShell	1	CLTShell:1
0x0053f040	CEngine__Unk_0053f040	CVBufTexture	2	CVBufTexture:2
