address	name	xref_count	owners	top_counts	unambiguous_non_cengine
0x00407310	CEngine__Unk_00407310	1	CEngine	CEngine:1	false
0x00449ef0	CEngine__Unk_00449ef0	3	CDXEngine,CFrontEnd	CFrontEnd:2;CDXEngine:1	false
0x0044a0c0	CEngine__Unk_0044a0c0	14	CDXMeshVB,CDXTexture,CSphere	CDXMeshVB:2;CDXTexture:1;CSphere:1	false
0x0044a0d0	CEngine__Unk_0044a0d0	2	CDXEngine,CExplosionInitThing	CDXEngine:1;CExplosionInitThing:1	false
0x004b4ba0	CEngine__Unk_004b4ba0	2	CEngine	CEngine:2	false
0x004b4cd0	CEngine__Unk_004b4cd0	2	CEngine,CSphere	CEngine:1;CSphere:1	false
0x004b4de0	CEngine__Unk_004b4de0	4	CDiveBomber,CMeshCollisionVolume	CDiveBomber:1;CMeshCollisionVolume:1	false
0x004bd440	CEngine__Unk_004bd440	6	CEngine,CWorld	CEngine:3;CWorld:3	false
0x004bd9e0	CEngine__Unk_004bd9e0	2	CEngine,CWorld	CEngine:1;CWorld:1	false
0x004bdf70	CEngine__Unk_004bdf70	82	CEngine,CWorld	CWorld:52;CEngine:30	false
0x004be970	CEngine__Unk_004be970	8	CExplosionInitThing	CExplosionInitThing:8	true
0x004be9b0	CEngine__Unk_004be9b0	5	CExplosionInitThing	CExplosionInitThing:5	true
0x004bea10	CEngine__Unk_004bea10	3	CExplosionInitThing	CExplosionInitThing:3	true
0x004bea70	CEngine__Unk_004bea70	4	CExplosionInitThing	CExplosionInitThing:4	true
0x004bead0	CEngine__Unk_004bead0	4	CExplosionInitThing	CExplosionInitThing:4	true
0x004c0560	CEngine__Unk_004c0560	2	CParticle,CParticleManager	CParticle:1;CParticleManager:1	false
0x004c35d0	CEngine__Unk_004c35d0	1			false
0x004c5c50	CEngine__Unk_004c5c50	1	CPDSimpleSprite	CPDSimpleSprite:1	true
0x004c78b0	CEngine__Unk_004c78b0	3	CPDSimpleSprite	CPDSimpleSprite:3	true
0x004c8060	CEngine__Unk_004c8060	2			false
0x004cdbe0	CEngine__Unk_004cdbe0	1	CEngine	CEngine:1	false
0x004cddf0	CEngine__Unk_004cddf0	1	OptionsTail_Read	OptionsTail_Read:1	false
0x004d11d0	CEngine__Unk_004d11d0	2	CDXEngine,CFEPOptions	CDXEngine:1;CFEPOptions:1	false
0x004d2010	CEngine__Unk_004d2010	1			false
0x004d3020	CEngine__Unk_004d3020	7	CGame,CPauseMenu,CUnitAI	CGame:2;CPauseMenu:2;CUnitAI:1	false
0x004d3630	CEngine__Unk_004d3630	1			false
0x004d9d60	CEngine__Unk_004d9d60	1			false
0x004d9ef0	CEngine__Unk_004d9ef0	2			false
0x004daa20	CEngine__Unk_004daa20	2			false
0x004daab0	CEngine__Unk_004daab0	1	CEngine	CEngine:1	false
0x004db090	CEngine__Unk_004db090	1			false
0x004db150	CEngine__Unk_004db150	1			false
0x004db630	CEngine__Unk_004db630	1	CEngine	CEngine:1	false
0x004fe390	CEngine__Unk_004fe390	1	IScript	IScript:1	false
0x004fe3f0	CEngine__Unk_004fe3f0	1	IScript	IScript:1	false
0x004fe480	CEngine__Unk_004fe480	1			false
0x004ffdd0	CEngine__Unk_004ffdd0	9	CEngine,CSquadNormal,CUnit	CSquadNormal:2;CEngine:1;CUnit:1	false
0x00501310	CEngine__Unk_00501310	16	CDXBitmapFont,CDXEngine,CDXShadows,CDXSurf,CExplosionInitThing,CMesh,CPolyBucket,CScreenFx,CWaterRenderSystem,DXParticleTexture	CDXEngine:4;CDXBitmapFont:2;CScreenFx:2;DXParticleTexture:2;CDXShadows:1;CDXSurf:1;CExplosionInitThing:1;CMesh:1	false
0x005015c0	CEngine__Unk_005015c0	3	CDXEngine,CGame	CDXEngine:1;CGame:1	false
0x005016b0	CEngine__Unk_005016b0	1	PCPlatform	PCPlatform:1	false
0x00506010	CEngine__Unk_00506010	10	CEngine_Unk_00506010,CEngine_Unk_0050a080,CGeneralVolume,CSentinel,CUnitAI	CGeneralVolume:3;CEngine_Unk_0050a080:2;CEngine_Unk_00506010:1;CSentinel:1;CUnitAI:1	false
0x005068f0	CEngine__Unk_005068f0	2	CEngine_Unk_0050a080,CGeneralVolume	CEngine_Unk_0050a080:1;CGeneralVolume:1	false
0x005069f0	CEngine__Unk_005069f0	2	CEngine	CEngine:1	false
0x005078b0	CEngine__Unk_005078b0	1	CEngine	CEngine:1	false
0x005094b0	CEngine__Unk_005094b0	3	CUnit,CVBufTexture	CUnit:1;CVBufTexture:1	false
0x005096a0	CEngine__Unk_005096a0	5	CBattleEngine,CSquadNormal,CUnit	CUnit:3;CBattleEngine:1;CSquadNormal:1	false
