address	name	signature
0x00407310	CEngine__Unk_00407310	int __thiscall CEngine__Unk_00407310(void * this, int param_1, int param_2)
0x00449ef0	CEngine__Unk_00449ef0	void __stdcall CEngine__Unk_00449ef0(void * param_1)
0x0044a0c0	CEngine__Unk_0044a0c0	double CEngine__Unk_0044a0c0(void)
0x0044a0d0	CEngine__Unk_0044a0d0	void __thiscall CEngine__Unk_0044a0d0(void * this, int param_1, int param_2)
0x004b4ba0	CEngine__Unk_004b4ba0	int CEngine__Unk_004b4ba0(void)
0x004b4cd0	CEngine__Unk_004b4cd0	int CEngine__Unk_004b4cd0(void)
0x004b4de0	CEngine__Unk_004b4de0	int CEngine__Unk_004b4de0(void)
0x004bd440	CEngine__Unk_004bd440	void __thiscall CEngine__Unk_004bd440(void * this, int param_1, int param_2, int param_3)
0x004bd9e0	CEngine__Unk_004bd9e0	void __cdecl CEngine__Unk_004bd9e0(void * param_1)
0x004bdf70	CEngine__Unk_004bdf70	void __thiscall CEngine__Unk_004bdf70(void * this, int param_1, int param_2, int param_3, int param_4)
0x004c0560	CEngine__Unk_004c0560	void __thiscall CEngine__Unk_004c0560(void * this, int param_1, void * param_2)
0x004c35d0	CEngine__Unk_004c35d0	void __thiscall CEngine__Unk_004c35d0(void * this, int param_1, int param_2)
0x004c8060	CEngine__Unk_004c8060	int __thiscall CEngine__Unk_004c8060(void * this, int param_1, int param_2, float param_3, float param_4)
0x004cdbe0	CEngine__Unk_004cdbe0	void __thiscall CEngine__Unk_004cdbe0(void * this, int param_1, int param_2)
0x004cddf0	CEngine__Unk_004cddf0	void __cdecl CEngine__Unk_004cddf0(int param_1)
0x004d11d0	CEngine__Unk_004d11d0	uint __fastcall CEngine__Unk_004d11d0(int param_1)
0x004d2010	CEngine__Unk_004d2010	int __fastcall CEngine__Unk_004d2010(void * param_1)
0x004d3020	CEngine__Unk_004d3020	void __thiscall CEngine__Unk_004d3020(void * this, int param_1, float param_2)
0x004d3630	CEngine__Unk_004d3630	void __fastcall CEngine__Unk_004d3630(void * param_1)
0x004d9d60	CEngine__Unk_004d9d60	void __fastcall CEngine__Unk_004d9d60(void * param_1)
0x004d9ef0	CEngine__Unk_004d9ef0	void __fastcall CEngine__Unk_004d9ef0(void * param_1)
0x004daa20	CEngine__Unk_004daa20	int __cdecl CEngine__Unk_004daa20(void * param_1)
0x004daab0	CEngine__Unk_004daab0	void __thiscall CEngine__Unk_004daab0(void * this, void * param_1, void * param_2, int param_3)
0x004db090	CEngine__Unk_004db090	double __fastcall CEngine__Unk_004db090(int param_1)
0x004db150	CEngine__Unk_004db150	void __fastcall CEngine__Unk_004db150(int param_1)
0x004db630	CEngine__Unk_004db630	void __fastcall CEngine__Unk_004db630(int param_1)
0x004fe390	CEngine__Unk_004fe390	void __thiscall CEngine__Unk_004fe390(void * this, int param_1, void * param_2)
0x004fe3f0	CEngine__Unk_004fe3f0	void __thiscall CEngine__Unk_004fe3f0(void * this, int param_1, void * param_2)
0x004fe480	CEngine__Unk_004fe480	int __fastcall CEngine__Unk_004fe480(int param_1)
0x004ffdd0	CEngine__Unk_004ffdd0	void __thiscall CEngine__Unk_004ffdd0(void * this, int param_1, void * param_2, int param_3)
0x00501310	CEngine__Unk_00501310	void __fastcall CEngine__Unk_00501310(int param_1)
0x005015c0	CEngine__Unk_005015c0	void CEngine__Unk_005015c0(void)
0x005016b0	CEngine__Unk_005016b0	void CEngine__Unk_005016b0(void)
0x00506010	CEngine__Unk_00506010	int __fastcall CEngine__Unk_00506010(void * param_1)
0x005068f0	CEngine__Unk_005068f0	void __fastcall CEngine__Unk_005068f0(int param_1)
0x005069f0	CEngine__Unk_005069f0	int __fastcall CEngine__Unk_005069f0(void * param_1)
0x005078b0	CEngine__Unk_005078b0	int __thiscall CEngine__Unk_005078b0(void * this, int param_1, int param_2)
0x005094b0	CEngine__Unk_005094b0	double __thiscall CEngine__Unk_005094b0(void * this, int param_1, float param_2, float param_3, float param_4)
0x005096a0	CEngine__Unk_005096a0	double __thiscall CEngine__Unk_005096a0(void * this, void * param_1, float param_2, float param_3, float param_4)
0x005099a0	CEngine__Unk_005099a0	double __thiscall CEngine__Unk_005099a0(void * this, void * param_1, float param_2, float param_3, float param_4)
0x00509e90	CEngine__Unk_00509e90	int __fastcall CEngine__Unk_00509e90(int param_1)
0x00509f70	CEngine__Unk_00509f70	int __fastcall CEngine__Unk_00509f70(int param_1)
0x0050a080	CEngine__Unk_0050a080	int __fastcall CEngine__Unk_0050a080(int param_1)
0x0050a0b0	CEngine__Unk_0050a0b0	uint __thiscall CEngine__Unk_0050a0b0(void * this, int param_1, int param_2)
0x00527f50	CEngine__Unk_00527f50	int CEngine__Unk_00527f50(void)
0x005282b0	CEngine__Unk_005282b0	void CEngine__Unk_005282b0(void)
0x00528460	CEngine__Unk_00528460	void CEngine__Unk_00528460(void)
0x00528540	CEngine__Unk_00528540	void CEngine__Unk_00528540(void)
0x005285b0	CEngine__Unk_005285b0	void CEngine__Unk_005285b0(void)
0x005285e0	CEngine__Unk_005285e0	void CEngine__Unk_005285e0(void)
0x00528af0	CEngine__Unk_00528af0	bool __fastcall CEngine__Unk_00528af0(int param_1)
0x00528b00	CEngine__Unk_00528b00	void __thiscall CEngine__Unk_00528b00(void * this, void * param_1, int param_2)
0x0052ff30	CEngine__Unk_0052ff30	void CEngine__Unk_0052ff30(void)
0x00533430	CEngine__Unk_00533430	void * __thiscall CEngine__Unk_00533430(void * this, void * param_1, int param_2)
0x0053f010	CEngine__Unk_0053f010	void __thiscall CEngine__Unk_0053f010(void * this, int param_1, int param_2, int param_3)
