address	expected_name	actual_name	status
0x00449ef0	CFrontEnd__Helper_00449ef0	CFrontEnd__Helper_00449ef0	OK
0x0044a0c0	CDXMeshVB__Helper_0044a0c0	CDXMeshVB__Helper_0044a0c0	OK
0x004bd440	CWorld__Helper_004bd440	CWorld__Helper_004bd440	OK
0x004bdf70	CWorld__Helper_004bdf70	CWorld__Helper_004bdf70	OK
0x004ffdd0	CSquadNormal__Helper_004ffdd0	CSquadNormal__Helper_004ffdd0	OK
0x00501310	CDXEngine__Helper_00501310	CDXEngine__Helper_00501310	OK
0x00506010	CGeneralVolume__Helper_00506010	CGeneralVolume__Helper_00506010	OK
0x005096a0	CUnit__Helper_005096a0	CUnit__Helper_005096a0	OK
0x005099a0	CUnit__Helper_005099a0	CUnit__Helper_005099a0	OK
0x00509f70	CUnit__Helper_00509f70	CUnit__Helper_00509f70	OK
0x00528af0	CDXTexture__Helper_00528af0	CDXTexture__Helper_00528af0	OK
0x0053f010	CCutscene__Helper_0053f010	CCutscene__Helper_0053f010	OK
