address	old_name	inferred_owner	xref_count	top_counts
0x0055d90b	CFastVB__Unk_0055d90b	CDXTexture	2	CDXTexture:2
0x00562b15	CFastVB__Unk_00562b15	CTexture	2	CTexture:2
0x00565d9c	CFastVB__Unk_00565d9c	CTexture	4	CTexture:4
0x00569f92	CFastVB__Unk_00569f92	CDXTexture	1	CDXTexture:1
0x0056d525	CFastVB__Unk_0056d525	CTexture	9	CTexture:9
0x0056d553	CFastVB__Unk_0056d553	CTexture	2	CTexture:2
0x00574020	CFastVB__Unk_00574020	CTexture	2	CTexture:2
0x005758e6	CFastVB__Unk_005758e6	CDXTexture	2	CDXTexture:2
0x005896a1	CFastVB__Unk_005896a1	CTexture	2	CTexture:2
0x0058a60a	CFastVB__Unk_0058a60a	CTexture	5	CTexture:5
0x0058a67b	CFastVB__Unk_0058a67b	CTexture	2	CTexture:2
0x0058a713	CFastVB__Unk_0058a713	CTexture	2	CTexture:2
0x0058c178	CFastVB__Unk_0058c178	CDXTexture	2	CDXTexture:2
0x0058c37c	CFastVB__Unk_0058c37c	CTexture	4	CTexture:4
0x0058d6f0	CFastVB__Unk_0058d6f0	CTexture	3	CTexture:3
0x0058d88d	CFastVB__Unk_0058d88d	CTexture	4	CTexture:4
0x0058d8c2	CFastVB__Unk_0058d8c2	CTexture	1	CTexture:1
0x0058e256	CFastVB__Unk_0058e256	CTexture	1	CTexture:1
0x00594945	CFastVB__Unk_00594945	CMeshCollisionVolume	1	CMeshCollisionVolume:1
0x00594d5c	CFastVB__Unk_00594d5c	CDXTexture	1	CDXTexture:1
0x005950a2	CFastVB__Unk_005950a2	CDXTexture	2	CDXTexture:2
0x005950e0	CFastVB__Unk_005950e0	CDXTexture	3	CDXTexture:3
0x005952e0	CFastVB__Unk_005952e0	CTexture	1	CTexture:1
0x00595550	CFastVB__Unk_00595550	CTexture	2	CTexture:2
0x005958e0	CFastVB__Unk_005958e0	CTexture	1	CTexture:1
0x00595c10	CFastVB__Unk_00595c10	CTexture	1	CTexture:1
0x00599161	CFastVB__Unk_00599161	CTexture	2	CTexture:2
0x0059916d	CFastVB__Unk_0059916d	CTexture	2	CTexture:2
0x0059930d	CFastVB__Unk_0059930d	CTexture	1	CTexture:1
0x00599406	CFastVB__Unk_00599406	CDXTexture	1	CDXTexture:1
0x005997e1	CFastVB__Unk_005997e1	CTexture	1	CTexture:1
0x0059ce20	CFastVB__Unk_0059ce20	CDXTexture	4	CDXTexture:4
0x0059d036	CFastVB__Unk_0059d036	CDXTexture	1	CDXTexture:1
0x0059d301	CFastVB__Unk_0059d301	CDXTexture	1	CDXTexture:1
0x0059dda2	CFastVB__Unk_0059dda2	CDXTexture	2	CDXTexture:2
0x0059dfb2	CFastVB__Unk_0059dfb2	CDXTexture	2	CDXTexture:2
0x005a289e	CFastVB__Unk_005a289e	CTexture	1	CTexture:1
