address	expected_name	actual_name	status
0x00566104	CDXTexture__Helper_00566104	CDXTexture__Helper_00566104	OK
0x0056a05b	CTexture__Helper_0056a05b	CTexture__Helper_0056a05b	OK
0x0056c998	CDXTexture__Helper_0056c998	CDXTexture__Helper_0056c998	OK
0x0057516c	CDXTexture__Helper_0057516c	CDXTexture__Helper_0057516c	OK
0x0058a58d	CTexture__Helper_0058a58d	CTexture__Helper_0058a58d	OK
0x0058d6b4	CTexture__Helper_0058d6b4	CTexture__Helper_0058d6b4	OK
0x00593861	CDXTexture__Helper_00593861	CDXTexture__Helper_00593861	OK
0x00593890	CDXTexture__Helper_00593890	CDXTexture__Helper_00593890	OK
0x005942da	CDXTexture__Helper_005942da	CDXTexture__Helper_005942da	OK
0x00595820	CTexture__Helper_00595820	CTexture__Helper_00595820	OK
0x0059c630	CTexture__Helper_0059c630	CTexture__Helper_0059c630	OK
