address	old_name	expected_new_name	actual_name	status
0x0055db0a	CFastVB__Unk_0055db0a	CDXLandscape__Helper_0055db0a	CDXLandscape__Helper_0055db0a	OK
0x0055e14f	CFastVB__Unk_0055e14f	CLIParams__Helper_0055e14f	CLIParams__Helper_0055e14f	OK
0x0055e1c4	CFastVB__Unk_0055e1c4	CConsole__Helper_0055e1c4	CConsole__Helper_0055e1c4	OK
0x0055e2a6	CFastVB__Unk_0055e2a6	CSoundManager__Helper_0055e2a6	CSoundManager__Helper_0055e2a6	OK
0x0055e673	CFastVB__Unk_0055e673	CTexture__Helper_0055e673	CTexture__Helper_0055e673	OK
0x00562c76	CFastVB__Unk_00562c76	CTexture__Helper_00562c76	CTexture__Helper_00562c76	OK
0x00563951	CFastVB__Unk_00563951	CTexture__Helper_00563951	CTexture__Helper_00563951	OK
0x0056a089	CFastVB__Unk_0056a089	CTexture__Helper_0056a089	CTexture__Helper_0056a089	OK
0x0056eb70	CFastVB__Unk_0056eb70	CDXMeshVB__Helper_0056eb70	CDXMeshVB__Helper_0056eb70	OK
0x0056eb80	CFastVB__Unk_0056eb80	CDXMeshVB__Helper_0056eb80	CDXMeshVB__Helper_0056eb80	OK
0x0056eb90	CFastVB__Unk_0056eb90	CDXMeshVB__Helper_0056eb90	CDXMeshVB__Helper_0056eb90	OK
0x00574270	CFastVB__Unk_00574270	CMeshCollisionVolume__Helper_00574270	CMeshCollisionVolume__Helper_00574270	OK
0x00575986	CFastVB__Unk_00575986	CDXTexture__Helper_00575986	CDXTexture__Helper_00575986	OK
0x0057600b	CFastVB__Unk_0057600b	CVBufTexture__Helper_0057600b	CVBufTexture__Helper_0057600b	OK
0x00576161	CFastVB__Unk_00576154	CDXEngine__Helper_00576161	CDXEngine__Helper_00576161	OK
0x00576b47	CFastVB__Unk_00576b3a	CVertexShader__Helper_00576b47	CVertexShader__Helper_00576b47	OK
0x00576e0a	CFastVB__Unk_00576e0a	CVertexShader__Helper_00576e0a	CVertexShader__Helper_00576e0a	OK
0x00579cbe	CFastVB__Unk_00579cbe	CDXTexture__Helper_00579cbe	CDXTexture__Helper_00579cbe	OK
0x0058083d	CFastVB__Unk_0058083d	CDXTexture__Helper_0058083d	CDXTexture__Helper_0058083d	OK
0x00580a00	CFastVB__Unk_0058092d	CDXTexture__Helper_00580a00	CDXTexture__Helper_00580a00	OK
0x00580a05	CFastVB__Unk_00580a05	CDXTexture__Helper_00580a05	CDXTexture__Helper_00580a05	OK
0x00581e8c	CFastVB__Unk_00581e8c	CDXTexture__Helper_00581e8c	CDXTexture__Helper_00581e8c	OK
0x0058210e	CFastVB__Unk_0058210e	CTexture__Helper_0058210e	CTexture__Helper_0058210e	OK
0x0058926b	CFastVB__Unk_0058926b	CTexture__Helper_0058926b	CTexture__Helper_0058926b	OK
0x0058c893	CFastVB__Unk_0058c893	CTexture__Helper_0058c893	CTexture__Helper_0058c893	OK
0x00595079	CFastVB__Unk_00595079	CDXTexture__Helper_00595079	CDXTexture__Helper_00595079	OK
0x005b1db0	CFastVB__Unk_005b1db0	CDXTexture__Helper_005b1db0	CDXTexture__Helper_005b1db0	OK
0x005bda5e	CFastVB__Unk_005bda5e	CDXTexture__Helper_005bda5e	CDXTexture__Helper_005bda5e	OK
