address	old_name	inferred_owner	xref_count	top_counts
0x0055db72	CFastVB__Unk_0055db72		1	CDXLandscape:1
0x0055e183	CFastVB__Unk_0055e183		24	CFastVB:21;CLIParams:1;CWorldPhysicsManager:1;CGame:1
0x0055e45f	CFastVB__Unk_0055e45f		1	fopen:1
0x0055f506	CFastVB__Unk_0055f506		1	fread:1
0x0055f5ee	CFastVB__Unk_0055f5ee		3	EnumerateSaveFiles_1:1;EnumerateSaveFiles_Main:1;EnumerateSaveFiles_2:1
0x0055f6bb	CFastVB__Unk_0055f6bb		12	EnumerateSaveFiles_1:4;EnumerateSaveFiles_Main:4;EnumerateSaveFiles_2:4
0x0055fe26	CFastVB__Unk_0055fe26		7	fclose:1;fprintf:1;fwrite:1;fread:1;CD3DApplication:1
0x0055fe55	CFastVB__Unk_0055fe55		3	CDXTexture:1;CFastVB:1;CTexture:1
0x00560e28	CFastVB__Unk_00560e28		1
0x00560e89	CFastVB__Unk_00560e89		2	CFastVB:2
0x00560f4b	CFastVB__Unk_00560f4b		1
0x00560fa0	CFastVB__Unk_00560fa0		2	CFastVB:2
0x00561047	CFastVB__Unk_00561047		1
0x00562b3e	CFastVB__Unk_00562b3e		3	CDXEngine:1;CTexture:1;CDXTexture:1
0x0056bba5	CFastVB__Unk_0056bba5		2	CFastVB:1
0x0056bca7	CFastVB__Unk_0056bca7		1
0x0056f260	CFastVB__Unk_0056f260		23	CFastVB:8;CTexture:1
0x0056f520	CFastVB__Unk_0056f520		2	CDXMeshVB:1
0x00573310	CFastVB__Unk_00573310		11	CFastVB:10;CTexture:1
0x00574296	CFastVB__Unk_00574296		2	CFastVB:1;CMeshCollisionVolume:1
0x0057437a	CFastVB__Unk_0057437a		2	CDXTexture:1;CFastVB:1
0x005759b6	CFastVB__Unk_005759b6		2	CDXTexture:1;CFastVB:1
0x005759c9	CFastVB__Unk_005759c9		2
0x00575a58	CFastVB__Unk_00575a58		3	CDXTexture:1;CFastVB:1
0x00575cae	CFastVB__Unk_00575cae		2	CFastVB:1
0x00575dc9	CFastVB__Unk_00575dc9		1
0x0057609c	CFastVB__Unk_0057609c		1	CFastVB:1
0x00576154	CFastVB__Unk_00576154		3	CDXEngine:1;CFastVB:1
0x00576698	CFastVB__Unk_00576698		2	CVertexShader:1;CFastVB:1
0x0057674a	CFastVB__Unk_0057674a		1	CFastVB:1
0x005768f1	CFastVB__Unk_005768f1		2	CFastVB:2
0x005768fe	CFastVB__Unk_005768fe		34	CVertexShader:9;CTexture:9;CFastVB:5;CDXTexture:5;CDXEngine:3
0x00576b3a	CFastVB__Unk_00576b3a		2	CVertexShader:1;CFastVB:1
0x00576dfd	CFastVB__Unk_00576dfd		2	CVertexShader:1;CFastVB:1
0x005771af	CFastVB__Unk_005771af		2	CFastVB:1
0x005775b0	CFastVB__Unk_005775b0		2	CTexture:1;CFastVB:1
0x005776d3	CFastVB__Unk_005776d3		2	CFastVB:1
0x005776e4	CFastVB__Unk_005776e4		2	CFastVB:1
0x0057770b	CFastVB__Unk_0057770b		1
0x0057798e	CFastVB__Unk_0057798e		2	CFastVB:1
0x005779ae	CFastVB__Unk_005779ae		1
0x00577a0a	CFastVB__Unk_00577a0a		3	CTexture:1;CFastVB:1
0x005784a9	CFastVB__Unk_005784a9		1	CFastVB:1
0x00578f53	CFastVB__Unk_00578f53		1
0x00579184	CFastVB__Unk_00579184		1
0x0057e200	CFastVB__Unk_0057e200		1	CFastVB:1
0x0057e2de	CFastVB__Unk_0057e2de		1	CFastVB:1
0x0057fa5c	CFastVB__Unk_0057fa5c		1	CFastVB:1
0x00580120	CFastVB__Unk_00580120		1	CFastVB:1
0x0058070e	CFastVB__Unk_0058070e		3	CDXTexture:1;CFastVB:1;CMeshCollisionVolume:1
0x005809de	CFastVB__Unk_005809de		2	CFastVB:2
0x00580eef	CFastVB__Unk_005809de		2	CFastVB:2
0x00582244	CFastVB__Unk_00582244		1
0x00582355	CFastVB__Unk_00582355		1
0x0058249e	CFastVB__Unk_0058249e		1
0x005825c3	CFastVB__Unk_005825c3		1
0x005826e8	CFastVB__Unk_005826e8		1
0x0058280d	CFastVB__Unk_0058280d		1
0x00582950	CFastVB__Unk_00582950		1
0x00583891	CFastVB__Unk_00583891		1
0x00583979	CFastVB__Unk_00583979		1
0x00584144	CFastVB__Unk_00584144		1
0x0058423f	CFastVB__Unk_0058423f		1
0x0058439e	CFastVB__Unk_0058439e		1
0x00584d78	CFastVB__Unk_00584d78		1
0x00584e32	CFastVB__Unk_00584e32		1
0x00584ee9	CFastVB__Unk_00584ee9		1
0x00584fae	CFastVB__Unk_00584fae		1
0x00585072	CFastVB__Unk_00585072		1
0x00585161	CFastVB__Unk_00585161		1
0x00585220	CFastVB__Unk_00585220		1
0x005852d5	CFastVB__Unk_005852d5		1
0x00585380	CFastVB__Unk_00585380		1
0x00585908	CFastVB__Unk_00585908		1	CFastVB:1
0x00585924	CFastVB__Unk_00585924		1	CFastVB:1
0x005859bc	CFastVB__Unk_005859bc		1	CFastVB:1
0x005859d8	CFastVB__Unk_005859d8		1
0x00585a7b	CFastVB__Unk_00585a7b		1
0x00585b35	CFastVB__Unk_00585b35		1
0x00585bef	CFastVB__Unk_00585bef		1	CFastVB:1
0x00585c0b	CFastVB__Unk_00585c0b		2
0x00585c94	CFastVB__Unk_00585c94		1	CFastVB:1
0x00585fa3	CFastVB__Unk_00585fa3		1
0x0058617c	CFastVB__Unk_0058617c		1	CFastVB:1
0x005862e9	CFastVB__Unk_005862e9		1	CFastVB:1
0x0058669a	CFastVB__Unk_0058669a		1	CFastVB:1
0x005866b6	CFastVB__Unk_005866b6		1	CFastVB:1
0x005866d2	CFastVB__Unk_005866d2		1
0x0058675f	CFastVB__Unk_0058675f		1	CFastVB:1
0x005868d1	CFastVB__Unk_005868d1		1
0x00586994	CFastVB__Unk_00586994		1	CFastVB:1
0x00586bb7	CFastVB__Unk_00586bb7		2	CFastVB:2
0x00586ec7	CFastVB__Unk_00586ec7		1	CFastVB:1
0x0058735a	CFastVB__Unk_0058735a		5
0x005873f8	CFastVB__Unk_005873f8		5
0x00587daf	CFastVB__Unk_00587daf		1
0x00587dee	CFastVB__Unk_00587dee		1	CFastVB:1
0x00587e06	CFastVB__Unk_00587e06		1	CFastVB:1
0x00587e66	CFastVB__Unk_00587e66		6
0x00587e82	CFastVB__Unk_00587e82		2	CFastVB:2
0x005888bc	CFastVB__Unk_005888bc		1
0x00589367	CFastVB__Unk_00589367		2	CTexture:1;CFastVB:1
0x00589689	CFastVB__Unk_00589689		2	CTexture:1;CFastVB:1
0x00591050	CFastVB__Unk_0059c610		2	CMeshCollisionVolume:1;CDXTexture:1
0x005913b0	CFastVB__Unk_005913b0		1
0x00591720	CFastVB__Unk_00591720		1
0x00592530	CFastVB__Unk_00592530		1
0x00592b00	CFastVB__Unk_00592b00		1	CFastVB:1
0x00592c50	CFastVB__Unk_00592c50		2	CMeshCollisionVolume:1;CDXTexture:1
0x00596589	CFastVB__Unk_00596589		1	CFastVB:1
0x005968a4	CFastVB__Unk_005968a4		1	CFastVB:1
0x00596e23	CFastVB__Unk_00596e23		3	CFastVB:2;CTexture:1
0x00597a61	CFastVB__Unk_00597a61		2	CTexture:1;CFastVB:1
0x00597b87	CFastVB__Unk_00597b87		2	CTexture:1;CFastVB:1
0x00598474	CFastVB__Unk_00598474		1	CTexture:1
0x00598873	CFastVB__Unk_00598873		1
0x005988f5	CFastVB__Unk_005988f5		1
0x00598a56	CFastVB__Unk_00598a56		5	CFastVB:4
0x00598b48	CFastVB__Unk_00598b48		2	CFastVB:1
0x00598b81	CFastVB__Unk_00598b81		1	CFastVB:1
0x00598d6b	CFastVB__Unk_00598d6b		1
0x00598f60	CFastVB__Unk_00598f60		1
0x00598f82	CFastVB__Unk_00598f82		1
0x00598fa4	CFastVB__Unk_00598fa4		1
0x00599258	CFastVB__Unk_00599258		4	CFastVB:2;CDXTexture:1;CTexture:1
0x005997a5	CFastVB__Unk_005997a5		1	CFastVB:1
0x00599878	CFastVB__Unk_00599878		1
0x00599b13	CFastVB__Unk_00599b13		4	CFastVB:4
0x00599b69	CFastVB__Unk_00599b69		2	CFastVB:2
0x0059a21f	CFastVB__Unk_0059a21f		3	CFastVB:3
0x0059a54d	CFastVB__Unk_0059a54d		1	CFastVB:1
0x0059a71a	CFastVB__Unk_0059a71a		2	CDXTexture:1;CTexture:1
0x0059c610	CFastVB__Unk_0059c610		2	CFastVB:2
0x0059c700	CFastVB__Unk_0059c700		1
0x0059f6dd	CFastVB__Unk_0059f6dd		14	CFastVB:13;CTexture:1
0x005a2a61	CFastVB__Unk_005a2a61		8	CFastVB:8
0x005a38c0	CFastVB__Unk_005a38c0		1	CFastVB:1
0x005a47f2	CFastVB__Unk_005a47f2		1	CFastVB:1
0x005a7617	CFastVB__Unk_005a7617		1	CFastVB:1
0x005a7cf0	CFastVB__Unk_005a7cf0		1	CFastVB:1
0x005a7e09	CFastVB__Unk_005a7e09		1	CFastVB:1
0x005aa0cc	CFastVB__Unk_005aa0cc		1	CFastVB:1
0x005aa2f2	CFastVB__Unk_005aa2f2		1	CFastVB:1
0x005ad590	CFastVB__Unk_005ad590		4
0x005b3440	CFastVB__Unk_005b3440		1
0x005b35b0	CFastVB__Unk_005b35b0		1
