address	name	xref_count	owners	top_counts	unambiguous_non_cgeneralvolume
0x00407940	CGeneralVolume__Unk_00407940	2	CGeneralVolume	CGeneralVolume:1	false
0x00409950	CGeneralVolume__Unk_00409950	1	CMonitor	CMonitor:1	true
0x00409e60	CGeneralVolume__Unk_00409e60	5	CGeneralVolume,CMonitor	CGeneralVolume:2;CMonitor:1	false
0x00409e80	CGeneralVolume__Unk_00409e80	2	CCockpit,CGeneralVolume	CCockpit:1;CGeneralVolume:1	false
0x00409e90	CGeneralVolume__Unk_00409e90	1			false
0x00409ec0	CGeneralVolume__Unk_00409ec0	1			false
0x00409ef0	CGeneralVolume__Unk_00409ef0	1			false
0x00409f20	CGeneralVolume__Unk_00409f20	1			false
0x00409f70	CGeneralVolume__Unk_00409f70	1			false
0x0040a580	CGeneralVolume__Unk_0040a580	5	CMonitor	CMonitor:1	true
0x0040ac50	CGeneralVolume__Unk_0040ac50	1			false
0x0040acc0	CGeneralVolume__Unk_0040acc0	2	CBattleEngine	CBattleEngine:1	true
0x0040b120	CGeneralVolume__Unk_0040b120	1	CMonitor	CMonitor:1	true
0x0040b660	CGeneralVolume__Unk_0040b660	1	CGeneralVolume	CGeneralVolume:1	false
0x0040b6d0	CGeneralVolume__Unk_0040b6d0	2	CBattleEngine	CBattleEngine:1	true
0x0040bfd0	CGeneralVolume__Unk_0040bfd0	1			false
0x0040c2e0	CGeneralVolume__Unk_0040c2e0	1	CEngine	CEngine:1	true
0x0040c340	CGeneralVolume__Unk_0040c340	1	CEngine	CEngine:1	true
0x0040c3a0	CGeneralVolume__Unk_0040c3a0	1	CExplosionInitThing	CExplosionInitThing:1	true
0x0040c3c0	CGeneralVolume__Unk_0040c3c0	2	CExplosionInitThing	CExplosionInitThing:1	true
0x0040c460	CGeneralVolume__Unk_0040c460	1	CExplosionInitThing	CExplosionInitThing:1	true
0x0040c480	CGeneralVolume__Unk_0040c480	1	CExplosionInitThing	CExplosionInitThing:1	true
0x0040c4a0	CGeneralVolume__Unk_0040c4a0	2	CExplosionInitThing	CExplosionInitThing:1	true
0x0040c550	CGeneralVolume__Unk_0040c550	1	CExplosionInitThing	CExplosionInitThing:1	true
0x0040c570	CGeneralVolume__Unk_0040c570	1			false
0x0040c590	CGeneralVolume__Unk_0040c590	1	CExplosionInitThing	CExplosionInitThing:1	true
0x0040c5b0	CGeneralVolume__Unk_0040c5b0	1	CRepairPadAI	CRepairPadAI:1	true
0x0040c5e0	CGeneralVolume__Unk_0040c5e0	1	CRepairPadAI	CRepairPadAI:1	true
0x0040c630	CGeneralVolume__Unk_0040c630	3	CDXCompass,CVBufTexture	CDXCompass:2;CVBufTexture:1	false
0x0040c650	CGeneralVolume__Unk_0040c650	2	CBattleEngine	CBattleEngine:1	true
0x0040c720	CGeneralVolume__Unk_0040c720	1			false
0x0040d0f0	CGeneralVolume__Unk_0040d0f0	5	CEngine	CEngine:2	true
0x0040d120	CGeneralVolume__Unk_0040d120	83	CDXEngine,CEngine,CGamut,CInterpolatedCamera,CMCTentacle,CMeshCollisionVolume,CMeshPart,CPolyBucket,CSquadNormal,CStaticShadows,CUnitAI	CUnitAI:12;CEngine:6;CMeshCollisionVolume:4;CMeshPart:3;CInterpolatedCamera:2	false
0x0040d150	CGeneralVolume__Unk_0040d150	76	CCylinder,CDXLandscape,CEngine,CInterpolatedCamera,CMCTentacle,CMeshCollisionVolume,CMeshPart,CStaticShadows,CUnitAI,CVBufTexture	CUnitAI:9;CMCTentacle:4;CMeshPart:4;CCylinder:2;CDXLandscape:2	false
