address	name	signature
0x004a50b0	CMesh__Unk_004a50b0	void __fastcall CMesh__Unk_004a50b0(void * param_1)
0x004a51f0	CMesh__Unk_004a51f0	void __fastcall CMesh__Unk_004a51f0(int param_1)
0x004a52b0	CMesh__Unk_004a52b0	void CMesh__Unk_004a52b0(void)
0x004a52d0	CMesh__Unk_004a52d0	void CMesh__Unk_004a52d0(void)
0x004a53f0	CMesh__Unk_004a53f0	void CMesh__Unk_004a53f0(void)
0x004a5430	CMesh__Unk_004a5430	void CMesh__Unk_004a5430(void)
0x004a5500	CMesh__Unk_004a5500	void __stdcall CMesh__Unk_004a5500(void * param_1, int param_2)
0x004a5670	CMesh__Unk_004a5670	void __fastcall CMesh__Unk_004a5670(void * param_1)
0x004a5970	CMesh__Unk_004a5970	int __thiscall CMesh__Unk_004a5970(void * this, int param_1, void * param_2, int param_3)
0x004aa3f0	CMesh__Unk_004aa3f0	void __thiscall CMesh__Unk_004aa3f0(void * this, void * param_1, void * param_2)
0x004aa410	CMesh__Unk_004aa410	int * __cdecl CMesh__Unk_004aa410(void * param_1)
0x004aa4e0	CMesh__Unk_004aa4e0	int __fastcall CMesh__Unk_004aa4e0(int param_1)
0x004aa500	CMesh__Unk_004aa500	void __thiscall CMesh__Unk_004aa500(void * this, int param_1, int param_2, void * param_3, void * param_4)
0x004aa5a0	CMesh__Unk_004aa5a0	int __thiscall CMesh__Unk_004aa5a0(void * this, int param_1, int param_2)
0x004aa5e0	CMesh__Unk_004aa5e0	int __thiscall CMesh__Unk_004aa5e0(void * this, int param_1, int param_2)
0x004aa680	CMesh__Unk_004aa680	int __thiscall CMesh__Unk_004aa680(void * this, int param_1, int param_2)
0x004aa6b0	CMesh__Unk_004aa6b0	char * __fastcall CMesh__Unk_004aa6b0(int param_1)
0x004aa7e0	CMesh__Unk_004aa7e0	double __thiscall CMesh__Unk_004aa7e0(void * this, int param_1, int param_2, void * param_3)
0x004aa820	CMesh__Unk_004aa820	int __thiscall CMesh__Unk_004aa820(void * this, int param_1, void * param_2, int param_3)
0x004aa8a0	CMesh__Unk_004aa8a0	int __thiscall CMesh__Unk_004aa8a0(void * this, int param_1, void * param_2)
0x004aa900	CMesh__Unk_004aa900	void __fastcall CMesh__Unk_004aa900(int param_1)
0x004aa940	CMesh__Unk_004aa940	int __thiscall CMesh__Unk_004aa940(void * this, int param_1, void * param_2, void * param_3)
0x004ab330	CMesh__Unk_004ab330	int __cdecl CMesh__Unk_004ab330(int param_1)
