target_addr	target_name	from_addr	from_function	ref_type
004a50b0	CMesh__Unk_004a50b0	004aa7b3	CMesh__FindOrCreate	UNCONDITIONAL_CALL
004a50b0	CMesh__Unk_004a50b0	0045cd3a	CFEPGoodies__FreeUpGoodyResources	UNCONDITIONAL_CALL
004a50b0	CMesh__Unk_004a50b0	004a5326	CMesh__Unk_004a52d0	UNCONDITIONAL_CALL
004a50b0	CMesh__Unk_004a50b0	004a546a	CMesh__Unk_004a5430	UNCONDITIONAL_CALL
004a51f0	CMesh__Unk_004a51f0	004a5141	CMesh__Unk_004a50b0	UNCONDITIONAL_CALL
004a52b0	CMesh__Unk_004a52b0	004f01c4	CLTShell__Helper_004f00e0	UNCONDITIONAL_CALL
004a52d0	CMesh__Unk_004a52d0	004f0166	CLTShell__Helper_004f00e0	UNCONDITIONAL_CALL
004a52d0	CMesh__Unk_004a52d0	004f01bf	CLTShell__Helper_004f00e0	UNCONDITIONAL_CALL
004a52d0	CMesh__Unk_004a52d0	004a52cb	CMesh__Unk_004a52b0	UNCONDITIONAL_CALL
004a53f0	CMesh__Unk_004a53f0	00468809	CFrontEnd__LoadSharedResources	UNCONDITIONAL_CALL
004a53f0	CMesh__Unk_004a53f0	0046cdba	CGame__LoadResources	UNCONDITIONAL_CALL
004a5430	CMesh__Unk_004a5430	0046928d	CUnitAI__Unk_004691c0	UNCONDITIONAL_CALL
004a5430	CMesh__Unk_004a5430	0046ca13	<no_function>	UNCONDITIONAL_CALL
004a5500	CMesh__Unk_004a5500	004a87bb	CMesh__Load	UNCONDITIONAL_CALL
004a5500	CMesh__Unk_004a5500	004a944f	CMesh__Load	UNCONDITIONAL_CALL
004a5670	CMesh__Unk_004a5670	004a950a	CMesh__Load	UNCONDITIONAL_CALL
004a5970	CMesh__Unk_004a5970	004aa76c	CMesh__FindOrCreate	UNCONDITIONAL_CALL
004aa3f0	CMesh__Unk_004aa3f0	004a918e	CMesh__Load	UNCONDITIONAL_CALL
004aa3f0	CMesh__Unk_004aa3f0	004b08cf	CMeshPart__Unk_004b0800	UNCONDITIONAL_CALL
004aa3f0	CMesh__Unk_004aa3f0	004b0995	CMeshPart__Unk_004b0800	UNCONDITIONAL_CALL
004aa3f0	CMesh__Unk_004aa3f0	004b0ab0	CMeshPart__Unk_004b0800	UNCONDITIONAL_CALL
004aa3f0	CMesh__Unk_004aa3f0	004b0b86	CMeshPart__Unk_004b0800	UNCONDITIONAL_CALL
004aa3f0	CMesh__Unk_004aa3f0	004e16b2	CSoundManager__Unk_004e1360	UNCONDITIONAL_CALL
004aa410	CMesh__Unk_004aa410	004a8a3f	CMesh__Load	UNCONDITIONAL_CALL
004aa410	CMesh__Unk_004aa410	004ab04a	CMesh__Deserialize	UNCONDITIONAL_CALL
004aa4e0	CMesh__Unk_004aa4e0	004aa4ea	CMesh__Unk_004aa4e0	UNCONDITIONAL_CALL
004aa4e0	CMesh__Unk_004aa4e0	004dc6ca	CRTMesh__Init	UNCONDITIONAL_CALL
004aa4e0	CMesh__Unk_004aa4e0	004dc70d	CRTMesh__Init	UNCONDITIONAL_CALL
004aa4e0	CMesh__Unk_004aa4e0	004dc7fd	CRTMesh__Init	UNCONDITIONAL_CALL
004aa4e0	CMesh__Unk_004aa4e0	004dc87b	CRTMesh__Init	UNCONDITIONAL_CALL
004aa500	CMesh__Unk_004aa500	004dc6e4	CRTMesh__Init	UNCONDITIONAL_CALL
004aa500	CMesh__Unk_004aa500	004dc814	CRTMesh__Init	UNCONDITIONAL_CALL
004aa5a0	CMesh__Unk_004aa5a0	004dc84b	CRTMesh__Init	UNCONDITIONAL_CALL
004aa5e0	CMesh__Unk_004aa5e0	004dc06e	<no_function>	UNCONDITIONAL_CALL
004aa5e0	CMesh__Unk_004aa5e0	004dd247	<no_function>	UNCONDITIONAL_CALL
004aa5e0	CMesh__Unk_004aa5e0	004dd3d3	<no_function>	UNCONDITIONAL_CALL
004aa680	CMesh__Unk_004aa680	00498e76	CMCMech__Init	UNCONDITIONAL_CALL
004aa680	CMesh__Unk_004aa680	004992a6	CMCMech__Init	UNCONDITIONAL_CALL
004aa680	CMesh__Unk_004aa680	004933f9	CMCBuggy__Init	UNCONDITIONAL_CALL
004aa680	CMesh__Unk_004aa680	0043fb1d	CCutscene__PrepareAnimations	UNCONDITIONAL_CALL
004aa6b0	CMesh__Unk_004aa6b0	004827f9	CSphere__Unk_00482590	UNCONDITIONAL_CALL
004aa6b0	CMesh__Unk_004aa6b0	00444730	CDestructableSegmentsController__Init	UNCONDITIONAL_CALL
004aa6b0	CMesh__Unk_004aa6b0	0044486f	CDestructableSegmentsController__Init	UNCONDITIONAL_CALL
004aa6b0	CMesh__Unk_004aa6b0	00444885	CDestructableSegmentsController__Init	UNCONDITIONAL_CALL
004aa6b0	CMesh__Unk_004aa6b0	00444d4b	CDestructableSegmentsController__ProcessNode	UNCONDITIONAL_CALL
004aa6b0	CMesh__Unk_004aa6b0	00444d82	CDestructableSegmentsController__ProcessNode	UNCONDITIONAL_CALL
004aa6b0	CMesh__Unk_004aa6b0	00444e12	CDestructableSegmentsController__ProcessNode	UNCONDITIONAL_CALL
004aa6b0	CMesh__Unk_004aa6b0	004ae34c	CMeshPart__CreatePolyBucket	UNCONDITIONAL_CALL
004aa6b0	CMesh__Unk_004aa6b0	004ae369	CMeshPart__CreatePolyBucket	UNCONDITIONAL_CALL
004aa6b0	CMesh__Unk_004aa6b0	004ae393	CMeshPart__CreatePolyBucket	UNCONDITIONAL_CALL
004aa6b0	CMesh__Unk_004aa6b0	004440b9	CDestroyableSegment__Unk_00444030	UNCONDITIONAL_CALL
004aa7e0	CMesh__Unk_004aa7e0	004dba01	<no_function>	UNCONDITIONAL_CALL
004aa7e0	CMesh__Unk_004aa7e0	004dbfd5	<no_function>	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	0044477f	CDestructableSegmentsController__Init	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	0049a279	CMCMech__UpdateBone	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	0049a805	CMCMech__UpdateBone	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	0049b2ee	CMCMech__UpdateBone	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	00498cea	CMCMech__Init	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	00498d08	CMCMech__Init	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	00498d2c	CMCMech__Init	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	00498d4a	CMCMech__Init	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	0049947d	CMCMech__Init	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	004997dc	CMCMech__Init	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	004939a6	CMCBuggy__UpdateWheel	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	00493e46	CMCBuggy__UpdateWheel	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	004931c2	CMCBuggy__Init	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	004931dc	CMCBuggy__Init	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	0049345b	CMCBuggy__Init	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	004f8918	CUnit__Init	UNCONDITIONAL_CALL
004aa820	CMesh__Unk_004aa820	004dd1b0	<no_function>	UNCONDITIONAL_CALL
004aa8a0	CMesh__Unk_004aa8a0	0044446e	CDestroyableSegment__Unk_00444450	UNCONDITIONAL_CALL
004aa8a0	CMesh__Unk_004aa8a0	004444ce	CDestroyableSegment__Unk_004444b0	UNCONDITIONAL_CALL
004aa8a0	CMesh__Unk_004aa8a0	0044453e	CDestroyableSegment__Unk_00444520	UNCONDITIONAL_CALL
004aa8a0	CMesh__Unk_004aa8a0	004445ce	CDestroyableSegment__Unk_004445b0	UNCONDITIONAL_CALL
004aa8a0	CMesh__Unk_004aa8a0	0049f914	VFuncSlot_09_0049f820	UNCONDITIONAL_CALL
004aa8a0	CMesh__Unk_004aa8a0	004a0161	<no_function>	UNCONDITIONAL_CALL
004aa900	CMesh__Unk_004aa900	004dcb97	<no_function>	UNCONDITIONAL_CALL
004aa940	CMesh__Unk_004aa940	004dd422	<no_function>	UNCONDITIONAL_CALL
004ab330	CMesh__Unk_004ab330	00543fd4	CDXImposter__Create	UNCONDITIONAL_CALL
