address	current_name	owner	new_name
0x00407060	CMonitor__Unk_00407060	CEngine	CEngine__Helper_00407060
0x0040dc90	CMonitor__Unk_0040dc90	CExplosionInitThing	CExplosionInitThing__Helper_0040dc90
0x00410210	CMonitor__Unk_00410210	CBattleEngine	CBattleEngine__Helper_00410210
0x00412050	CMonitor__Unk_00412050	CEngine	CEngine__Helper_00412050
0x00412520	CMonitor__Unk_00412520	CExplosionInitThing	CExplosionInitThing__Helper_00412520
0x00412bc0	CMonitor__Unk_00412bc0	CBattleEngine	CBattleEngine__Helper_00412bc0
0x004140d0	CMonitor__Unk_004140d0	CEngine	CEngine__Helper_004140d0
0x00414610	CMonitor__Unk_00414610	CExplosionInitThing	CExplosionInitThing__Helper_00414610
0x00452db0	CMonitor__Unk_00452db0	CFEPGoodies	CFEPGoodies__Helper_00452db0
0x00472e50	CMonitor__Unk_00472e50	CVBufTexture	CVBufTexture__Helper_00472e50
0x00490220	CMonitor__Unk_00490220	CEngine	CEngine__Helper_00490220
0x00490780	CMonitor__Unk_00490780	CDXEngine	CDXEngine__Helper_00490780
