address	name	signature	status
0x00407060	CEngine__Helper_00407060	void __thiscall CEngine__Helper_00407060(void * this, int param_1, int param_2)	OK
0x0040dc90	CExplosionInitThing__Helper_0040dc90	void __fastcall CExplosionInitThing__Helper_0040dc90(int param_1)	OK
0x00410210	CBattleEngine__Helper_00410210	void * __thiscall CBattleEngine__Helper_00410210(void * this, void * param_1, int param_2)	OK
0x00412050	CEngine__Helper_00412050	int __thiscall CEngine__Helper_00412050(void * this, void * param_1, int param_2)	OK
0x00412520	CExplosionInitThing__Helper_00412520	int __fastcall CExplosionInitThing__Helper_00412520(void * param_1)	OK
0x00412bc0	CBattleEngine__Helper_00412bc0	void * __thiscall CBattleEngine__Helper_00412bc0(void * this, void * param_1, int param_2)	OK
0x004140d0	CEngine__Helper_004140d0	int __thiscall CEngine__Helper_004140d0(void * this, void * param_1, int param_2)	OK
0x00414610	CExplosionInitThing__Helper_00414610	int __fastcall CExplosionInitThing__Helper_00414610(void * param_1)	OK
0x00452db0	CFEPGoodies__Helper_00452db0	void CFEPGoodies__Helper_00452db0(void)	OK
0x00472e50	CVBufTexture__Helper_00472e50	int CVBufTexture__Helper_00472e50(void)	OK
0x00490220	CEngine__Helper_00490220	void __fastcall CEngine__Helper_00490220(int param_1)	OK
0x00490780	CDXEngine__Helper_00490780	void __thiscall CDXEngine__Helper_00490780(void * this, int param_1, int param_2)	OK
