address	name	signature
0x004e0b30	CSoundManager__Unk_004e0b30	int CSoundManager__Unk_004e0b30(void)
0x004e0f70	CSoundManager__Unk_004e0f70	void __stdcall CSoundManager__Unk_004e0f70(void * param_1)
0x004e1040	CSoundManager__Unk_004e1040	void __fastcall CSoundManager__Unk_004e1040(int param_1)
0x004e1130	CSoundManager__Unk_004e1130	void __thiscall CSoundManager__Unk_004e1130(void * this, int param_1, void * param_2)
0x004e1190	CSoundManager__Unk_004e1190	void __thiscall CSoundManager__Unk_004e1190(void * this, int param_1, void * param_2, int param_3)
0x004e1200	CSoundManager__Unk_004e1200	void __thiscall CSoundManager__Unk_004e1200(void * this, int param_1, int param_2)
0x004e1260	CSoundManager__Unk_004e1260	void __thiscall CSoundManager__Unk_004e1260(void * this, int param_1, int param_2, float param_3, float param_4, int param_5)
0x004e12b0	CSoundManager__Unk_004e12b0	void __fastcall CSoundManager__Unk_004e12b0(int param_1)
0x004e1300	CSoundManager__Unk_004e1300	void __fastcall CSoundManager__Unk_004e1300(int param_1)
0x004e1330	CSoundManager__Unk_004e1330	void __fastcall CSoundManager__Unk_004e1330(int param_1)
0x004e1360	CSoundManager__Unk_004e1360	void __stdcall CSoundManager__Unk_004e1360(void * param_1, int param_2)
0x004e1800	CSoundManager__Unk_004e1800	void __thiscall CSoundManager__Unk_004e1800(void * this, int param_1, void * param_2, int param_3)
0x004e1880	CSoundManager__Unk_004e1880	int * __thiscall CSoundManager__Unk_004e1880(void * this, int param_1, void * param_2, int param_3)
0x004e18d0	CSoundManager__Unk_004e18d0	void __thiscall CSoundManager__Unk_004e18d0(void * this, int param_1, int param_2, int param_3, float param_4)
0x004e1910	CSoundManager__Unk_004e1910	int __thiscall CSoundManager__Unk_004e1910(void * this, int param_1, int param_2, int param_3)
0x004e1940	CSoundManager__Unk_004e1940	void __thiscall CSoundManager__Unk_004e1940(void * this, void * param_1, void * param_2)
0x004e1ab0	CSoundManager__Unk_004e1ab0	int __thiscall CSoundManager__Unk_004e1ab0(void * this, int param_1, int param_2, int param_3)
0x004e2360	CSoundManager__Unk_004e2360	void __thiscall CSoundManager__Unk_004e2360(void * this, int param_1, int param_2, void * param_3)
