target_addr	target_name	from_addr	from_function	ref_type
004e0b30	CSoundManager__Unk_004e0b30	004b7e82	CGame__Helper_004b7d90	UNCONDITIONAL_CALL
004e0b30	CSoundManager__Unk_004e0b30	004e1a7f	CSoundManager__Unk_004e1940	UNCONDITIONAL_CALL
004e0b30	CSoundManager__Unk_004e0b30	004e0b05	CSoundManager__PlayNamedSample	UNCONDITIONAL_CALL
004e0b30	CSoundManager__Unk_004e0b30	004e00b2	<no_function>	UNCONDITIONAL_CALL
004e0b30	CSoundManager__Unk_004e0b30	0043f991	CCutscene__Update	UNCONDITIONAL_CALL
004e0f70	CSoundManager__Unk_004e0f70	00517c31	CSoundManager__UpdateChannelParams	UNCONDITIONAL_CALL
004e0f70	CSoundManager__Unk_004e0f70	004dffe1	CSample__VFunc_00_004dffc0	UNCONDITIONAL_CALL
004e1040	CSoundManager__Unk_004e1040	004e1c15	CSoundManager__UpdateStatus	UNCONDITIONAL_CALL
004e1130	CSoundManager__Unk_004e1130	004f95db	VFuncSlot_02_004f95d0	UNCONDITIONAL_CALL
004e1130	CSoundManager__Unk_004e1130	004fd153	CUnit__Unk_004fd140	UNCONDITIONAL_CALL
004e1130	CSoundManager__Unk_004e1130	0044cbe9	CFeature__VFunc_02_0044cbe0	UNCONDITIONAL_CALL
004e1130	CSoundManager__Unk_004e1130	0047e6e9	CHazard__VFunc_02_0047e6e0	UNCONDITIONAL_CALL
004e1190	CSoundManager__Unk_004e1190	004fb1eb	CUnit__Unk_004fa8d0	UNCONDITIONAL_CALL
004e1200	CSoundManager__Unk_004e1200	004b8829	CUnitAI__Unk_004b8800	UNCONDITIONAL_CALL
004e1200	CSoundManager__Unk_004e1200	004b79d3	CMessageBox__ctor_like_004b7930	UNCONDITIONAL_CALL
004e1200	CSoundManager__Unk_004e1200	004b7a58	CMessageBox__ctor_like_004b7930	UNCONDITIONAL_CALL
004e1200	CSoundManager__Unk_004e1200	00516901	CPCSoundManager__dtor	UNCONDITIONAL_CALL
004e1260	CSoundManager__Unk_004e1260	00408d56	CMonitor__Unk_004081c0	UNCONDITIONAL_CALL
004e1260	CSoundManager__Unk_004e1260	00409ad8	CMonitor__Helper_00409950	UNCONDITIONAL_CALL
004e1260	CSoundManager__Unk_004e1260	00409b0b	CMonitor__Helper_00409950	UNCONDITIONAL_CALL
004e1260	CSoundManager__Unk_004e1260	00409b3a	CMonitor__Helper_00409950	UNCONDITIONAL_CALL
004e1260	CSoundManager__Unk_004e1260	0040a6aa	CMonitor__Helper_0040a580	UNCONDITIONAL_CALL
004e1260	CSoundManager__Unk_004e1260	0040a878	CMonitor__Helper_0040a580	UNCONDITIONAL_CALL
004e1260	CSoundManager__Unk_004e1260	0040ebd2	CMonitor__Unk_0040eb50	UNCONDITIONAL_CALL
004e12b0	CSoundManager__Unk_004e12b0	0046e19f	CGame__RestartLoopRunLevel	UNCONDITIONAL_CALL
004e12b0	CSoundManager__Unk_004e12b0	0043f9b7	CCutscene__Update	UNCONDITIONAL_CALL
004e1300	CSoundManager__Unk_004e1300	0046ec46	CGame__Update	UNCONDITIONAL_CALL
004e1330	CSoundManager__Unk_004e1330	0046ec22	CGame__Update	UNCONDITIONAL_CALL
004e1360	CSoundManager__Unk_004e1360	004e0d68	CSoundManager__PlaySound	UNCONDITIONAL_CALL
004e1360	CSoundManager__Unk_004e1360	004e1c68	CSoundManager__UpdateStatus	UNCONDITIONAL_CALL
004e1360	CSoundManager__Unk_004e1360	00517909	CSoundManager__PlaySoundOnChannel	UNCONDITIONAL_CALL
004e1800	CSoundManager__Unk_004e1800	004099bc	CMonitor__Helper_00409950	UNCONDITIONAL_CALL
004e1800	CSoundManager__Unk_004e1800	004099d5	CMonitor__Helper_00409950	UNCONDITIONAL_CALL
