address	old_name	inferred_owner	xref_count	top_counts
0x004e0b30	CSoundManager__Unk_004e0b30		4	CGame:1;CMonitor:1;CSoundManager:1;CCutscene:1
0x004e0f70	CSoundManager__Unk_004e0f70		2	CSoundManager:1;CSample:1
0x004e1040	CSoundManager__Unk_004e1040		1	CSoundManager:1
0x004e1130	CSoundManager__Unk_004e1130		3	CUnit:1;CFeature:1;CHazard:1
0x004e1190	CSoundManager__Unk_004e1190		1	CUnit:1
0x004e12b0	CSoundManager__Unk_004e12b0		2	CGame:1;CCutscene:1
0x004e1300	CSoundManager__Unk_004e1300		1	CGame:1
0x004e1330	CSoundManager__Unk_004e1330		1	CGame:1
0x004e1360	CSoundManager__Unk_004e1360		3	CSoundManager:3
0x004e18d0	CSoundManager__Unk_004e18d0		1	CMonitor:1
0x004e2360	CSoundManager__Unk_004e2360		0
