address	old_name	inferred_owner	xref_count	top_counts
0x004e6ff0	CSquadNormal__Unk_004e6ff0		0
0x004e7110	CSquadNormal__Unk_004e7110		0
0x004e7cf0	CSquadNormal__Unk_004e7cf0		2	CSquadNormal:2
0x004e7f40	CSquadNormal__Unk_004e7f40		1	CSquadNormal:1
0x004e8100	CSquadNormal__Unk_004e8100		1	CSquadNormal:1
0x004e81d0	CSquadNormal__Unk_004e81d0		1	CSquadNormal:1
0x004e83b0	CSquadNormal__Unk_004e83b0		3	CSquadNormal:3
0x004e84e0	CSquadNormal__Unk_004e84e0		5	CSquadNormal:5
0x004e8730	CSquadNormal__Unk_004e8730		1	CSquadNormal:1
0x004e8930	CSquadNormal__Unk_004e8930		1	CSquadNormal:1
0x004e8dd0	CSquadNormal__Unk_004e8dd0		0
0x004e8f80	CSquadNormal__Unk_004e8f80		1	CSquadNormal:1
