address	expected_name	actual_name	status
0x00562a89	CDXTexture__Helper_00562a89	CDXTexture__Helper_00562a89	OK
0x00567df0	CDXTexture__Helper_00567df0	CDXTexture__Helper_00567df0	OK
0x0056836a	CDXTexture__Helper_0056836a	CDXTexture__Helper_0056836a	OK
0x0056b254	CDXTexture__Helper_0056b254	CDXTexture__Helper_0056b254	OK
0x0056b2b3	CDXTexture__Helper_0056b2b3	CDXTexture__Helper_0056b2b3	OK
0x0056d4a6	CDXTexture__Helper_0056d4a6	CDXTexture__Helper_0056d4a6	OK
0x0056eb1b	CDXTexture__Helper_0056eb1b	CDXTexture__Helper_0056eb1b	OK
0x0056f540	CFastVB__Helper_0056f540	CFastVB__Helper_0056f540	OK
0x0056f580	CFastVB__Helper_0056f580	CFastVB__Helper_0056f580	OK
0x00573140	CFastVB__Helper_00573140	CFastVB__Helper_00573140	OK
0x00573170	CFastVB__Helper_00573170	CFastVB__Helper_00573170	OK
0x005736d0	CFastVB__Helper_005736d0	CFastVB__Helper_005736d0	OK
0x00574250	CFastVB__Helper_00574250	CFastVB__Helper_00574250	OK
0x00579ca5	CDXTexture__Helper_00579ca5	CDXTexture__Helper_00579ca5	OK
0x0058c396	CMeshCollisionVolume__Helper_0058c396	CMeshCollisionVolume__Helper_0058c396	OK
0x0059902a	CDXTexture__Helper_0059902a	CDXTexture__Helper_0059902a	OK
0x0059c670	CDXTexture__Helper_0059c670	CDXTexture__Helper_0059c670	OK
