address	old_name	expected_new_name	actual_name	status
0x0055def0	CTexture__Unk_0055def0	CDXTexture__Helper_0055def0	CDXTexture__Helper_0055def0	OK
0x0055dfe7	CTexture__Unk_0055dfe7	CDXEngine__Helper_0055dfe7	CDXEngine__Helper_0055dfe7	OK
0x0055e64e	CTexture__Unk_0055e64e	CUnitAI__Helper_0055e64e	CUnitAI__Helper_0055e64e	OK
0x00561179	CTexture__Unk_00561179	CDXTexture__Helper_00561179	CDXTexture__Helper_00561179	OK
0x0056171c	CTexture__Unk_0056171c	CDXTexture__Helper_0056171c	CDXTexture__Helper_0056171c	OK
0x00564f7a	CTexture__Unk_00564f7a	CDXTexture__Helper_00564f7a	CDXTexture__Helper_00564f7a	OK
0x00566364	CTexture__Unk_00566364	CDXTexture__Helper_00566364	CDXTexture__Helper_00566364	OK
0x00567094	CTexture__Unk_00567094	CDXTexture__Helper_00567094	CDXTexture__Helper_00567094	OK
0x00567b96	CTexture__Unk_00567b96	CFastVB__Helper_00567b96	CFastVB__Helper_00567b96	OK
0x00567de0	CTexture__Unk_00567de0	CDXTexture__Helper_00567de0	CDXTexture__Helper_00567de0	OK
0x0056eb50	CTexture__Unk_0056eb50	CDXMeshVB__Helper_0056eb50	CDXMeshVB__Helper_0056eb50	OK
0x0056eb60	CTexture__Unk_0056eb60	CDXMeshVB__Helper_0056eb60	CDXMeshVB__Helper_0056eb60	OK
0x00574577	CTexture__Unk_00574577	CFastVB__Helper_00574577	CFastVB__Helper_00574577	OK
0x00579a9a	CTexture__Unk_00579a9a	CVertexShader__Helper_00579a9a	CVertexShader__Helper_00579a9a	OK
0x00579bd5	CTexture__Unk_00579bd5	CFastVB__Helper_00579bd5	CFastVB__Helper_00579bd5	OK
0x00581263	CTexture__Unk_00581263	CFastVB__Helper_00581263	CFastVB__Helper_00581263	OK
0x00581279	CTexture__Unk_00581279	CFastVB__Helper_00581279	CFastVB__Helper_00581279	OK
0x00588896	CTexture__Unk_00588896	CDXTexture__Helper_00588896	CDXTexture__Helper_00588896	OK
0x00592d45	CTexture__Unk_00592d45	CDXTexture__Helper_00592d45	CDXTexture__Helper_00592d45	OK
0x00592d63	CTexture__Unk_00592d63	CDXTexture__Helper_00592d63	CDXTexture__Helper_00592d63	OK
