address	current_name	owner	new_name
0x00402020	CUnit__Unk_00402020	CGeneralVolume	CGeneralVolume__Helper_00402020
0x00403730	CUnit__Unk_00403730	CFEPMultiplayerStart	CFEPMultiplayerStart__Helper_00403730
0x00403760	CUnit__Unk_00403760	CUnitAI	CUnitAI__Helper_00403760
0x004d8a70	CUnit__Unk_004d8a70	CCollisionSeekingRound	CCollisionSeekingRound__Helper_004d8a70
0x004daba0	CUnit__Unk_004daba0	CEngine	CEngine__Helper_004daba0
0x004dac90	CUnit__Unk_004dac90	CRound	CRound__Helper_004dac90
0x004df530	CUnit__Unk_004df530	CEngine	CEngine__Helper_004df530
0x004e2a90	CUnit__Unk_004e2a90	CSoundManager	CSoundManager__Helper_004e2a90
0x004e2b30	CUnit__Unk_004e2b30	CSoundManager	CSoundManager__Helper_004e2b30
0x004e47e0	CUnit__Unk_004e47e0	CGame	CGame__Helper_004e47e0
0x004e49f0	CUnit__Unk_004e49f0	CGame	CGame__Helper_004e49f0
0x004e6610	CUnit__Unk_004e6610	CExplosionInitThing	CExplosionInitThing__Helper_004e6610
0x004e6680	CUnit__Unk_004e6680	CSquadNormal	CSquadNormal__Helper_004e6680
0x004e97e0	CUnit__Unk_004e97e0	CSquadNormal	CSquadNormal__Helper_004e97e0
0x004ebbc0	CUnit__Unk_004ebbc0	CGame	CGame__Helper_004ebbc0
0x004efb10	CUnit__Unk_004efb10	CLTShell	CLTShell__Helper_004efb10
0x004f00e0	CUnit__Unk_004f00e0	CLTShell	CLTShell__Helper_004f00e0
0x004f0330	CUnit__Unk_004f0330	CLTShell	CLTShell__Helper_004f0330
0x004f0ba0	CUnit__Unk_004f0ba0	CMCTentacle	CMCTentacle__Helper_004f0ba0
0x004f0c50	CUnit__Unk_004f0c50	CMCTentacle	CMCTentacle__Helper_004f0c50
0x004f2790	CUnit__Unk_004f2790	CDXSurf	CDXSurf__Helper_004f2790
0x004f2b40	CUnit__Unk_004f2b40	CUnitAI	CUnitAI__Helper_004f2b40
0x004f4530	CUnit__Unk_004f4530	CGillMHead	CGillMHead__Helper_004f4530
0x004f45e0	CUnit__Unk_004f45e0	CExplosionInitThing	CExplosionInitThing__Helper_004f45e0
0x004f7440	CUnit__Unk_004f7440	CMissionScriptObjectCode	CMissionScriptObjectCode__Helper_004f7440
0x004f7460	CUnit__Unk_004f7460	CDXBattleLine	CDXBattleLine__Helper_004f7460
0x004f7940	CUnit__Unk_004f7940	CDXBattleLine	CDXBattleLine__Helper_004f7940
0x004f99b0	CUnit__Unk_004f99b0	CGame	CGame__Helper_004f99b0
0x004f9a40	CUnit__Unk_004f9a40	CSphere	CSphere__Helper_004f9a40
0x004f9a60	CUnit__Unk_004f9a60	CDestroyableSegment	CDestroyableSegment__Helper_004f9a60
0x004fb3d0	CUnit__Unk_004fb3d0	CSquadNormal	CSquadNormal__Helper_004fb3d0
0x004fb780	CUnit__Unk_004fb780	CSquadNormal	CSquadNormal__Helper_004fb780
0x004fb7e0	CUnit__Unk_004fb7e0	CSquadNormal	CSquadNormal__Helper_004fb7e0
0x004fbc90	CUnit__Unk_004fbc90	CWarspite	CWarspite__Helper_004fbc90
0x004fc080	CUnit__Unk_004fc080	CUnitAI	CUnitAI__Helper_004fc080
0x004fc170	CUnit__Unk_004fc170	CUnitAI	CUnitAI__Helper_004fc170
0x004fc3a0	CUnit__Unk_004fc3a0	CSpawnerThng	CSpawnerThng__Helper_004fc3a0
0x004fcc30	CUnit__Unk_004fcc30	CThing	CThing__Helper_004fcc30
0x004fce40	CUnit__Unk_004fce40	CUnitAI	CUnitAI__Helper_004fce40
0x004fd4d0	CUnit__Unk_004fd4d0	CCannon	CCannon__Helper_004fd4d0
0x004fd500	CUnit__Unk_004fd500	CExplosionInitThing	CExplosionInitThing__Helper_004fd500
0x004fd570	CUnit__Unk_004fd570	CSquadNormal	CSquadNormal__Helper_004fd570
0x004fd7e0	CUnit__Unk_004fd7e0	CUnitAI	CUnitAI__Helper_004fd7e0
0x004fd8d0	CUnit__Unk_004fd8d0	CDestructableSegmentsController	CDestructableSegmentsController__Helper_004fd8d0
0x004fda10	CUnit__Unk_004fda10	CUnitAI	CUnitAI__Helper_004fda10
0x004fde10	CUnit__Unk_004fde10	CUnitAI	CUnitAI__Helper_004fde10
0x004fde70	CUnit__Unk_004fde70	CWarspite	CWarspite__Helper_004fde70
