target_addr	target_name	from_addr	from_function	ref_type
004015e0	CUnit__Unk_004015e0	00408f6b	CMonitor__Unk_004081c0	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	004fa91b	CUnit__Unk_004fa8d0	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	005d8554	<no_function>	DATA
004015e0	CUnit__Unk_004015e0	0044ad99	<no_function>	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	0044cc16	<no_function>	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	004bc03e	<no_function>	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	004d7e1b	<no_function>	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	004d91ff	<no_function>	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	004df737	<no_function>	UNCONDITIONAL_CALL
00402000	CUnit__Unk_00402000	00403733	CUnit__Unk_00403730	UNCONDITIONAL_CALL
00402000	CUnit__Unk_00402000	0044d1f3	CUnitAI__Unk_0044d1f0	UNCONDITIONAL_CALL
00402000	CUnit__Unk_00402000	00489f2a	CUnitAI__Unk_00489ef0	UNCONDITIONAL_CALL
00402000	CUnit__Unk_00402000	005d855c	<no_function>	DATA
00402000	CUnit__Unk_00402000	005d8fc4	<no_function>	DATA
00402000	CUnit__Unk_00402000	005d921c	<no_function>	DATA
00402000	CUnit__Unk_00402000	005dd898	<no_function>	DATA
00402000	CUnit__Unk_00402000	005dd700	<no_function>	DATA
00402000	CUnit__Unk_00402000	005dd568	<no_function>	DATA
00402000	CUnit__Unk_00402000	005dc940	<no_function>	DATA
00402000	CUnit__Unk_00402000	005dee58	<no_function>	DATA
00402000	CUnit__Unk_00402000	005dfaa8	<no_function>	DATA
00402000	CUnit__Unk_00402000	005e3184	<no_function>	DATA
00402000	CUnit__Unk_00402000	005e2a8c	<no_function>	DATA
00402000	CUnit__Unk_00402000	005e25ec	<no_function>	DATA
