address	name	signature	status
0x00402020	CGeneralVolume__Helper_00402020	void __fastcall CGeneralVolume__Helper_00402020(int param_1)	OK
0x00403730	CFEPMultiplayerStart__Helper_00403730	void __fastcall CFEPMultiplayerStart__Helper_00403730(void * param_1)	OK
0x00403760	CUnitAI__Helper_00403760	void __fastcall CUnitAI__Helper_00403760(void * param_1)	OK
0x004d8a70	CCollisionSeekingRound__Helper_004d8a70	void __fastcall CCollisionSeekingRound__Helper_004d8a70(int param_1)	OK
0x004daba0	CEngine__Helper_004daba0	int __fastcall CEngine__Helper_004daba0(int param_1)	OK
0x004dac90	CRound__Helper_004dac90	void __thiscall CRound__Helper_004dac90(void * this, void * param_1, void * param_2)	OK
0x004df530	CEngine__Helper_004df530	void __thiscall CEngine__Helper_004df530(void * this, int param_1, void * param_2)	OK
0x004e2a90	CSoundManager__Helper_004e2a90	char * __cdecl CSoundManager__Helper_004e2a90(void * param_1, int param_2)	OK
0x004e2b30	CSoundManager__Helper_004e2b30	void __fastcall CSoundManager__Helper_004e2b30(void * param_1)	OK
0x004e47e0	CGame__Helper_004e47e0	int * __thiscall CGame__Helper_004e47e0(void * this, int param_1, int param_2)	OK
0x004e49f0	CGame__Helper_004e49f0	int __fastcall CGame__Helper_004e49f0(int param_1)	OK
0x004e6610	CExplosionInitThing__Helper_004e6610	int __fastcall CExplosionInitThing__Helper_004e6610(int param_1)	OK
0x004e6680	CSquadNormal__Helper_004e6680	int __thiscall CSquadNormal__Helper_004e6680(void * this, int param_1, int param_2)	OK
0x004e97e0	CSquadNormal__Helper_004e97e0	int __thiscall CSquadNormal__Helper_004e97e0(void * this, void * param_1, void * param_2)	OK
0x004ebbc0	CGame__Helper_004ebbc0	void __fastcall CGame__Helper_004ebbc0(int param_1)	OK
0x004efb10	CLTShell__Helper_004efb10	int __fastcall CLTShell__Helper_004efb10(void * param_1)	OK
0x004f00e0	CLTShell__Helper_004f00e0	void CLTShell__Helper_004f00e0(void)	OK
0x004f0330	CLTShell__Helper_004f0330	int __fastcall CLTShell__Helper_004f0330(void * param_1)	OK
0x004f0ba0	CMCTentacle__Helper_004f0ba0	void __thiscall CMCTentacle__Helper_004f0ba0(void * this, int param_1, void * param_2)	OK
0x004f0c50	CMCTentacle__Helper_004f0c50	void __thiscall CMCTentacle__Helper_004f0c50(void * this, int param_1, void * param_2)	OK
0x004f2790	CDXSurf__Helper_004f2790	void __fastcall CDXSurf__Helper_004f2790(int param_1)	OK
0x004f2b40	CUnitAI__Helper_004f2b40	void CUnitAI__Helper_004f2b40(void)	OK
0x004f4530	CGillMHead__Helper_004f4530	int __thiscall CGillMHead__Helper_004f4530(void * this, int param_1, int param_2)	OK
0x004f45e0	CExplosionInitThing__Helper_004f45e0	void __stdcall CExplosionInitThing__Helper_004f45e0(void * param_1)	OK
0x004f7440	CMissionScriptObjectCode__Helper_004f7440	void __fastcall CMissionScriptObjectCode__Helper_004f7440(void * param_1)	OK
0x004f7460	CDXBattleLine__Helper_004f7460	void __thiscall CDXBattleLine__Helper_004f7460(void * this, void * param_1, void * param_2)	OK
0x004f7940	CDXBattleLine__Helper_004f7940	void __fastcall CDXBattleLine__Helper_004f7940(void * param_1)	OK
0x004f99b0	CGame__Helper_004f99b0	void __fastcall CGame__Helper_004f99b0(int param_1)	OK
0x004f9a40	CSphere__Helper_004f9a40	double __fastcall CSphere__Helper_004f9a40(int param_1)	OK
0x004f9a60	CDestroyableSegment__Helper_004f9a60	void __thiscall CDestroyableSegment__Helper_004f9a60(void * this, int param_1, void * param_2)	OK
0x004fb3d0	CSquadNormal__Helper_004fb3d0	int __thiscall CSquadNormal__Helper_004fb3d0(void * this, int param_1, void * param_2)	OK
0x004fb780	CSquadNormal__Helper_004fb780	int CSquadNormal__Helper_004fb780(void)	OK
0x004fb7e0	CSquadNormal__Helper_004fb7e0	int CSquadNormal__Helper_004fb7e0(void)	OK
0x004fbc90	CWarspite__Helper_004fbc90	double __fastcall CWarspite__Helper_004fbc90(int param_1)	OK
0x004fc080	CUnitAI__Helper_004fc080	int __fastcall CUnitAI__Helper_004fc080(void * param_1)	OK
0x004fc170	CUnitAI__Helper_004fc170	void __fastcall CUnitAI__Helper_004fc170(int param_1)	OK
0x004fc3a0	CSpawnerThng__Helper_004fc3a0	void __thiscall CSpawnerThng__Helper_004fc3a0(void * this, int param_1, float param_2)	OK
0x004fcc30	CThing__Helper_004fcc30	void __thiscall CThing__Helper_004fcc30(void * this, void * param_1, int param_2, void * param_3)	OK
0x004fce40	CUnitAI__Helper_004fce40	int CUnitAI__Helper_004fce40(void)	OK
0x004fd4d0	CCannon__Helper_004fd4d0	void __thiscall CCannon__Helper_004fd4d0(void * this, void * param_1, int param_2)	OK
0x004fd500	CExplosionInitThing__Helper_004fd500	void __thiscall CExplosionInitThing__Helper_004fd500(void * this, void * param_1, void * param_2)	OK
0x004fd570	CSquadNormal__Helper_004fd570	int __fastcall CSquadNormal__Helper_004fd570(int param_1)	OK
0x004fd7e0	CUnitAI__Helper_004fd7e0	int __fastcall CUnitAI__Helper_004fd7e0(int param_1)	OK
0x004fd8d0	CDestructableSegmentsController__Helper_004fd8d0	int * __thiscall CDestructableSegmentsController__Helper_004fd8d0(void * this, int param_1, int param_2)	OK
0x004fda10	CUnitAI__Helper_004fda10	int __fastcall CUnitAI__Helper_004fda10(int param_1)	OK
0x004fde10	CUnitAI__Helper_004fde10	int __fastcall CUnitAI__Helper_004fde10(int param_1)	OK
0x004fde70	CWarspite__Helper_004fde70	void __fastcall CWarspite__Helper_004fde70(void * param_1)	OK
