address	name	xref_count	owners	top_counts	unambiguous_non_cunitai
0x00408120	CUnitAI__Unk_00408120	2	CMonitor,CUnitAI	CMonitor:1;CUnitAI:1	false
0x0040d5b0	CUnitAI__Unk_0040d5b0	2	CUnitAI	CUnitAI:2	false
0x0040d7c0	CUnitAI__Unk_0040d7c0	1	CUnitAI	CUnitAI:1	false
0x0040da30	CUnitAI__Unk_0040da30	1	CUnitAI	CUnitAI:1	false
0x00415140	CUnitAI__Unk_00415140	0			false
0x00415780	CUnitAI__Unk_00415780	0			false
0x004157c0	CUnitAI__Unk_004157c0	0			false
0x00415970	CUnitAI__Unk_00415970	0			false
0x00415a50	CUnitAI__Unk_00415a50	0			false
0x00416280	CUnitAI__Unk_00416280	1	CBomberGuide	CBomberGuide:1	true
0x0041ad10	CUnitAI__Unk_0041ad10	11	CCylinder,CEngine,CMCBuggy,CMCTentacle,OID	CMCTentacle:5;CMCBuggy:2;CCylinder:2;OID:1;CEngine:1	false
0x00423650	CUnitAI__Unk_00423650	1	PCPlatform	PCPlatform:1	true
0x00423680	CUnitAI__Unk_00423680	1	PCPlatform	PCPlatform:1	true
0x00423720	CUnitAI__Unk_00423720	1	Platform	Platform:1	true
0x00423840	CUnitAI__Unk_00423840	6	CCutscene,CMesh,CResourceAccumulator,Unwind@005d7b4b	CResourceAccumulator:2;CMesh:2;Unwind@005d7b4b:1;CCutscene:1	false
0x00423870	CUnitAI__Unk_00423870	1	CResourceAccumulator	CResourceAccumulator:1	true
0x004238c0	CUnitAI__Unk_004238c0	3	CCutscene,CMesh,CResourceAccumulator	CResourceAccumulator:1;CMesh:1;CCutscene:1	false
0x00423900	CUnitAI__Unk_00423900	3	CCutscene,CMesh,CResourceAccumulator	CResourceAccumulator:1;CMesh:1;CCutscene:1	false
0x00423910	CUnitAI__Unk_00423910	107	CCutscene,CDXEngine,CDXImposter,CDXMeshVB,CDXSurf,CDXTexture,CFEPGoodies,CHeightField,CMapTex,CMesh,CMeshPart,CMixerMap,CPolyBucket,CResourceAccumulator,CStaticShadows,CUnitAI,CVertexShader,CWorld	CMeshPart:20;CMesh:11;CPolyBucket:11;CDXImposter:8;CVertexShader:7	false
0x00423960	CUnitAI__Unk_00423960	164	CCutscene,CDXEngine,CDXImposter,CDXMeshVB,CDXPatch,CDXSurf,CDXTexture,CDamage,CFEPGoodies,CHeightField,CMapTex,CMesh,CMeshPart,CMixerMap,CPolyBucket,CResourceAccumulator,CStaticShadows,CUnitAI,CVertexShader,CWorld	CMeshPart:22;CCutscene:20;CMesh:18;CStaticShadows:14;CPolyBucket:12	false
0x00423990	CUnitAI__Unk_00423990	8	CCutscene,CDXMeshVB,CDXTexture,CMesh,CResourceAccumulator,CWorld	CWorld:2;CDXTexture:2;CResourceAccumulator:1;CMesh:1;CDXMeshVB:1	false
0x004239b0	CUnitAI__Unk_004239b0	3	CDXMeshVB,CWorld	CWorld:2;CDXMeshVB:1	false
0x004239f0	CUnitAI__Unk_004239f0	0			false
0x004247a0	CUnitAI__Unk_004247a0	1	CGeneralVolume	CGeneralVolume:1	true
0x00424920	CUnitAI__Unk_00424920	1	CGeneralVolume	CGeneralVolume:1	true
0x00424990	CUnitAI__Unk_00424990	1	CGeneralVolume	CGeneralVolume:1	true
0x00424a20	CUnitAI__Unk_00424a20	0			false
0x00424be0	CUnitAI__Unk_00424be0	1	CUnitAI	CUnitAI:1	false
0x00424ca0	CUnitAI__Unk_00424ca0	1	CUnitAI	CUnitAI:1	false
0x004250f0	CUnitAI__Unk_004250f0	1	CUnitAI	CUnitAI:1	false
0x00425760	CUnitAI__Unk_00425760	0			false
0x00426fd0	CUnitAI__Unk_00426fd0	194	CDXTexture,CFastVB,CMeshCollisionVolume,CTexture	CFastVB:105;CTexture:56;CDXTexture:32;CMeshCollisionVolume:1	false
0x00428110	CUnitAI__Unk_00428110	0			false
0x00428500	CUnitAI__Unk_00428500	3	CUnitAI,VFuncSlot_00_00428710,VFuncSlot_01_00428770	VFuncSlot_00_00428710:1;VFuncSlot_01_00428770:1;CUnitAI:1	false
0x00428800	CUnitAI__Unk_00428800	0			false
0x004289b0	CUnitAI__Unk_004289b0	0			false
0x00428b50	CUnitAI__Unk_00428b50	1	CUnit	CUnit:1	true
0x00428c70	CUnitAI__Unk_00428c70	0			false
0x00428cb0	CUnitAI__Unk_00428cb0	1	CExplosionInitThing	CExplosionInitThing:1	true
0x00428cf0	CUnitAI__Unk_00428cf0	0			false
0x0042e750	CUnitAI__Unk_0042e750	10	CBattleEngine,CGame,CGeneralVolume,CMonitor,con_win	CGame:6;CBattleEngine:1;CMonitor:1;CGeneralVolume:1;con_win:1	false
0x0042ee90	CUnitAI__Unk_0042ee90	0			false
0x0042efd0	CUnitAI__Unk_0042efd0	2	CUnitAI	CUnitAI:2	false
0x0042f280	CUnitAI__Unk_0042f280	1	CUnitAI	CUnitAI:1	false
0x004309e0	CUnitAI__Unk_004309e0	1	CExplosionStatement	CExplosionStatement:1	true
0x00430b30	CUnitAI__Unk_00430b30	1	CUnitAI	CUnitAI:1	false
0x00430e60	CUnitAI__Unk_00430e60	1	CComponentStatement	CComponentStatement:1	true
