address	name	signature	status
0x00416280	CBomberGuide__Helper_00416280	void __fastcall CBomberGuide__Helper_00416280(void * param_1)	OK
0x00423650	PCPlatform__Helper_00423650	float * __fastcall PCPlatform__Helper_00423650(void * param_1)	OK
0x00423680	PCPlatform__Helper_00423680	void __thiscall PCPlatform__Helper_00423680(void * this, int param_1, float param_2)	OK
0x00423720	Platform__Helper_00423720	void __fastcall Platform__Helper_00423720(void * param_1)	OK
0x00423870	CResourceAccumulator__Helper_00423870	void __thiscall CResourceAccumulator__Helper_00423870(void * this, void * param_1, int param_2)	OK
0x004247a0	CGeneralVolume__Helper_004247a0	void __thiscall CGeneralVolume__Helper_004247a0(void * this, int param_1, float param_2)	OK
0x00424920	CGeneralVolume__Helper_00424920	void __fastcall CGeneralVolume__Helper_00424920(int param_1)	OK
0x00424990	CGeneralVolume__Helper_00424990	void __fastcall CGeneralVolume__Helper_00424990(int param_1)	OK
0x00428b50	CUnit__Helper_00428b50	void __thiscall CUnit__Helper_00428b50(void * this, int param_1, void * param_2, int param_3)	OK
0x00428cb0	CExplosionInitThing__Helper_00428cb0	void __fastcall CExplosionInitThing__Helper_00428cb0(void * param_1)	OK
0x004309e0	CExplosionStatement__Helper_004309e0	void __cdecl CExplosionStatement__Helper_004309e0(void * param_1)	OK
0x00430e60	CComponentStatement__Helper_00430e60	void __cdecl CComponentStatement__Helper_00430e60(void * param_1)	OK
0x00431350	CFeatureStatement__Helper_00431350	void __cdecl CFeatureStatement__Helper_00431350(void * param_1)	OK
0x004317a0	CHazardStatement__Helper_004317a0	void __cdecl CHazardStatement__Helper_004317a0(void * param_1)	OK
0x0043aea0	CExplosionBasedOn__Helper_0043aea0	void __thiscall CExplosionBasedOn__Helper_0043aea0(void * this, int param_1, void * param_2)	OK
0x0043af10	CExplosionBasedOn__Helper_0043af10	void __thiscall CExplosionBasedOn__Helper_0043af10(void * this, int param_1, void * param_2)	OK
0x00440ad0	CWaterRenderSystem__Helper_00440ad0	void __stdcall CWaterRenderSystem__Helper_00440ad0(void * param_1, int param_2, int param_3, int param_4)	OK
0x00441490	CDXEngine__Helper_00441490	void __cdecl CDXEngine__Helper_00441490(float param_1, float param_2, float param_3)	OK
0x004416e0	CUnit__Helper_004416e0	void __fastcall CUnit__Helper_004416e0(int param_1)	OK
0x00441730	CLIParams__Helper_00441730	void __thiscall CLIParams__Helper_00441730(void * this, int param_1, int param_2)	OK
0x004419e0	FrontendUpdate_CheatChecks__Helper_004419e0	void __fastcall FrontendUpdate_CheatChecks__Helper_004419e0(int param_1)	OK
0x00441b80	Platform__Helper_00441b80	void Platform__Helper_00441b80(void)	OK
0x00441e20	CDXFrontEndVideo__Helper_00441e20	void __fastcall CDXFrontEndVideo__Helper_00441e20(void * param_1)	OK
0x00441e30	CDXFrontEndVideo__Helper_00441e30	int __fastcall CDXFrontEndVideo__Helper_00441e30(void * param_1)	OK
0x00441e40	CGame__Helper_00441e40	void __fastcall CGame__Helper_00441e40(void * param_1)	OK
0x00441e50	CGame__Helper_00441e50	void __fastcall CGame__Helper_00441e50(void * param_1)	OK
0x00441ea0	CDXEngine__Helper_00441ea0	void __fastcall CDXEngine__Helper_00441ea0(void * param_1)	OK
0x004422d0	CSoundManager__Helper_004422d0	int __fastcall CSoundManager__Helper_004422d0(void * param_1)	OK
0x00444960	CDestroyableSegmentComponent__Helper_00444960	void __fastcall CDestroyableSegmentComponent__Helper_00444960(void * param_1)	OK
0x00445010	CMCBuggy__Helper_00445010	double __thiscall CMCBuggy__Helper_00445010(void * this, int param_1, int param_2)	OK
0x00445460	CDiveBomberGuide__Helper_00445460	void __fastcall CDiveBomberGuide__Helper_00445460(void * param_1)	OK
0x00449560	CMine__Helper_00449560	int CMine__Helper_00449560(void)	OK
0x0044a2d0	CDXEngine__Helper_0044a2d0	void CDXEngine__Helper_0044a2d0(void)	OK
0x0044a610	CEngine__Helper_0044a610	void __thiscall CEngine__Helper_0044a610(void * this, int param_1, int param_2, int param_3, int param_4)	OK
0x0044a640	CDXEngine__Helper_0044a640	void __stdcall CDXEngine__Helper_0044a640(int param_1)	OK
0x0044ae20	CPauseMenu__Helper_0044ae20	int __thiscall CPauseMenu__Helper_0044ae20(void * this, void * param_1, int param_2, void * param_3)	OK
0x0044c210	CMesh__Helper_0044c210	void __thiscall CMesh__Helper_0044c210(void * this, void * param_1, int param_2)	OK
0x0044c440	CFearGrid__Helper_0044c440	void __fastcall CFearGrid__Helper_0044c440(void * param_1)	OK
0x0044c780	OID__Helper_0044c780	int __thiscall OID__Helper_0044c780(void * this, int param_1, float param_2, float param_3, float param_4)	OK
0x0044c810	CSquadNormal__Helper_0044c810	void __thiscall CSquadNormal__Helper_0044c810(void * this, int param_1, void * param_2)	OK
