address	old_name	inferred_owner	xref_count	top_counts
0x0040d5b0	CUnitAI__Unk_0040d5b0	CExplosionInitThing	2	CExplosionInitThing:2
0x0040d7c0	CUnitAI__Unk_0040d7c0	CExplosionInitThing	1	CExplosionInitThing:1
0x0040da30	CUnitAI__Unk_0040da30	CExplosionInitThing	1	CExplosionInitThing:1
0x00442380	CUnitAI__Unk_00442380	CSoundManager	2	CSoundManager:2
0x0044a1f0	CUnitAI__Unk_0044a1f0	CResourceAccumulator	1	CResourceAccumulator:1
0x0044a2a0	CUnitAI__Unk_0044a2a0	CResourceAccumulator	1	CResourceAccumulator:1
0x0044a2c0	CUnitAI__Unk_0044a2c0	CResourceAccumulator	1	CResourceAccumulator:1
0x0044a650	CUnitAI__Unk_0044a650	CDXEngine	3	CDXEngine:3
0x0044dd60	CUnitAI__Unk_0044dd60	CFrontEnd	2	CFrontEnd:1
0x00472b40	CUnitAI__Unk_00472b40	CDXEngine	2	CDXEngine:1
0x00477b70	CUnitAI__Unk_00477b70	CVBufTexture	1	CVBufTexture:1
0x00479020	CUnitAI__Unk_00479020	CMeshCollisionVolume	1	CMeshCollisionVolume:1
0x00479200	CUnitAI__Unk_00479200	CMeshCollisionVolume	1	CMeshCollisionVolume:1
0x00479630	CUnitAI__Unk_00479630	CMeshCollisionVolume	1	CMeshCollisionVolume:1
0x004857e0	CUnitAI__Unk_004857e0	CExplosionInitThing	7	CExplosionInitThing:7
0x00485830	CUnitAI__Unk_00485830	CExplosionInitThing	4	CExplosionInitThing:4
0x0048dea0	CUnitAI__Unk_0048dea0	CDXLandscape	2	CDXLandscape:1
0x0048dec0	CUnitAI__Unk_0048dec0	CResourceAccumulator	1	CResourceAccumulator:1
0x004902b0	CUnitAI__Unk_004902b0	CEngine	1	CEngine:1
0x004903a0	CUnitAI__Unk_004903a0	CDXEngine	1	CDXEngine:1
0x004daff0	CUnitAI__Unk_004daff0	CFearGrid	1	CFearGrid:1
