address	old_name	inferred_owner	new_name	xref_count	top_counts
0x0041ad10	CUnitAI__Unk_0041ad10	CMCTentacle	CMCTentacle__Helper_0041ad10	21	CMCTentacle:5;CMCBuggy:2;CCylinder:2;OID:1;CPDSimpleSprite:1
0x00423910	CUnitAI__Unk_00423910	CMeshPart	CMeshPart__Helper_00423910	107	CMeshPart:20;CMesh:11;CPolyBucket:11;CDXImposter:8;CVertexShader:7
0x00423960	CUnitAI__Unk_00423960	CMeshPart	CMeshPart__Helper_00423960	164	CMeshPart:22;CCutscene:20;CMesh:18;CStaticShadows:14;CResourceAccumulator:12
0x004239b0	CUnitAI__Unk_004239b0	CWorld	CWorld__Helper_004239b0	3	CWorld:2;CDXMeshVB:1
0x00426fd0	CUnitAI__Unk_00426fd0	CFastVB	CFastVB__Helper_00426fd0	203	CFastVB:118;CTexture:53;CDXTexture:16;CDXMeshVB:5;CMeshCollisionVolume:2
0x0042e750	CUnitAI__Unk_0042e750	CGame	CGame__Helper_0042e750	10	CGame:6;CBattleEngine:1;CMonitor:1;CGeneralVolume:1;con_win:1
0x004404f0	CUnitAI__Unk_004404f0	CThing	CThing__Helper_004404f0	11	CThing:4;CMeshCollisionVolume:2;CDXEngine:1;CMCMech:1;CMCBuggy:1
0x00441b10	CUnitAI__Unk_00441b10	CGame	CGame__Helper_00441b10	4	CGame:2;CFrontEnd:1;FrontendUpdate_CheatChecks:1
0x0044a5f0	CUnitAI__Unk_0044a5f0	CDXEngine	CDXEngine__Helper_0044a5f0	24	CDXEngine:6;CDXFrontEnd:3;CVertexShader:3;CVBufTexture:1;CFEPMultiplayerStart:1
0x0044a930	CUnitAI__Unk_0044a930	OID	OID__Helper_0044a930	12	OID:5;CUnit:2;CEngine:1
0x0044c1c0	CUnitAI__Unk_0044c1c0	CMesh	CMesh__Helper_0044c1c0	11	CMesh:6;CMeshPart:5
0x0044d390	CUnitAI__Unk_0044d390	CFEPSaveGame	CFEPSaveGame__Helper_0044d390	29	CFEPSaveGame:13;CFEPDevelopment:3;CFEPMain:2;CFEPLoadGame:2;CFEPDirectory:2
0x00452fd0	CUnitAI__Unk_00452fd0	CFEPMultiplayerStart	CFEPMultiplayerStart__Helper_00452fd0	7	CFEPMultiplayerStart:2;CFrontEnd:1
0x00453140	CUnitAI__Unk_00453140	CFEPMultiplayerStart	CFEPMultiplayerStart__Helper_00453140	23	CFEPMultiplayerStart:4;CFEPDirectory:2;CFEPScreenPos:2;CFEPLevelSelect:2;CFEPLoadGame:1
0x00465a20	CUnitAI__Unk_00465a20	CFEPLanguageTest	CFEPLanguageTest__Helper_00465a20	10	CFEPLanguageTest:2;CGame:1;FrontendUpdate_CheatChecks:1;CExplosionInitThing:1;CDXEngine:1
0x004693d0	CUnitAI__Unk_004693d0	CFEPMain	CFEPMain__Helper_004693d0	8	CFEPMain:2;CMenuItem:1;CMenuItemDropdown:1;CUnitAI:1;CFEPDirectory:1
0x0046a2a0	CUnitAI__Unk_0046a2a0	CFEPSaveGame	CFEPSaveGame__Helper_0046a2a0	88	CFEPSaveGame:19;CFEPMain:9;CFrontEnd:7;CFEPDirectory:6;CFEPLoadGame:5
0x0047c970	CUnitAI__Unk_0047c970	CCannon	CCannon__Helper_0047c970	10	CCannon:2;CExplosionInitThing:1;CSentinel:1;CVBufTexture:1
0x00482090	CUnitAI__Unk_00482090	CExplosionInitThing	CExplosionInitThing__Helper_00482090	15	CExplosionInitThing:8;CDXEngine:4;CMessageLog:2;CDXCompass:1
0x004885e0	CUnitAI__Unk_004885e0	CVBufTexture	CVBufTexture__Helper_004885e0	5	CVBufTexture:4;CDXLandscape:1
0x00490a40	CUnitAI__Unk_00490a40	CStaticShadows	CStaticShadows__Helper_00490a40	15	CStaticShadows:8;CWorld:1;CUnitAI:1;CLine:1;CRound:1
0x0049c2d0	CUnitAI__Unk_0049c2d0	CMeshPart	CMeshPart__Helper_0049c2d0	9	CMeshPart:6;CMesh:3
0x004b7ca0	CUnitAI__Unk_004b7ca0	IScript	IScript__Helper_004b7ca0	7	IScript:5;CUnit:2
0x004c0450	CUnitAI__Unk_004c0450	CParticleDescriptor	CParticleDescriptor__Helper_004c0450	4	CParticleDescriptor:2;CExplosionInitThing:1
